#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	sroA//
trpLEDCBA	b0045//b4064//b1728//b3094//b2798//b2363//
trpR	b4637//
trpS	b1581//
trpT	b1751//
truD	b2132//
trxA	b1160//
trxB	b3938//
trxC	b1694//
tsaB-yeaY	b0675//b3485//
tsaD	b1414//
tsaE-amiB-mutL-miaA-hfq-hflXKC	b2582//b2608//b1241//b4004//b0365//b4259//b2697//b3340//
tsgA	b0149//
tsr	b0061//
tsx	b3325//
ttcA	b1576//
ttdABT	b4102//b3828//b3920//
ttdR	b2298//
tufA	b0240//
tus	b3393//
tusA	b2719//
tusE	b4565//
tynA	b1011//
tyrB	b3164//
tyrP	b2604//
tyrR	b3587//
tyrS-pdxY	b0837//b3323//
tyrTV-tpr	b3757//b3731//b3988//
tyrV-tpr	b3428//b4432//
uacT	b4256//
ubiCA	b1910//b4520//
ubiD	b2735//
ubiEJB	b0299//b3922//b3136//
ubiF	b0325//
ubiG	b4316//
ubiX	b3569//
ucpA	b0069//
udk-dcd	b0715//b3617//
udp	b1464//
ugd	b3048//
ugpBAECQ	b3808//b2583//b0886//b0345//b3548//
uhpABC	b3873//b0711//b1541//
uhpT	b2181//
uidABC	b2020//b2304//b1915//
uidR	b4262//
ulaABCDEF	b2949//b1158//b1486//b2922//b2395//b2831//
ulaG	b0336//
ulaR	b1406//
umpG-pcm	b2014//b1144//
umpH	b1861//
umuDC	b1440//b4470//
ung	b2600//
uof-fur	b3395//b0424//
upp-uraA	b1835//b0972//
usg-truA-dedA	b3274//b2625//b4353//
ushA	b1185//
uspA	b2085//
uspB	b0965//
uspC	b0896//
uspE	b0603//
uspF	b3836//
uspG	b0863//
uvrA	b1420//
uvrB	b1475//
uvrC	b2860//
uvrD	b4515//
uvrYC	b0015//b0579//
uxaB	b0422//
uxaCA	b1902//b3598//
uxuAB	b0756//b0696//
uxuR	b0076//
valS	b0534//
valUXY-lysV	b1107//b1537//b0147//b3871//
valVW	b1680//b2777//
valZ-lysY	b1791//b0331//
ves	b0299//
waaA	b2646//
waaA-coaD	b3678//b1577//
waaH	b4460//
waaQGPSBOJYZU	b0575//b0678//b1204//b1682//b2716//arpB_1//b0624//b3047//b2604//b0826//
waaYZ	b4198//b2336//
waaZU	b0531//b0981//
wbbIJK	b3996//b0379//b1007//
wbbL_2	b1411//
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	b4501//b2315//b2036//b4234//b3041//b1348//b3887//gadF//b2346//b2898//b0026//b2965//
wcaKLM	b4292//b2906//b4518//
wecH	ykiB//
wrbA-yccJ	b1536//b3071//
wza-wzb-wzc	ilvG_1//b3960//b0410//
wza-wzb-wzc-wcaAB	b1216//b1908//b0604//b4023//b0173//
wzzB	b1184//
xanP	b0521//
xanQ-guaD-ghxQ	b4541//b0207//b1862//
xapAB	b2727//b3104//
xapR	b1991//
xdhABC	b2175//b1454//b2470//
xerD	b2352//
xerD-dsbC-recJ	b4373//b3175//b2213//
xseA	b2841//
xseB-ispA-dxs-yajO	b2500//b4051//b2367//insCD-3//
xthA	b2708//
xylAB	b1512//b4394//
xylE	b2525//
xylFGHR	b3069//b4217//b2818//b1228//
xylR	b4178//
yaaA	b4390//
yaaI	b2501//
yaaJ	b2330//
yaaU	b1058//
yaaW	b0426//
yaaX	b3526//
yabI	b1153//
yabPQ	b0244//b3199//
yacC-speED	b1863//b1084//b0358//
yacG	b2251//
yacH	b0568//
yacL	b3377//
yadC	b2345//
yadD	b1175//
yadE	b1646//
yadGH	b2052//b3069//
yadI	b0686//
yadMLKC	b3359//b2515//b3514//b1595//
yadN	b0627//
yadV-htrE	b1821//b3213//
yaeF	b0389//
yaeH	b3783//
yaeI	b2436//
yaeP-rof	b3776//b2234//
yaeQ-arfB-nlpE	b1789//b2495//b1202//
yaeR	b3589//
yafC	b0917//
yafDE	b3578//b1227//
yafF	b3908//
yafJ	b3789//
yafK	b3182//
yafL	b0020//
yafNOP	b2511//eaeH//b2313//
yafS	b4361//
yafT	b3971//
yafU	b3361//
yafV	b2755//
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b1844//b3625//b2014//b2843//b3229//b0622//b3940//b1502//
yafZ	b2372//
yagAB-insX	b1054//b0817//b2080//
yagEF	b3198//b4480//
yagGH	b3401//b2269//
yagI	b0397//
yagJ	b4008//
yagK	b3040//
yagML	b3310//b3462//
yagN	b4130//
yagP	yrhC//
yagU	b2853//
yahB	b1698//
yahC	b3346//
yahDEFG	b0698//b1371//b1996//b1244//
yahE	b3452//
yahH	b1334//
yahIJ	b2207//b4170//
yahK	b0362//
yahL	b1298//
yahM	b1771//
yahN	b0399//
yahO	b4525//
yaiA-aroM	b4606//b2533//
yaiE	b2370//
yaiF	b0071//
yaiI	b0106//
yaiL	b1574//
yaiP	b3375//
yaiS	b3976//
yaiT	ychE_1//
yaiU	b1013//
yaiV	b3005//
yaiXO	b0769//b0828//
yaiY	b4075//
yaiZ	b0477//
yajC-secDF	b2664//b1532//b2914//
yajD	b4452//
yajG	b1642//
yajG-ampG	b0494//b0301//
yajI	b4286//
yajO	b1274//
yajQ	b1883//
yajR	b2899//
ybaA	b2419//
ybaB-recR	b4167//b2236//
ybaE	b2184//
ybaK	b0123//
ybaL	b0171//
ybaN	b4111//
ybaP	b1175//
ybaQ	b1612//
ybaST	b2666//b0735//
ybaV	b4542//
ybaY	b3586//
ybbAP	b3799//b3244//
ybbN	b0008//
ybbY-glxK	b1527//b2733//
ybcC	b3341//
ybcD	b0185//
ybcH	b1576//
ybcI	b2637//
ybcK	b3123//
ybcLM	b4516//b3445//
ybcN-ninE-ybcO-rusA-ylcG	b4662//b2142//b1221//b4207//b3880//
ybcQ	b0712//
ybcV	b4142//
ybcW	b1894//
ybcY	b0160//
ybdD	b3034//
ybdF	b1924//
ybdG	b1129//
ybdH	b4439//
ybdJ	b1991//
ybdK	b1414//
ybdL	b0664//
ybdM	yhiK//
ybdN	b3162//
ybdO	b0794//
ybdR	b1659//
ybeD	b4019//
ybeD-lipB	rirA//b4565//
ybeF	b3901//
ybeL	b4460//
ybeM_1M_2	b3937//b0032//
ybeQ	b0866//
ybeR-djlB	b0308//b2406//
ybeT	b2776//
ybeU-djlC	b2736//b1212//
ybeX-lnt	b2567//b2966//
ybeZY	b3313//b3825//
ybeZYX-lnt	b2386//b0490//arpB_2//b4698//
ybfA	prfH//
ybfD	b3025//
ybfE	b4713//
ybfF	b0700//
ybfHG	b3658//b1362//
ybfL	b3949//
ybfN	b3787//
ybfOC	b1672//b2562//
ybfP	b2709//
ybfQ	b3338//
ybgA-phr	b2185//b1713//
ybgC-tolQRA	b0448//b1595//b3506//b3282//
ybgD	b0865//
ybgIJKL-nei	b0894//b0102//b1384//b0145//b1419//
ybgQPO	b0941//b0985//b3924//
ybgS	b3446//
ybhA	b3218//
ybhB	b0647//
ybhC	b0856//
ybhD	b3736//
ybhH	b2514//
ybhI	b2880//
ybhJ	b3440//
ybhK	b2314//
ybhL	b1015//
ybhM	b4403//
ybhP-clsB-ybhN	b1038//b0472//b1751//
ybhQ	b4585//
ybiA	b2407//
ybiB	b3755//
ybiC	b3010//
ybiI	b1662//
ybiJ	b2153//
ybiO	b0496//
ybiT	b1499//
ybiU	b1379//
ybiV	b2959//
ybiX	b3563//
ybiYW	b4687//b1447//
ybjC-nfsA-rimK-ybjN	b0061//b2902//b3322//b1408//
ybjD	b3606//
ybjG	b0500//
ybjH	b1135//
ybjJI	b1637//b3940//
ybjL	b4223//
ybjM	b0203//
ybjN	b0565//
ybjO-rlmC	b3114//b3684//
ybjP	b0607//
ybjQ-amiD	b1361//b3619//
ybjS	b3742//
ybjX	b2129//
ycaC	b1057//
ycaD	b2709//
ycaI-msbA-lpxK-ycaQ	b2840//b1600//b0015//b1107//
ycaK	b1381//
ycaL	b2409//
ycaM	b3411//
ycaN	b1357//
ycaO	b1696//
ycaP	b0562//
ycaR-kdsB	b0080//b0089//
ycbJ	b3085//
ycbK-gloC	b2761//b1699//
ycbX	b4452//
ycbZ	b1511//
yccA	b4542//
yccE	b1725//
yccFS	b4382//b1630//
yccM	b3506//
yccT	b3619//
yccU	b3516//
yccX	b1035//
ycdXY	b3754//b1770//
ycdZ	insCD-6//
yceA	b1667//
yceB	b2025//
yceD-rpmF	b3302//b3632//
yceF	b2430//
yceH	b1203//
yceI	b3869//
yceJI	b1110//b0765//
yceK	b0259//
yceM	b3599//
yceQ	b0605//
ycfJ	b3684//
ycfT	b0529//
ycgB	b1469//
ycgH_1	b3282//
ycgH_2	b2159//
ycgJ	b3063//
ycgL	b0592//
ycgM	b0556//
ycgN	b0421//
ycgR	b4685//
ycgV	b0575//
ycgX	b0217//
ycgY	ybfO//
ycgZ	b3909//
ycgZ-ymgA-ariR-ymgC	b0980//b1990//b2717//b2900//
ychE	b0181//
ychE_2-yhcF	b1496//b1524//
ychF	wbbL_2//
ychG_1G_2	b3310//b3138//
ychH	b0197//
ychJ	b1190//
ychN	b3012//
ychO	b2126//
ychQA-kdsA	b1620//b3375//b2311//
ychS	b3850//
yciA	b1635//
yciCB	b0194//b4359//
yciE	b2339//
yciG	b4360//
yciGFE	b3374//b4384//b1821//
yciI	b4226//
yciK-btuR	b0789//b4194//
yciN	b0321//
yciT	b1112//
yciVOQ	b2093//b3065//b1143//
yciW	b2574//
yciY	yedN_1//
yciZT	b3667//b4000//
ycjD	b1732//
ycjG	b1817//
ycjMNOPQRSTUV-ymjB	b1932//b2985//b1733//b0964//b2811//b4068//b4131//b4403//b2870//b3227//b0618//
ycjW	b3242//
ycjXF	b0512//b2707//
ycjXF-tyrR	b1366//b4537//b1067//
ycjY	b3757//
ycjY-ymjDC-mpaA	b3842//b1696//b0031//yedS_3//
ydaGF	b3315//b2733//
ydaN	b2586//
ydaSTUVW-rzpR	b1320//b0427//b3250//b3363//b4234//b0650//
ydbA_1	b1106//
ydbA_2	b4307//
ydbC	b3667//
ydbD	b3864//
ydbH-ynbE-ydbL	b2818//b2042//b2898//
ydbJ	b2336//
ydbK	b1509//
ydbK-ompN	b4064//b0651//
ydcA	b1180//
ydcC	b4608//
ydcF	b2638//
ydcH	b3255//
ydcI	b1603//
ydcJ	b3014//
ydcK	b3341//
ydcL	b0480//
ydcM	b4596//
ydcO	b2720//
ydcP	b0191//
ydcR	b2928//
ydcSTUV-patD	b4130//b4139//b2904//b2011//b1621//
ydcY	b1029//
yddAB	b0429//b1806//
yddE	b1000//
yddG	b4184//
yddH	insCD-3//
yddLKJ	b0341//b0093//b1014//
yddM	b3182//
yddW	insCD-3//
ydeA	b4219//
ydeE	b4294//
ydeI	b3227//
ydeJ	b2920//
ydeK	b0843//
ydeM	b1865//
ydeN	b0190//
ydeNM	b0974//b0258//
ydeO	b3981//
ydeP	b2951//
ydeQ	b0941//
ydeTSR	b4465//b4478//b2798//
ydeU	b2575//
ydfABC	b0648//b0632//b0803//
ydfG	b3065//
ydfH	b0310//
ydfI	b3941//
ydfJ	b0168//
ydfK	b4270//
ydfUT	b0185//b1879//
ydfV	b2330//
ydfZ	b1110//
ydgA	b2118//
ydgC	b1450//
ydgD	b4306//
ydgH	b0568//
ydgI-folM	b1915//b1897//
ydgJ	b2562//
ydgK-rsxABCDGE-nth	b4102//yjhE//b2843//b4263//b3189//b1063//yhiK//b0365//
ydhB	b3102//
ydhC	b2170//
ydhF	b3739//
ydhIJK	b3723//b2219//insCD-6//
ydhL	b3136//
ydhP	b0735//
ydhQ	b4055//
ydhR	b4430//
ydhS	b2422//
ydhXUT	b4551//b3388//b2127//
ydhYVW	b1157//b2459//b3519//
ydhYVWXUT	b2996//b2172//b2245//b2336//b2536//b0606//
ydhZ	b1230//
ydiE	b2560//
ydiFO	b1099//tfaS//
ydiJ-menI-ydiH	b4235//b0007//b3667//
ydiK	b0500//
ydiL	b0574//
ydiM	b3406//
ydiNB-aroD	b1110//b1479//b1716//
ydiP	b0376//
ydiQRST-fadK	b1619//b3166//b2608//b2201//b0362//
ydiU	b0498//
ydiV	b0494//
ydiY	b0455//
ydiZ	b0160//
ydjA-selD-topB	b4699//b3230//b1737//
ydjE	b3471//
ydjF	b0935//
ydjLKJIHG	b3139//b3812//b1356//b0586//b1757//b3318//
ydjM	b2690//
ydjO	b0752//
ydjXYZ-ynjABCD	b3999//b2297//yghE//b2387//b0311//b4244//b3626//
yeaC	b4063//
yeaD	b0021//
yeaE	b2407//
yeaGH	b3638//b4357//
yeaK	b3148//
yeaL	b1374//
yeaO	b3180//
yeaQ	b1733//
yeaR-yoaG	b3040//b4143//
yeaVW	b1773//b2128//
yeaX	b3359//
yeaY	b3871//
yebB	b4595//
yebC-ruvC	b2377//b0170//
yebE	b2572//
yebF	b1627//
yebG	b0964//
yebK	b3665//
yebO	b0552//
yebQ	b4618//
yebST	b1348//b1095//
yebV	b2774//
yebW	b4109//
yecA	b3215//
yecDE	b1956//b4446//
yecF	b1323//
yecH	b3155//
yecJ	b1329//
yecM-cutC	b3756//b0019//
yecN-cmoAB	b0648//b3865//ysdC//
yecR	b3796//
yecT	b1923//
yedA	b3842//
yedD	b0398//
yedEF	b2909//b3703//
yedI	b4119//
yedK	ymdE//
yedL	b2674//
yedM	b3544//
yedN_1N_2	b4596//b3053//
yedP	b1462//
yedRJ	b1247//b3093//
yedS_1S_2	b0277//b4421//
yedS_3	b4712//
yedWV	b0360//b4285//
yedX	b0794//
yeeA	b3915//
yeeED	b0147//b3483//
yeeJ	b1095//
yeeL_1L_2	b2075//b0588//
yeeN	b2454//
yeeO	b4348//
yeeP	b0875//
yeeRST-cbeA-cbtA-yeeW	b4304//b3978//b3425//b0938//b0077//b4307//
yeeX	b3143//
yeeY	C0465//
yeeZ	b1609//
yefM-yoeB	b2355//b1519//
yegD	b0812//
yegH	b3261//
yegI	b0731//
yegJ	b2529//
yegLK	b3782//b2503//
yegP	b2620//
yegQ	b0549//
yegRZ	b1576//b3846//
yegS	b2336//
yegTUV	b0135//b0018//b2834//
yegW	b2220//
yegX	b0429//
yehDCBA	b4065//b4016//b0633//b1140//
yehE	b1995//
yehK	b1910//
yehLMPQ	b4466//b4036//b2957//b1812//
yehR	lafU//
yehS	b3857//
yehUT	b3027//b3629//
yeiE	b2877//
yeiG	b2668//
yeiH	b3870//
yeiI	b2577//
yeiL	b2208//
yeiP	b4179//
yeiQ	cpxQ//
yeiR-lpxT	b3093//b4046//
yeiW	b2691//
yejABEF	b0367//b2777//b2627//b3960//
yejG	b2614//
yejK	b2197//
yejLM	b3417//b0532//
yejO	b2642//
yfaATS_1S_2QP	b2169//b1362//b1588//b0638//b3337//b1783//
yfaD-ypaA	b2069//b2830//
yfaE	b1018//
yfaH	b2203//
yfaL	b0232//
yfaVU	b3118//b4434//
yfaX-rhmD	b0180//b2151//
yfaX-rhmD-yfaVU	b1789//b1081//b1086//b4193//
yfaY	b2008//
yfaZ	b0203//
yfbK	b1680//
yfbL	b0745//
yfbM	b4547//
yfbN	b1125//
yfbO	yifN//
yfbP	b4185//
yfbR	b3514//
yfbS	b4510//
yfbUT	b4558//topAI//
yfbV	b1745//
yfcC	b4437//
yfcD	b4426//
yfcE	b4054//
yfcF	b4056//
yfcG	b1749//
yfcI	b1388//
yfcJ	b3204//
yfcUTSRQPO	b2933//b3741//b1208//b1563//b1130//b1846//b4146//
yfcV	b0415//
yfcZ	b0237//
yfdC	b3820//
yfdE	b1805//
yfdF	b4368//
yfdGHI	b3200//b1944//b4209//
yfdONMLK	b3941//b2926//b1439//b2636//C0067//
yfdPQ	b1766//b2886//
yfdRST	b1523//b3125//b4189//
yfdV	b1300//
yfdX-frc-oxc-yfdVE	b3338//b0183//b1237//b3649//b2778//
yfdY	b1668//
yfeCD	b0322//b0312//
yfeH	b2316//
yfeKS	ycgH_2//b3826//
yfeN	b4421//
yfeO	b0080//
yfeR	b3712//
yfeYX	b4366//b4565//
yffB-dapE-ypfN	b4407//b3146//b0469//
yffL	b1547//
yffMN	b3595//b3507//
yffOP	b0958//b1029//
yffQR	b1834//b2624//
yffS	b3039//
yfgG	b0380//
yfgHI	b0482//b2310//
yfgJ	b3737//
yfgM	b3817//
yfgO	b3278//
yfhH	b2028//
yfhL	b1431//
yfhM-pbpC	b4021//b2294//
yfhR	b0956//
yfiC	b3613//
yfiE	b3570//
yfiF	b2642//
yfiL	b3773//
yfiM	b1641//
yfiP-patZ	b1349//b0640//
yfiR-dgcN	b2148//b0557//
yfiR-dgcN-yfiB	b3511//b0688//b2966//
yfjD	b2802//
yfjH	b2505//
yfjI	b1211//
yfjJ	b3343//
yfjM	b0787//
yfjPQ	b2522//b1443//
yfjR-ypjK-yfjST	b2398//b1317//b3935//b2448//
yfjW	b2345//
yfjXY-ypjJ-yfjZ-ypjF	b1301//b1058//b1932//b3316//b2143//
ygaC	b2282//
ygaM	b0853//
ygaQ	b0258//
ygaVP	b2881//b3576//
ygaXY	b3183//b2867//
ygaZH	b3552//b0818//
ygbA	b4197//
ygbE	b2765//
ygbI	b0450//
ygbJK	b0925//b0195//
ygbK	b3742//
ygbLM	b3464//b2220//
ygbN	b4277//
ygcG	b1536//
ygcNOP	b1571//b3158//b2682//
ygcRQ	b3648//b3360//
ygcS	b0454//
ygcU	b2200//
ygcW	b1604//
ygdD	b0715//
ygdG	b4291//
ygdH	b3463//
ygdI	b0722//
ygdQ	b2897//
ygdR	b1252//
ygeA	b4022//
ygeF	b0377//
ygeG	b0833//
ygeH	b2242//
ygeI	b0451//
ygeLK	b0131//b3930//
ygeP	b4357//
ygeQ	b0803//
ygeR	insCD-4//
ygeV	b4073//
ygeW	b3740//
ygeX	b0742//
ygeY	b3923//
ygfB-pepP-ubiHI	b0497//b0194//b4414//b2043//
ygfF	b2156//
ygfI	b1906//
ygfK-ssnA	b2352//b0141//
ygfM-xdhD	b1335//b3753//
ygfTS	b4523//b4415//
ygfZ	b2126//
yggDC	b0820//insCD-2//
yggE	b0217//
yggI	b1500//
yggM	b4226//
yggN	b4026//
yggR	b1531//
yggSTU-rdgB-yggW	b0131//b3531//b1329//b3937//b1636//
yggX	b3998//
yggX-mltC	b2317//b0473//
yggX-mltC-nupG	b2878//b0670//b2183//
yghA	b0615//
yghB	b2644//
yghED	b3152//b4348//
yghF	b2169//
yghG	ybcD//
yghJ	b4288//
yghO	b4221//
yghQ	b3604//
yghSR	b1834//istR-1//
yghT	b3635//
yghU	b2377//
yghW	b3716//
yghX_2X_1	b0550//b3863//
ygiD	b0228//
ygiF-glnE	b2265//b3455//
ygiH	b1033//
ygiL	b0620//
ygiM	b2881//
ygiM-cca	b2695//b3399//
ygiN	b1878//
ygiQ	b3121//
ygiS	b4402//
ygiV	b1924//
ygiW	ylbE//
ygiZ	b4517//
ygjH	b1339//
ygjI	b0216//
ygjJK	b1551//b3918//
ygjP	b2513//
ygjQ	b3151//
ygjR	b1822//
ygjV	b2530//
yhaBC	b1353//b0139//
yhaH	b0996//
yhaI	b2074//
yhaJ	b3102//
yhaKL	b3944//b1640//
yhaOM	b1573//b4062//
yhbE-obgE	b4271//b1593//
yhbO	b2983//
yhbP	b1205//
yhbQ	b0277//
yhbTS	b1475//b1548//
yhbUV	b3789//b1252//
yhbW	tfaS//
yhbX	b3514//
yhbY	b3494//
yhcAD-ychE_1	b4455//b3297//b1852//
yhcB	b3273//
yhcC	b1237//
yhcG	b3056//
yhcN	b1957//
yhcO	b2421//
yhdH	b4156//
yhdJ	b3729//
yhdN-zntR	cpxQ//b0522//
yhdP	b4314//
yhdT-panF-prmA	b2847//b2778//b4567//
yhdU	b2665//
yhdV	b4455//
yhdWXYZ	b1703//b1658//b2414//b1212//
yheO-tusDCB	b2351//b3114//b2000//b4223//
yheSTU	b4284//b2509//b2015//
yhfA	b0219//
yhfK	b4057//
yhfL	b4019//
yhfXW-php-yhfUTS	b4083//b1422//b3328//b4209//b1002//b4611//
yhfZY	b4122//b4368//
yhgA	b2108//
yhgE	b3129//
yhgF	b1104//
yhgN	b4156//
yhhA	b4021//
yhhH	C0362//
yhhI	b4253//
yhhM	b4529//
yhhN	b1181//
yhhQ	b0013//
yhhS	b0432//
yhhT	b0338//
yhhW	b0749//
yhhX	b3524//
yhhY	b3263//
yhhZ-yrhA-insAB-6A-6B-6	b3442//b4018//b0180//b0718//b1821//
yhiD	b0709//
yhiI-rbbA-yhhJ	b0775//b2203//b2949//
yhiJ	b1270//
yhiK	b2461//
yhiL	b3205//
yhiM	b3845//
yhiN	b3233//
yhiS_1	b2422//
yhjA	b3348//
yhjB	b2464//
yhjC	b0948//
yhjD	b2240//
yhjE	b3656//
yhjG	b3432//
yhjJ	b3766//
yhjR	b1175//
yhjV	b2166//
yhjX	b0995//
yhjY	b2871//
yiaA	yjhW//
yiaB	b1912//
yiaD	b3002//
yiaF	b2695//
yiaG	b0316//
yiaJ	b2967//
yiaKLMNO-lyxK-sgbHUE	b0399//b3091//b4233//b4326//b1493//b4355//b0598//b1259//b2814//
yiaT	b3366//
yiaU	b3693//
yiaWV	b2557//b2609//
yiaY	b4415//
yibA	b1912//
yibF	b4320//
yibG	b4010//
yibIH	b1872//b0759//
yibJ	b4325//
yibL	b1049//
yibN	b0448//
yibN-grxC-secB-gpsA	b2033//b4436//b2082//b1945//
yibT	b3964//
yicC	b0598//
yicG	b0246//
yicH	b2797//
yicJI	b3036//b4298//
yicL	b1624//
yicN	b1152//
yicR-rpmBG	b2603//b1304//b0069//
yicR-rpmBG-mutM	b3772//b0268//b4480//b0786//
yicS	b3353//
yidA	b0128//
yidB	b1656//
yidE	b1501//
yidHGF	b3261//b2491//b1054//
yidI	b4297//
yidKJ	b0392//b1725//
yidL	b3209//
yidP	b0389//
yidQ	b4538//
yidR	b2356//
yidX	b3263//
yidZ	b3915//
yieEF	b0758//b3264//
yieH	b1892//
yieP-hsrA	b1105//b3104//
yifB	b1135//
yifK	b1426//
yifL-dapF-yigA-xerC-yigB	b0601//b4298//b2348//b1286//b4045//
yifNO	b1870//b2145//
yigE	b2452//
yigGF	b3289//b1379//
yigI	b0259//
yigM	b1572//
yihA	b3711//
yihD	b4039//
yihF	b2313//
yihG	b0880//
yihI	b4254//
yihLM	b1501//b3068//
yihN	b4323//
yihPO	b1789//b0460//
yihQ	b1208//
yihR	b3149//
yihUTS	b2518//b1681//b4403//
yihVW	b3991//b2985//
yihXY-dtd-yiiD	b2923//b2731//b0457//b1853//
yiiE	b0798//
yiiF	b4252//
yiiG	b4216//
yiiM	b3547//
yiiQ	b4222//
yiiR	b0686//
yiiS-uspD	b0788//b1579//
yiiX	b0627//
yijE	b3569//
yijF	b3253//
yijO	b2210//
yjaA	b3009//
yjaB	b3937//
yjaG	b0750//
yjaH	b4373//
yjaZ	b4120//
yjbB	b1328//
yjbD	b4451//
yjbE	b3667//
yjbEFGH	b3727//b0683//b3160//b2319//
yjbFGH	b1422//b3809//b0104//
yjbI	b0263//
yjbJ	b2257//
yjbLM	b3176//b2912//
yjbQR	b1098//b3445//
yjcB	b1242//
yjcE	b3979//
yjcF	b4541//
yjcO	b2096//
yjcS	b0155//
yjdC	b1977//
yjdF	b1255//
yjdIJ	b3146//b0644//
yjdM	b0424//
yjdN	b4265//
yjdP	b3279//
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	b1697//b1550//b3710//b4025//b0227//b2096//b2126//b3900//b1389//
yjeH	b0940//
yjeI	b3737//
yjeJ	b0118//
yjeM	b1048//
yjeNO	b0755//b2058//
yjeT	b1131//
yjeV	b3521//
yjfIJ	b4162//b4128//
yjfKLMC	b2260//b1118//b0723//b1428//
yjfN	b3397//
yjfP	b2671//
yjfY	b1747//
yjfZ	b3315//
yjgA	b0283//
yjgH	b4231//
yjgL	b3728//
yjgM	b2278//
yjgN	b4364//
yjgR	b2344//
yjgW	b3224//
yjgX_1X_2	b4062//b2202//
yjgX_3	b2953//
yjgZ	b4321//
yjhBC	b2867//b2578//
yjhD	b2592//
yjhE	b3043//
yjhF	b1930//
yjhIHG	b1805//b4182//b1537//
yjhP	b0092//
yjhR	b0800//
yjhU	b3632//
yjiC	b2624//
yjiHG-iadA	b0423//b1873//b1172//
yjiJ	b4086//
yjiK	b2923//
yjiML	b4458//b0688//
yjiPQ	b0095//b4414//
yjiR	b4595//
yjiS	b2069//
yjiT	b1992//
yjiV	b4114//
yjiXA	b3465//b1276//
yjiY	sroA//
yjjB-dnaTC	b0746//b2178//b2250//
yjjB-dnaTC-yjjA	b0199//b3966//b1990//b1162//
yjjI	b1115//
yjjJ	b1114//
yjjP	b0469//
yjjQ-bglJ	b1193//b2502//
yjjUV	b4328//b0972//
yjjW	b3534//
yjjX	b3337//
yjjY	b3058//
yjjZ	b2557//
yjtD	b0322//
ykfA-yafZ	b2738//ylbE//
ykfBF-yafX-ykfGH-yafW-ykfI	b3580//b4066//b3283//b1504//b4558//b4347//b1233//
ykfC	b1713//
ykfGH-yafW-ykfI	b0091//b1198//b3879//b2517//
ykfJ-prfH	b2683//b1625//
ykgA	b0241//
ykgEFG	b0204//b2429//b3174//
ykgH	b0891//
ykgJ	b2668//
ykgL	b2483//
ykgMO	b1434//b1759//
ykgR	b1277//
ykiA	b1358//
ykiB	b2478//
ylaC	b4713//
ylbG	gpr//
yliI	b1999//
ymbA	b2895//
ymcE-gnsA	b0203//b1534//
ymdA	intG//
ymdB-clsC	b1323//b3833//
ymdE-ycdU	b2155//b1808//
ymdF	b4426//
ymfA-ycfZ	b1311//b4428//
ymfED	b1740//b0384//
ymfH-xisE-intE	b1406//b4474//b2473//
ymfI	b1668//
ymfJ	b3901//
ymfK	b0383//
ymfTLMNR-beeE-jayE-ymfQ-ycfK-ymfS	b2800//b3617//b2717//b2621//b2752//b1750//b1311//b1780//b2766//b2814//
ymgA-ariR	b2403//b4625//
ymgC	b1400//
ymgE	b4524//
ymgF	b4512//
ymgGD	b1658//b1827//
ymgH-ycgI	b1117//b3044//
ymiA-yciX	b0186//b3204//
ymjA	b0581//
ymjC-mpaA	b3136//b2972//
ynaA-lomR_1	b1187//b0283//
ynaE	b3620//
ynaI	b0340//
ynaJ	b3403//
ynaK-ydaY	b0136//b1181//
ynbABCD	b3575//b4169//b2781//b0394//
yncD	b2630//
yncE	b1158//
yncG	b0724//
yncH	b1928//
yncI	b3848//
yncJ	b0897//
yncK_1	b2727//
yncK_2	b3631//
yncL	b1154//
yncM	b1294//
yneE	b4302//
yneHG	b4069//b4214//
yneJ	b0624//
yneK	b1636//
yneL	b1493//
yneM	b2216//
ynfA	b2876//
ynfB-speG	b3418//b1394//
ynfC	b3461//
ynfD	b0338//
ynfEFGH-dmsD	b3346//b2434//b2040//b3853//b0689//
ynfK	b2294//
ynfL	b2735//
ynfM	b1535//
ynfN	b1273//
ynfO-ydfO	b0153//istR-1//
ynfP	b4468//
yniA	b4134//
yniB	b0720//
yniC	b2148//
yniD	b4515//
ynjE	b2355//
ynjF	b2408//
ynjH	b3797//
ynjI	b0620//
yoaA	b2309//
yoaB	b2951//
yoaC	b0180//
yoaE	b1583//
yoaF	b2472//
yoaH	b3092//
yoaI	b3179//
yobA-yebZY	b3082//b1023//b0727//
yobB-exoX	b2009//b2763//
yobD	b3561//
yobF-cspC	b3891//b2832//
yobH	b2904//
yodB	b0901//
yodC	b1754//
yodD	b2617//
yoeA	b4064//
yoeE	b2698//
yoeF	b2105//
yohC	b1422//
yohD	b1536//
yohF	b4345//
yohH	b1647//
yohJK	b1655//b2122//
yohO	b4451//
yojI	b1637//
ypdABC	b2347//b2850//b3067//
ypdI	b1230//
ypdJ	b0704//
ypeA-yfeZ	b0970//b3017//
ypeC	b3290//
