#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	insAB-4//
trpS	b2249//
trpT	b4539//
truD	b2147//
trxA	b3952//
trxB	b1265//
trxC	b4167//
tsaB-yeaY	b1112//b2088//
tsaD	b0828//
tsaE-amiB-mutL-miaA-hfq-hflXKC	b3518//b2311//b1062//b1458//b1736//b0245//b3624//b2979//
tsgA	b3982//
tsr	b2257//
tsx	b2911//
ttcA	b4022//
ttdABT	b1533//b3746//b2240//
ttdR	b0935//
tufA	b2161//
tus	b1953//
tusA	b2149//
tusE	b1855//
tynA	b4356//
tyrB	b1390//
tyrP	b0063//
tyrR	b1800//
tyrS-pdxY	b3437//b2920//
tyrTV-tpr	b3497//b0993//b3028//
tyrV-tpr	b1484//ybfH//
uacT	b0819//
ubiCA	b2767//b1767//
ubiD	b2454//
ubiEJB	b4513//b0603//b0661//
ubiF	b3873//
ubiG	b3042//
ubiX	b3560//
ucpA	b1521//
udk-dcd	b2421//b1691//
udp	b4544//
ugd	b4105//
ugpBAECQ	b3743//b2859//b2203//b1743//b1987//
uhpABC	b4596//b3825//b0025//
uhpT	b1531//
uidABC	b4704//b1662//b3658//
uidR	b4045//
ulaABCDEF	b0712//b2112//b4009//b0975//b2421//b0545//
ulaG	b3601//
ulaR	b2574//
umpG-pcm	b2156//C0299//
umpH	b0517//
umuDC	b1839//b3766//
ung	b0672//
uof-fur	b4392//b0483//
upp-uraA	b3267//b1058//
usg-truA-dedA	b1305//b1602//b3333//
ushA	b2195//
uspA	b3135//
uspB	b1554//
uspC	b4298//
uspE	b1621//
uspF	b2723//
uspG	b1573//
uvrA	b2883//
uvrB	b4238//
uvrC	b0439//
uvrD	b0393//
uvrYC	b3960//b4454//
uxaB	b1554//
uxaCA	b0025//b4045//
uxuAB	b0240//b3347//
uxuR	b2997//
valS	b1152//
valUXY-lysV	b2023//b0922//b0158//b1597//
valVW	b2920//b3190//
valZ-lysY	b4159//ykfJ//
ves	b1165//
waaA	b1995//
waaA-coaD	b3560//b0094//
waaH	b4164//
waaQGPSBOJYZU	b0892//b3262//b1449//b4394//b3313//b0729//b2206//b0935//b0025//b2530//
waaYZ	b2213//b2971//
waaZU	yghX_2//b0824//
wbbIJK	b0840//b1776//b2151//
wbbL_2	b3486//
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	b4046//b4417//b2560//b3842//b0403//topAI//b1627//b2904//b3188//insCD-3//b0191//b3780//
wcaKLM	b0891//b4005//b0135//
wecH	b1557//
wrbA-yccJ	b1123//b4053//
wza-wzb-wzc	b1996//b3178//b3534//
wza-wzb-wzc-wcaAB	b1825//b1218//b1814//b4415//b4065//
wzzB	b2528//
xanP	b1775//
xanQ-guaD-ghxQ	b3915//b1593//b3758//
xapAB	b2977//b2174//
xapR	b3788//
xdhABC	b3831//b0453//b2538//
xerD	b3103//
xerD-dsbC-recJ	b0164//b0223//b2372//
xseA	b3011//
xseB-ispA-dxs-yajO	b0692//b4307//b3334//b2250//
xthA	b0086//
xylAB	b1461//b0911//
xylE	b1902//
xylFGHR	b4374//b2610//b1393//b2336//
xylR	b4051//
yaaA	b2619//
yaaI	b2918//
yaaJ	b3478//
yaaU	b4292//
yaaW	b1561//
yaaX	b0915//
yabI	b3330//
yabPQ	b2241//b1478//
yacC-speED	b4517//b1520//b4565//
yacG	b0891//
yacH	b3862//
yacL	b0879//
yadC	b2029//
yadD	b1503//
yadE	b3677//
yadGH	b4215//b0828//
yadI	b1977//
yadMLKC	b2520//b3729//b1884//b1737//
yadN	b3143//
yadV-htrE	b2415//b0465//
yaeF	b0838//
yaeH	b3678//
yaeI	b2453//
yaeP-rof	b0636//b0632//
yaeQ-arfB-nlpE	b2455//insAB-4//b1677//
yaeR	b0283//
yafC	b3328//
yafDE	b3968//b2583//
yafF	yghE//
yafJ	b3497//
yafK	b4371//
yafL	b1471//
yafNOP	b4464//b0276//b4199//
yafS	b0526//
yafT	b2193//
yafU	yedN_1//
yafV	b3458//
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b3718//b4130//b2097//b0044//b2114//b4200//b4363//b1419//
yafZ	b2254//
yagAB-insX	b2215//b3179//b0085//
yagEF	b0780//b0921//
yagGH	b1645//b4595//
yagI	b4273//
yagJ	b2095//
yagK	b1176//
yagML	b2233//b2722//
yagN	b1463//
yagP	b3530//
yagU	b1626//
yahB	b3590//
yahC	b0555//
yahDEFG	b2221//b1935//b1838//b2047//
yahE	b3353//
yahH	b2756//
yahIJ	b0638//b3989//
yahK	b3878//
yahL	b1525//
yahM	b2420//
yahN	b1402//
yahO	b4360//
yaiA-aroM	b4341//b2039//
yaiE	b2066//
yaiF	b3484//
yaiI	istR-1//
yaiL	b2170//
yaiP	b4327//
yaiS	b3295//
yaiT	b1922//
yaiU	b3747//
yaiV	b1268//
yaiXO	b0480//b3149//
yaiY	b0413//
yaiZ	b1669//
yajC-secDF	b3657//b3656//b3778//
yajD	b0877//
yajG	b3602//
yajG-ampG	b1546//b0479//
yajI	b3493//
yajO	b0640//
yajQ	b0771//
yajR	b3033//
ybaA	b2316//
ybaB-recR	b0128//b1178//
ybaE	b2257//
ybaK	b3076//
ybaL	b3092//
ybaN	b4501//
ybaP	b0810//
ybaQ	b4197//
ybaST	b0806//b0604//
ybaV	b2501//
ybaY	b4052//
ybbAP	b0700//b0686//
ybbN	ilvG_2//
ybbY-glxK	b0478//b3293//
ybcC	b1029//
ybcD	b0271//
ybcH	b0429//
ybcI	b1564//
ybcK	b1654//
ybcLM	b2545//b0694//
ybcN-ninE-ybcO-rusA-ylcG	b4026//b0452//b1746//b1759//b1139//
ybcQ	b0766//
ybcV	b0191//
ybcW	b1379//
ybcY	b3769//
ybdD	b0169//
ybdF	b0744//
ybdG	b2158//
ybdH	b3803//
ybdJ	b2004//
ybdK	b0421//
ybdL	b1831//
ybdM	b0132//
ybdN	b0285//
ybdO	b3225//
ybdR	b2847//
ybeD	b0719//
ybeD-lipB	b1579//b2751//
ybeF	b0853//
ybeL	b3359//
ybeM_1M_2	b1588//b0399//
ybeQ	b4060//
ybeR-djlB	b1528//b4558//
ybeT	b1094//
ybeU-djlC	b0916//b0919//
ybeX-lnt	b3811//b4485//
ybeZY	b3961//pbl//
ybeZYX-lnt	b1414//b0067//b1575//b1558//
ybfA	b1566//
ybfD	b4129//
ybfE	b0481//
ybfF	b0019//
ybfHG	b0905//b0022//
ybfL	b3718//
ybfN	b4152//
ybfOC	b0517//b3796//
ybfP	b2124//
ybfQ	b0402//
ybgA-phr	b0728//b1871//
ybgC-tolQRA	b3730//b2344//b2321//b4441//
ybgD	b1651//
ybgIJKL-nei	b2744//b4166//b2376//b0303//b0011//
ybgQPO	insX//b2784//b4243//
ybgS	b2597//
ybhA	b3412//
ybhB	b4082//
ybhC	b0426//
ybhD	b0114//
ybhH	b0299//
ybhI	b4663//
ybhJ	b2927//
ybhK	b3591//
ybhL	b2179//
ybhM	b3644//
ybhP-clsB-ybhN	b1570//qseG//b2529//
ybhQ	b2819//
ybiA	b0379//
ybiB	b1759//
ybiC	b3710//
ybiI	b0076//
ybiJ	b1799//
ybiO	b0807//
ybiT	b3280//
ybiU	b3946//
ybiV	b0553//
ybiX	b2263//
ybiYW	b1744//b2779//
ybjC-nfsA-rimK-ybjN	b3327//b2907//b1757//b1023//
ybjD	b1909//
ybjG	b4433//
ybjH	b4102//
ybjJI	b1246//b4461//
ybjL	b0485//
ybjM	b2167//
ybjN	b0491//
ybjO-rlmC	b3647//b3541//
ybjP	b1246//
ybjQ-amiD	b0402//b2550//
ybjS	mltG//
ybjX	b0602//
ycaC	b0777//
ycaD	b1748//
ycaI-msbA-lpxK-ycaQ	b0475//b0025//b1728//b1331//
ycaK	b1620//
ycaL	b1428//
ycaM	b0276//
ycaN	b0835//
ycaO	b2723//
ycaP	b0162//
ycaR-kdsB	b3088//b4080//
ycbJ	b3595//
ycbK-gloC	b1863//b2090//
ycbX	b3775//
ycbZ	b0431//
yccA	b2611//
yccE	b2278//
yccFS	b2261//b1884//
yccM	b0385//
yccT	b3378//
yccU	b2107//
yccX	b0427//
ycdXY	b2687//b0252//
ycdZ	b2956//
yceA	b2486//
yceB	b4419//
yceD-rpmF	b0847//b3289//
yceF	b0358//
yceH	b3503//
yceI	b0868//
yceJI	b2335//b1182//
yceK	b3595//
yceM	b2189//
yceQ	b3902//
ycfJ	b3041//
ycfT	b0606//
ycgB	b2758//
ycgH_1	b1262//
ycgH_2	b2789//
ycgJ	b1920//
ycgL	b2497//
ycgM	b2840//
ycgN	b3128//
ycgR	b1807//
ycgV	b1571//
ycgX	b1756//
ycgY	b3042//
ycgZ	b4442//
ycgZ-ymgA-ariR-ymgC	b1182//b2398//b3468//b3231//
ychE	b1956//
ychE_2-yhcF	b3450//b2860//
ychF	b0039//
ychG_1G_2	b4150//b2444//
ychH	b3854//
ychJ	b2072//
ychN	b1027//
ychO	b1436//
ychQA-kdsA	b2522//b2736//b4136//
ychS	b2649//
yciA	b0995//
yciCB	b3710//b0285//
yciE	b1881//
yciG	b4166//
yciGFE	b2659//phnE_2//ftp//
yciI	b2861//
yciK-btuR	yedS_1//b4437//
yciN	b1265//
yciT	b1387//
yciVOQ	b2868//b2731//b4121//
yciW	b3729//
yciY	b0227//
yciZT	b1467//b2559//
ycjD	b4181//
ycjG	b0398//
ycjMNOPQRSTUV-ymjB	b0212//b0034//b1522//yfaS_2//b0865//b0863//b4438//b3701//b0170//b0683//b2926//
ycjW	insCD-1//
ycjXF	b0478//b0944//
ycjXF-tyrR	b2070//b0178//insAB-6//
ycjY	b4205//
ycjY-ymjDC-mpaA	b3145//b0530//b1579//b2261//
ydaGF	b2327//b3778//
ydaN	b1929//
ydaSTUVW-rzpR	b2966//b0605//b4423//b0239//b2000//b0168//
ydbA_1	b2438//
ydbA_2	b1754//
ydbC	b2628//
ydbD	b2355//
ydbH-ynbE-ydbL	b1723//b0445//b4232//
ydbJ	b3522//
ydbK	b2770//
ydbK-ompN	b3735//b0250//
ydcA	b3151//
ydcC	b3094//
ydcF	b0113//
ydcH	b3514//
ydcI	b2474//
ydcJ	b1701//
ydcK	b0422//
ydcL	b1613//
ydcM	b3849//
ydcO	b2069//
ydcP	b3188//
ydcR	b1876//
ydcSTUV-patD	b0278//b3116//b4116//b3418//b3904//
ydcY	b1053//
yddAB	b4487//b0817//
yddE	b1523//
yddG	b3901//
yddH	b2728//
yddLKJ	b1347//b0333//b0072//
yddM	b0412//
yddW	b2996//
ydeA	b1635//
ydeE	b1608//
ydeI	b2934//
ydeJ	b3011//
ydeK	b1388//
ydeM	b2774//
ydeN	b0885//
ydeNM	b0896//b0884//
ydeO	b3868//
ydeP	b1816//
ydeQ	b0759//
ydeTSR	b1257//b3731//b0031//
ydeU	b0320//
ydfABC	b4599//b0060//b3597//
ydfG	b2544//
ydfH	b0608//
ydfI	insCD-1//
ydfJ	b1562//
ydfK	b1811//
ydfUT	b2254//b4368//
ydfV	b3744//
ydfZ	b2749//
ydgA	b1902//
ydgC	b1316//
ydgD	b3938//
ydgH	b2112//
ydgI-folM	b4456//b3686//
ydgJ	b2342//
ydgK-rsxABCDGE-nth	b3100//b1196//b0152//b4283//b3951//b2527//b3215//b1879//
ydhB	b3101//
ydhC	b2661//
ydhF	b1635//
ydhIJK	b2827//b0582//b3566//
ydhL	b2843//
ydhP	b0250//
ydhQ	b0431//
ydhR	b3268//
ydhS	b2642//
ydhXUT	b4336//b2289//b0325//
ydhYVW	b0337//b3783//b0011//
ydhYVWXUT	b4477//b2458//b3707//b0639//b0363//b1675//
ydhZ	b4106//
ydiE	b3249//
ydiFO	b2566//b3467//
ydiJ-menI-ydiH	b1871//b1156//b0189//
ydiK	b2630//
ydiL	b1264//
ydiM	b0779//
ydiNB-aroD	b4201//b2112//sdsN//
ydiP	b0708//
ydiQRST-fadK	b3917//b0896//b0459//b3445//b1478//
ydiU	b0101//
ydiV	b2559//
ydiY	b1307//
ydiZ	b1556//
ydjA-selD-topB	b2029//b1651//b2752//
ydjE	b3603//
ydjF	b2498//
ydjLKJIHG	b2962//gapC_2//b0665//b1316//b3457//b3701//
ydjM	b0007//
ydjO	b0427//
ydjXYZ-ynjABCD	b2446//b3823//b1753//b2441//b1038//b2074//b0151//
yeaC	b3316//
yeaD	b1693//
yeaE	b2840//
yeaGH	b1554//b0380//
yeaK	b0103//
yeaL	b1921//
yeaO	b3136//
yeaQ	b0923//
yeaR-yoaG	b0323//b4382//
yeaVW	b4069//b1014//
yeaX	b1266//
yeaY	b2349//
yebB	b2579//
yebC-ruvC	b2666//b3610//
yebE	b0525//
yebF	b2621//
yebG	b2401//
yebK	b3409//
yebO	b2091//
yebQ	insAB-1//
yebST	b1379//b2485//
yebV	b1266//
yebW	b0080//
yecA	b2998//
yecDE	b2807//b2705//
yecF	b2935//
yecH	b0047//
yecJ	b2812//
yecM-cutC	b0562//b3431//
yecN-cmoAB	b1671//b1813//b1442//
yecR	b2634//
yecT	b1387//
yedA	b0246//
yedD	b0131//
yedEF	b0006//b1325//
yedI	b3847//
yedK	b0549//
yedL	b2003//
yedM	b0821//
yedN_1N_2	b0583//b2892//
yedP	b0860//
yedRJ	b4267//b3756//
yedS_1S_2	b3551//b3134//
yedS_3	b2892//
yedWV	b0835//b3488//
yedX	b4455//
yeeA	b0814//
yeeED	b1281//b0759//
yeeJ	b0852//
yeeL_1L_2	b0787//b3744//
yeeN	b0374//
yeeO	b3322//
yeeP	b0349//
yeeRST-cbeA-cbtA-yeeW	b1229//b2751//b0270//b2918//b1603//b0145//
yeeX	b1428//
yeeY	b3690//
yeeZ	b0472//
yefM-yoeB	b1290//b0752//
yegD	b0906//
yegH	b2295//
yegI	yghX_2//
yegJ	b0732//
yegLK	b1904//b2734//
yegP	b1187//
yegQ	b1348//
yegRZ	b3282//b1192//
yegS	b3731//
yegTUV	b3425//b2693//b2043//
yegW	b3081//
yegX	b1345//
yehDCBA	b4533//b0893//b3685//b0710//
yehE	b1946//
yehK	b0653//
yehLMPQ	b3984//b2426//b0662//b2689//
yehR	b1517//
yehS	b4100//
yehUT	b4332//b0260//
yeiE	b1573//
yeiG	b3529//
yeiH	b2225//
yeiI	b0975//
yeiL	b4334//
yeiP	b3509//
yeiQ	b1872//
yeiR-lpxT	b2811//b1552//
yeiW	b1776//
yejABEF	b1644//b3511//b2497//lfhA//
yejG	b0872//
yejK	b1684//
yejLM	b2175//b0962//
yejO	b4071//
yfaATS_1S_2QP	b2276//b0077//b1550//b3068//b2849//b2002//
yfaD-ypaA	b3424//b2367//
yfaE	b1072//
yfaH	b4274//
yfaL	b2286//
yfaVU	b1638//b0205//
yfaX-rhmD	b3888//b4201//
yfaX-rhmD-yfaVU	b0333//b4671//ybeM_2//b4370//
yfaY	b3652//
yfaZ	b3198//
yfbK	b3501//
yfbL	b0038//
yfbM	b3750//
yfbN	b2607//
yfbO	b0569//
yfbP	b1747//
yfbR	b0168//
yfbS	b1609//
yfbUT	b0256//b0015//
yfbV	insB-7_2//
yfcC	b1355//
yfcD	b1751//
yfcE	b3383//
yfcF	b4043//
yfcG	b0651//
yfcI	b4302//
yfcJ	b2463//
yfcUTSRQPO	b0595//b1473//b3564//b2967//b2640//b0718//b4156//
yfcV	ybfG//
yfcZ	b2577//
yfdC	b1245//
yfdE	b3918//
yfdF	b0331//
yfdGHI	b0521//b4099//b4180//
yfdONMLK	b1719//b4452//b1332//b3116//b3292//
yfdPQ	b4242//b3273//
yfdRST	b1919//b1449//insB-7_2//
yfdV	b0723//
yfdX-frc-oxc-yfdVE	b0698//b4410//b0256//b2757//b2937//
yfdY	b0587//
yfeCD	b4071//b1323//
yfeH	b3678//
yfeKS	b4480//b4292//
yfeN	b2440//
yfeO	qorB//
yfeR	b2946//
yfeYX	b2022//b4624//
yffB-dapE-ypfN	b0324//b2840//b1472//
yffL	b4501//
yffMN	b3482//b0565//
yffOP	b2576//b0968//
yffQR	b0125//b4311//
yffS	b3811//
yfgG	b3028//
yfgHI	b1762//molR_1//
yfgJ	b3870//
yfgM	b2907//
yfgO	b3172//
yfhH	b4283//
yfhL	b1338//
yfhM-pbpC	b2109//b1957//
yfhR	b0644//
yfiC	b0234//
yfiE	b1815//
yfiF	b3684//
yfiL	b3389//
yfiM	b3466//
yfiP-patZ	b1836//b1105//
yfiR-dgcN	b2681//b0899//
yfiR-dgcN-yfiB	b3348//b1048//b1851//
yfjD	b1876//
yfjH	b2079//
yfjI	b0404//
yfjJ	b0256//
yfjM	b1508//
yfjPQ	b2540//b0296//
yfjR-ypjK-yfjST	b0925//b4712//b4165//b3978//
yfjW	b1109//
yfjXY-ypjJ-yfjZ-ypjF	b4165//b3034//b0334//b0973//b2760//
ygaC	b3495//
ygaM	b2179//
ygaQ	b0825//
ygaVP	b0788//b4517//
ygaXY	b1355//b2847//
ygaZH	b1436//tfaS//
ygbA	b2743//
ygbE	b3055//
ygbI	b1817//
ygbJK	b3479//b4254//
ygbK	b0818//
ygbLM	b1065//b3810//
ygbN	b1806//
ygcG	b2430//
ygcNOP	b2711//b0238//b2308//
ygcRQ	b2642//b1487//
ygcS	b3497//
ygcU	b3935//
ygcW	b3421//
ygdD	b0737//
ygdG	b3049//
ygdH	b3560//
ygdI	b3387//
ygdQ	b4096//
ygdR	b1641//
ygeA	b2592//
ygeF	b4704//
ygeG	ypaA//
ygeH	b3970//
ygeI	b3027//
ygeLK	b1729//b1352//
ygeP	b3498//
ygeQ	b3686//
ygeR	insCD-6//
ygeV	b0822//
ygeW	b0327//
ygeX	b1853//
ygeY	b0868//
ygfB-pepP-ubiHI	b3210//b4189//b0759//b2889//
ygfF	b3852//
ygfI	b2351//
ygfK-ssnA	b2505//b1179//
ygfM-xdhD	b3352//b2416//
ygfTS	gapC_1//b1694//
ygfZ	b0587//
yggDC	b3956//b1708//
yggE	b1759//
yggI	b4132//
yggM	b4337//
yggN	b1940//
yggR	b0173//
yggSTU-rdgB-yggW	b0656//b2522//b2804//b3294//b3852//
yggX	b1902//
yggX-mltC	b1026//b2400//
yggX-mltC-nupG	b3972//b1013//b0346//
yghA	b1474//
yghB	b0116//
yghED	b1688//b0612//
yghF	b0992//
yghG	b3488//
yghJ	b1541//
yghO	b3288//
yghQ	b0053//
yghSR	b3210//b2611//
yghT	b4181//
yghU	b2121//
yghW	b1450//
yghX_2X_1	b3330//b3215//
ygiD	b3788//
ygiF-glnE	b4520//b3881//
ygiH	b0125//
ygiL	b4545//
ygiM	b2125//
ygiM-cca	b2074//b4055//
ygiN	b4386//
ygiQ	b3812//
ygiS	b4262//
ygiV	b0346//
ygiW	b4073//
ygiZ	b2487//
ygjH	b2528//
ygjI	b4319//
ygjJK	b3769//b3024//
ygjP	b3589//
ygjQ	b0548//
ygjR	b3638//
ygjV	b4502//
yhaBC	b4441//b3139//
yhaH	b3794//
yhaI	b3283//
yhaJ	b0101//
yhaKL	b0059//b0271//
yhaOM	b2711//b4522//
yhbE-obgE	b4230//b3293//
yhbO	b3597//
yhbP	b2092//
yhbQ	b0111//
yhbTS	b1841//b2966//
yhbUV	b4541//b1709//
yhbW	b0341//
yhbX	b2432//
yhbY	b1383//
yhcAD-ychE_1	b1197//b3711//b1326//
yhcB	b0318//
yhcC	b2526//
yhcG	b0766//
yhcN	b0284//
yhcO	b0611//
yhdH	b4023//
yhdJ	b3582//
yhdN-zntR	b2503//b1247//
yhdP	b1469//
yhdT-panF-prmA	b4259//b2393//b0337//
yhdU	b1288//
yhdV	b0624//
yhdWXYZ	b2447//b3621//b0334//b0774//
yheO-tusDCB	b0338//b2337//b3039//b1183//
yheSTU	b1592//b2621//b0585//
yhfA	b0265//
yhfK	b0387//
yhfL	b3334//
yhfXW-php-yhfUTS	b1745//b0008//b0495//b1994//b1489//b0043//
yhfZY	b2560//b2668//
yhgA	b1422//
yhgE	b2328//
yhgF	b1865//
yhgN	b3331//
yhhA	b0442//
yhhH	b1100//
yhhI	b1829//
yhhM	b1318//
yhhN	b4001//
yhhQ	b1390//
yhhS	b2036//
yhhT	b2700//
yhhW	b3318//
yhhX	b4212//
yhhY	b2689//
yhhZ-yrhA-insAB-6A-6B-6	b4359//b1309//b0909//b1019//3'ETS<sup><i>leuZ</i></sup>//
yhiD	b3383//
yhiI-rbbA-yhhJ	b3978//b1802//b3721//
yhiJ	b3690//
yhiK	b2278//
yhiL	b2600//
yhiM	b3335//
yhiN	b0867//
yhiS_1	b3600//
yhjA	b0839//
yhjB	b1264//
yhjC	b3636//
yhjD	b3866//
yhjE	b1271//
yhjG	b2863//
yhjJ	b3890//
yhjR	b1702//
yhjV	b3920//
yhjX	b1739//
yhjY	b1438//
yiaA	b1995//
yiaB	b1610//
yiaD	b3458//
yiaF	b0136//
yiaG	b3800//
yiaJ	b1048//
yiaKLMNO-lyxK-sgbHUE	b4522//b4222//b2573//b0551//b1493//b4199//b2524//b1433//b4174//
yiaT	b3591//
yiaU	b2056//
yiaWV	b3896//b0943//
yiaY	b0136//
yibA	b2597//
yibF	b0113//
yibG	b2993//
yibIH	b2233//b4188//
yibJ	b1090//
yibL	b2649//
yibN	b0793//
yibN-grxC-secB-gpsA	b4030//b1345//b0256//b0719//
yibT	b4509//
yicC	b3795//
yicG	b0034//
yicH	b2558//
yicJI	b0948//b0129//
yicL	b0761//
yicN	b2046//
yicR-rpmBG	b0046//b1749//b1128//
yicR-rpmBG-mutM	b0582//b4133//b2431//b0060//
yicS	b0693//
yidA	b4481//
yidB	b2394//
yidE	b0876//
yidHGF	b1278//b2720//b3899//
yidI	b1303//
yidKJ	b1261//b3565//
yidL	b4513//
yidP	b3716//
yidQ	b0157//
yidR	b3778//
yidX	b3934//
yidZ	b4020//
yieEF	b2242//b2304//
yieH	b1687//
yieP-hsrA	b1519//b0095//
yifB	b4046//
yifK	b0171//
yifL-dapF-yigA-xerC-yigB	b2909//b2334//b3715//b0939//b3168//
yifNO	b3098//b3877//
yigE	b1911//
yigGF	b2542//b2632//
yigI	b2059//
yigM	b1395//
yihA	b0564//
yihD	b0337//
yihF	b0019//
yihG	b2044//
yihI	b0276//
yihLM	b2515//b4255//
yihN	b4512//
yihPO	b4102//b2880//
yihQ	b3177//
yihR	b1708//
yihUTS	b0531//b2585//b3461//
yihVW	b3393//b2154//
yihXY-dtd-yiiD	b2789//b0191//b0347//b2611//
yiiE	b3956//
yiiF	b4401//
yiiG	b4669//
yiiM	b1678//
yiiQ	b1222//
yiiR	b1096//
yiiS-uspD	b4444//b0353//
yiiX	b2108//
yijE	b0991//
yijF	b0421//
yijO	b0378//
yjaA	b2423//
yjaB	b0578//
yjaG	b2447//
yjaH	b1280//
yjaZ	b1606//
yjbB	b1921//
yjbD	b3549//
yjbE	b1454//
yjbEFGH	b2545//b3838//ygaQ//b3878//
yjbFGH	b3039//b1813//b2547//
yjbI	b1178//
yjbJ	b3968//
yjbLM	b3027//b1695//
yjbQR	b2062//b1906//
yjcB	b1564//
yjcE	b0255//
yjcF	b3284//
yjcO	b3465//
yjcS	b2593//
yjdC	mltG//
yjdF	b0149//
yjdIJ	b4207//b1179//
yjdM	b2948//
yjdN	b1650//
yjdP	b1156//
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	b3528//b0369//b4461//b1016//b0959//b2927//b2482//arpB_2//b1693//
yjeH	b2280//
yjeI	b1432//
yjeJ	b2231//
yjeM	b2546//
yjeNO	b4072//b3750//
yjeT	b0110//
yjeV	b3153//
yjfIJ	b1183//b1132//
yjfKLMC	b2529//b4069//b0604//b0814//
yjfN	b0574//
yjfP	b2060//
yjfY	b1400//
yjfZ	insCD-4//
yjgA	b1607//
yjgH	C0067//
yjgL	b3314//
yjgM	b1174//
yjgN	b4258//
yjgR	b1320//
yjgW	b2215//
yjgX_1X_2	b2674//ynfP//
yjgX_3	b2557//
yjgZ	b1926//
yjhBC	b1641//b3359//
yjhD	b2448//
yjhE	b2675//
yjhF	b0498//
yjhIHG	b1632//b3824//b0931//
yjhP	b4669//
yjhR	b2765//
yjhU	b2804//
yjiC	b0167//
yjiHG-iadA	b0530//ecpE//b3371//
yjiJ	b4168//
yjiK	b1011//
yjiML	b1473//b1229//
yjiPQ	b4200//b0184//
yjiR	b2898//
yjiS	b3658//
yjiT	b3636//
yjiV	b2045//
yjiXA	b2819//b3097//
yjiY	b2326//
yjjB-dnaTC	insCD-2//b1484//b4180//
yjjB-dnaTC-yjjA	b0083//b1104//b3649//b3880//
yjjI	b3189//
yjjJ	b0618//
yjjP	b3655//
yjjQ-bglJ	b2048//b4148//
yjjUV	b3804//b3564//
yjjW	b0958//
yjjX	b1029//
yjjY	b3401//
yjjZ	b0225//
yjtD	b0599//
ykfA-yafZ	b2462//b0810//
ykfBF-yafX-ykfGH-yafW-ykfI	b1296//b2436//b1616//b1160//b1619//b0744//b0468//
ykfC	b2032//
ykfGH-yafW-ykfI	b4452//b4360//b4348//b4512//
ykfJ-prfH	b3450//b2014//
ykgA	b0910//
ykgEFG	b3573//b3328//b3276//
ykgH	b0944//
ykgJ	b3804//
ykgL	b3089//
ykgMO	b3634//b0844//
ykgR	b0782//
ykiA	b0084//
ykiB	b1580//
ylaC	b1511//
ylbG	b4163//
yliI	b1801//
ymbA	b3787//
ymcE-gnsA	b2126//b0770//
ymdA	b3376//
ymdB-clsC	b1734//b0758//
ymdE-ycdU	b3011//b0631//
ymdF	b2135//
ymfA-ycfZ	b2604//insAB-3//
ymfED	b1274//b1098//
ymfH-xisE-intE	b2251//b2345//b2020//
ymfI	b0469//
ymfJ	b0107//
ymfK	b1714//
ymfTLMNR-beeE-jayE-ymfQ-ycfK-ymfS	b2400//b2879//b3227//b2144//b3421//b0796//b4169//b0961//b3048//b2777//
ymgA-ariR	b1544//b0591//
ymgC	b3457//
ymgE	b2319//
ymgF	b0773//
ymgGD	b3552//b4082//
ymgH-ycgI	b0139//b0355//
ymiA-yciX	b3988//b1850//
ymjA	insAB-1//
ymjC-mpaA	b0005//b2869//
ynaA-lomR_1	b0647//b0869//
ynaE	b3418//
ynaI	b3445//
ynaJ	b2372//
ynaK-ydaY	b2151//b1085//
ynbABCD	b4454//b4396//b3835//b0031//
yncD	b0592//
yncE	b3220//
yncG	b3555//
yncH	b3696//
yncI	b4132//
yncJ	b3375//
yncK_1	b1188//
yncK_2	b3148//
yncL	b3088//
yncM	b4406//
yneE	b2017//
yneHG	b2204//b0491//
yneJ	b3545//
yneK	prfH//
yneL	b4539//
yneM	b3165//
ynfA	b1596//
ynfB-speG	b0716//b2422//
ynfC	b0675//
ynfD	b1538//
ynfEFGH-dmsD	b4352//mltG//b2196//ycgH_1//b0328//
ynfK	b1727//
ynfL	insEF-2//
ynfM	b3164//
ynfN	b3839//
ynfO-ydfO	b0821//b0938//
ynfP	b3849//
yniA	b2037//
yniB	b0837//
yniC	b2090//
yniD	b4613//
ynjE	b0468//
ynjF	b1486//
ynjH	b4459//
ynjI	b3931//
yoaA	b0975//
yoaB	b0620//
yoaC	b1825//
yoaE	b1453//
yoaF	b1860//
yoaH	b4099//
yoaI	b2490//
yobA-yebZY	b0604//b2861//b1172//
yobB-exoX	b4385//b0790//
yobD	b4323//
yobF-cspC	b1736//b3393//
yobH	b1758//
yodB	b3566//
yodC	b4336//
yodD	b0104//
yoeA	b2438//
yoeE	b0314//
yoeF	b1257//
yohC	b2784//
yohD	b2190//
yohF	b1636//
yohH	b2851//
yohJK	b4054//b3557//
yohO	b2234//
yojI	b0714//
ypdABC	b1677//b4468//b0394//
ypdI	b0057//
ypdJ	b1145//
ypeA-yfeZ	b1144//b2718//
ypeC	b2330//
ypfG	b1897//
