# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Fri Nov 23 12:16:12 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10001	alr	ALARACECAT-RXN//
G7259	pdxK	OHMETPYRKIN-RXN//PNKIN-RXN//PYRAMKIN-RXN//PYRIDOXKIN-RXN//
G7263	murQ	RXN0-4641//
G7265	yfeW	RXN-16649//
G7266	yfeX	PROTOHEMEFERROCHELAT-RXN//
G7288	eutD	PHOSACETYLTRANS-RXN//
G7293	maeB	MALIC-NADP-RXN//
G7322	pbpC	RXN-16650//
G7325	iscS	RXN0-308//RXN-14382//
G7334	hcaC	RXN-12072//HCAMULTI-RXN//
G7335	hcaB	PHENPRODIOLDEHYDROG-RXN//RXN-12071//
G7336	hcaD	RXN-12072//HCAMULTI-RXN//
G7398	ygaP	THIOSULFATE-SULFURTRANSFERASE-RXN//
G7409	pncC	NMNAMIDOHYDRO-RXN//
G7423	ispD	2.7.7.60-RXN//
G7431	queD	RXN0-5507//
G7445	gudD	RXN0-5285//GLUCARDEHYDRA-RXN//
G7452	queF	RXN0-4022//
G7485	xdhA	RXN0-901//RXN-7682//
G7486	xdhB	RXN0-901//RXN-7682//
G7487	xdhC	RXN0-901//RXN-7682//
G7496	mocA	RXN0-6254//
G7502	guaD	GUANINE-DEAMINASE-RXN//
G7508	idi	IPPISOM-RXN//
G7516	scpB	RXN0-310//
G7517	scpC	RXN0-268//
G7544	glcE	GLYCOLATEDEHYDRO-RXN//
G7545	glcD	GLYCOLATEDEHYDRO-RXN//
G7564	yqhD	RXN0-7154//ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN//RXN0-5141//RXN-14023//RXN-15744//RXN0-6487//RXN0-4281//RXN-15743//
G7565	dkgA	RXN0-1941//RXN0-7119//RXN0-4281//RXN0-7020//
G7590	rfaE	RXN0-4341//RXN0-4342//
G7596	patA	PUTTRANSAM-RXN//2.6.1.82-RXN//DIAMTRANSAM-RXN//
G7624	tdcG	4.3.1.17-RXN//RXN-15125//
G7627	tdcE	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
G7631	kbaZ	TAGAALDOL-RXN//
G7642	lpoA	RXN-16649//RXN-16659//RXN-16650//
G7662	kdsD	DARAB5PISOM-RXN//
G7663	kdsC	KDO-8PPHOSPHAT-RXN//
G7668	mtgA	RXN-16650//
G7676	nanK	NANK-RXN//
G7677	nanE	NANE-RXN//
G7698	tsaC	RXN-14569//
G7723	frlB	RXN0-963//
G7724	frlC	RXN0-4841//
G7726	frlD	RXN0-962//
G7742	yrfG	RXN-7609//RXN-7607//
G7800	rffT	FUC4NACTRANS-RXN//
G7843	queG	RXN-12104//
G7855	ulaG	RXN0-5214//
G7858	ulaD	RXN0-705//
G7859	ulaE	LXULRU5P-RXN//
G7860	ulaF	RIBULPEPIM-RXN//
G7892	idnO	GLUCONATE-5-DEHYDROGENASE-RXN//RXN0-7101//
G7893	idnD	1.1.1.264-RXN//L-IDONATE-2-DEHYDROGENASE-RXN//RXN-12107//
G7945	lgoD	RXN0-5229//
G7961	feaB	PHENDEHYD-RXN//
G81	uxaC	GLUCUROISOM-RXN//GALACTUROISOM-RXN//
G8221	ilvG_1	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
G85	xapA	RXN0-7092//XANTHOSINEPHOSPHORY-RXN//INOPHOSPHOR-RXN//RXN0-5199//
GB4478	dgoD	GALACTONDEHYDRAT-RXN//
M004	rpe	RIBULP3EPIM-RXN//
M007	thiM	THIAZOLSYN3-RXN//
M009	hcaE	RXN-12072//HCAMULTI-RXN//
M010	mhpA	RXN-10040//MHPHYDROXY-RXN//
M011	mhpB	1.13.11.16-RXN//RXN-12073//
M012	mhpC	MHPCHYDROL-RXN//RXN-12070//
M013	mhpD	2-OXOPENT-4-ENOATE-HYDRATASE-RXN//
M014	mhpF	ACETALD-DEHYDROG-RXN//
M015	hcaF	RXN-12072//HCAMULTI-RXN//
