# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	recF//
go_1900191_6	
go_1900192_6	
go_1900231_6	queA//
go_1900232_7	
go_1900233_7	ispA//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	rluB//
go_1900751_9	ldtB//
go_1901135_4	waaC//xdhB//gpmM//yeaG//nudB//metB//
go_1901260_9	amyA//
go_1901264_6	xylB//recR//treA//
go_1901275_3	sucB//
go_1901281_6	phr//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	trpE//caiB//gpt//galU//dcd//
go_1901652_5	
go_1901657_5	aldA//clsA//allB//
go_1901661_5	prpB//chbF//
go_1901684_8	dosP//
go_1901891_5	
go_1901998_5	garR//nth//
go_1902021_6	pyrB//
go_1902022_6	uxaA//leuB//
go_1902023_6	speE//
go_1902047_6	pfkA//mrcB//
go_1902201_7	
go_1902208_6	
go_1902209_7	rsmI//
go_1902210_7	
go_1902270_7	mnmG//
go_1902328_5	entH//
go_1902358_7	galE//purU//purB//arnT//
go_1902475_8	gcvT//orn//rlmF//hyaA//gapA//hemD//sufS//
go_1902476_9	cpsB//ilvH//
go_1902599_7	pepD//pabA//
go_1902600_8	lysU//yagE//paaK//mtn//gcl//cobU//cysM//cheR//folE//
go_1902601_8	astB//fabH//
go_1902603_8	dut//
go_1902758_6	umpG//
go_1902760_6	rlmD//
go_1902767_6	eptB//
go_1902777_6	alaA//insI-2//rutE//bfr//
go_1902778_5	aceB//
go_1902815_7	tmcA//
go_1903228_9	tnaA//
go_1903352_7	mltA//
go_1903401_7	guaB//phnJ//
go_1903424_9	deoB//
go_1903457_6	
go_1903506_8	chbG//oxc//
go_1903507_9	ddlA//
go_1903658_6	
go_1903711_7	katE//nanA//
go_1903712_8	mgsA//murB//deoC//
go_1903714_8	cmoA//lpxH//proS//
go_1903716_8	wzb//murQ//
go_1903785_7	poxB//yjcS//ycjU//fadD//argD//
go_1903791_7	purB//cfa//
go_1903810_8	ddlB//puuC//
go_1903825_6	miaB//
go_1903826_8	glcD//pabB//
go_1903830_9	lpxC//putA//
go_1903874_10	alsK//aroG//rluD//
go_1903959_8	lipA//glcE//
go_1904659_9	nirD//
go_1904812_9	astB//
go_1905039_7	gadB//glpX//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	hypB//
go_1990481_8	purN//
go_1990497_6	waaB//
go_1990507_5	
go_1990516_9	lyxK//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	yhdH//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	yccX//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	gstB//
