# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ygjK//
go_1900231_6	lpxD//
go_1900232_7	
go_1900233_7	thiL//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	waaG//
go_1900751_9	lpxM//
go_1901135_4	guaC//nrdE//fau//nrfD//kbaY//nth//
go_1901260_9	purC//
go_1901264_6	treC//nudB//mltA//
go_1901275_3	pta//
go_1901281_6	eptA//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	dmsC//folC//tag//uxaC//ogt//
go_1901652_5	
go_1901657_5	gnd//lpxB//rlmE//
go_1901661_5	purL//napC//
go_1901684_8	arnT//
go_1901891_5	
go_1901998_5	galM//gltX//
go_1902021_6	hypB//
go_1902022_6	cyoE//aes//
go_1902023_6	thiD//
go_1902047_6	rlmE//puuC//
go_1902201_7	
go_1902208_6	
go_1902209_7	rffM//
go_1902210_7	
go_1902270_7	tktB//
go_1902328_5	dapA//
go_1902358_7	ybjI//dapA//clsC//rpiA//
go_1902475_8	wzc//fucO//apaH//ravA//cysD//trpB//ubiX//
go_1902476_9	paaE//fbaA//
go_1902599_7	trmA//bglB//
go_1902600_8	glyS//ilvI//araD//tehB//garD//gcvT//yfbR//ilvD//yhdH//
go_1902601_8	paaB//garR//
go_1902603_8	mug//
go_1902758_6	mnaT//
go_1902760_6	hyi//
go_1902767_6	coaD//
go_1902777_6	tktA//hemB//rbsK//ilvE//
go_1902778_5	nirB//
go_1902815_7	hisA//
go_1903228_9	waaY//
go_1903352_7	ydiF//
go_1903401_7	recO//hdhA//
go_1903424_9	fabH//
go_1903457_6	
go_1903506_8	thiL//phnM//
go_1903507_9	pgi//
go_1903658_6	
go_1903711_7	fklB//ybiV//
go_1903712_8	glyS//rlmH//ascB//
go_1903714_8	ulaF//lyxK//folA//
go_1903716_8	bioD//fre//
go_1903785_7	mltF//lpd//thiH//thiH//sodB//
go_1903791_7	rsmE//menA//
go_1903810_8	fbaA//citC//
go_1903825_6	uxaC//
go_1903826_8	aroF//dfp//
go_1903830_9	aroG//arnB//
go_1903874_10	pykA//tyrB//dbpA//
go_1903959_8	glyS//gntK//
go_1904659_9	waaP//
go_1904812_9	tdcE//
go_1905039_7	napA//ravA//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	deoC//
go_1990481_8	tauD//
go_1990497_6	mnmC//
go_1990507_5	
go_1990516_9	lipA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	pgpA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	relA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	frc//
