# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tmcA//
go_1900191_6	
go_1900192_6	
go_1900231_6	rutC//
go_1900232_7	
go_1900233_7	ilvM//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	lpxD//
go_1900751_9	mepS//
go_1901135_4	acnA//fkpB//relA//hyaA//pdxH//fadB//
go_1901260_9	ilvI//
go_1901264_6	ndk//dnaQ//accC//
go_1901275_3	ispF//
go_1901281_6	ldtB//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	malQ//hpt//nrfD//purU//phnG//
go_1901652_5	
go_1901657_5	lpxB//kdsD//recG//
go_1901661_5	tynA//frlB//
go_1901684_8	dapA//
go_1901891_5	
go_1901998_5	phnL//yccX//
go_1902021_6	purF//
go_1902022_6	thrC//btuR//
go_1902023_6	yfcF//
go_1902047_6	narI//menI//
go_1902201_7	
go_1902208_6	
go_1902209_7	aspA//
go_1902210_7	
go_1902270_7	pdeH//
go_1902328_5	waaS//
go_1902358_7	argC//murF//arnT//metF//
go_1902475_8	glgB//gor//deoB//rluB//ydiO//valS//tauD//
go_1902476_9	pyrE//rsgA//
go_1902599_7	queA//aceA//
go_1902600_8	phnN//fumC//oxc//menA//murC//ppiC//amiD//nadD//ilvE//
go_1902601_8	suhB//caiD//
go_1902603_8	paaJ//
go_1902758_6	appA//
go_1902760_6	gloB//
go_1902767_6	rlmF//
go_1902777_6	miaB//rsmB//ybcF//rluA//
go_1902778_5	pbpC//
go_1902815_7	pdxK//
go_1903228_9	purU//
go_1903352_7	mepS//
go_1903401_7	clsA//mutS//
go_1903424_9	dcyD//
go_1903457_6	
go_1903506_8	pta//fes//
go_1903507_9	rnt//
go_1903658_6	
go_1903711_7	idnK//fabA//
go_1903712_8	ribA//entE//pabA//
go_1903714_8	cheR//rsmA//pyrE//
go_1903716_8	deoC//mltF//
go_1903785_7	maeA//mcrA//phr//narZ//ubiD//
go_1903791_7	trmI//yagE//
go_1903810_8	ravA//rsuA//
go_1903825_6	rffH//
go_1903826_8	metL//mrcA//
go_1903830_9	fklB//aroA//
go_1903874_10	cysI//tsaD//glnE//
go_1903959_8	pheA//alkA//
go_1904659_9	menH//
go_1904812_9	fabG//
go_1905039_7	ligA//rfbC//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	rnb//
go_1990481_8	rfaD//
go_1990497_6	pabB//
go_1990507_5	
go_1990516_9	yfiC//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	nrdA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	ubiX//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	cynT//
