# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ldtE//
go_1900232_7	
go_1900233_7	hcaE//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	melA//
go_1900751_9	nudC//
go_1901135_4	menI//mhpA//waaB//hyaB//coaA//iaaA//
go_1901260_9	proC//
go_1901264_6	waaF//malQ//argS//
go_1901275_3	cobU//
go_1901281_6	yghU//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	trmO//cmoB//chbG//recO//cpsG//
go_1901652_5	
go_1901657_5	rluA//pphB//birA//
go_1901661_5	galE//deoD//
go_1901684_8	araB//
go_1901891_5	
go_1901998_5	yahK//aphA//
go_1902021_6	pdxA//
go_1902022_6	folP//glcE//
go_1902023_6	glcD//
go_1902047_6	glcF//ycjU//
go_1902201_7	
go_1902208_6	
go_1902209_7	iaaA//
go_1902210_7	
go_1902270_7	mltC//
go_1902328_5	yidA//
go_1902358_7	entE//adhP//mnmA//malZ//
go_1902475_8	mhpC//ilvC//nirB//tadA//ttdA//glcF//rlmJ//
go_1902476_9	ssuD//hisF//
go_1902599_7	gatD//dhaM//
go_1902600_8	uxaC//suhB//mnmE//dgcT//acnB//alaC//slyD//paaH//rlmL//
go_1902601_8	lysS//hisC//
go_1902603_8	wzc//
go_1902758_6	ydiF//
go_1902760_6	lsrK//
go_1902767_6	gshB//
go_1902777_6	menE//tdcE//citX//xylB//
go_1902778_5	pheT//
go_1902815_7	kduD//
go_1903228_9	lysU//
go_1903352_7	thrB//
go_1903401_7	mltF//pdxB//
go_1903424_9	treC//
go_1903457_6	
go_1903506_8	rlmI//lacZ//
go_1903507_9	dacC//
go_1903658_6	
go_1903711_7	speA//caiD//
go_1903712_8	melA//adiA//katE//
go_1903714_8	mhpB//aroK//hemG//
go_1903716_8	phr//menI//
go_1903785_7	ydiB//metL//rdgB//hyi//mtlD//
go_1903791_7	fadE//fucI//
go_1903810_8	roxA//lpxP//
go_1903825_6	tehB//
go_1903826_8	cysD//rlmM//
go_1903830_9	frlC//rutC//
go_1903874_10	adeD//mobA//aroL//
go_1903959_8	oxc//leuB//
go_1904659_9	thiM//
go_1904812_9	fadA//
go_1905039_7	mepS//ynfF//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	thrA//
go_1990481_8	patD//
go_1990497_6	folA//
go_1990507_5	
go_1990516_9	dgcM//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	hchA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	cysE//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	rsmH//
