# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	mnmA//
go_1900705_8	
go_1900727_8	astB//
go_1900751_9	tag//
go_1901135_4	xylB//epmC//narH//waaP//lysU//gpmM//
go_1901260_9	pdxA//
go_1901264_6	phnG//alaS//alkA//
go_1901275_3	icd//
go_1901281_6	ugd//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	pgaC//serS//gluQ//yihX//lpxT//
go_1901652_5	
go_1901657_5	guaC//mutT//umpH//
go_1901661_5	rlmH//nudF//
go_1901684_8	murF//
go_1901891_5	
go_1901998_5	yjhH//atoB//
go_1902021_6	polA//
go_1902022_6	hflX//eno//
go_1902023_6	sodB//
go_1902047_6	entF//thiG//
go_1902201_7	
go_1902208_6	
go_1902209_7	hypF//
go_1902210_7	
go_1902270_7	rffC//
go_1902328_5	yigL//
go_1902358_7	adhE//ispH//mtn//ispB//
go_1902475_8	ddlA//bioF//moaE//gor//pphA//panB//ribE//
go_1902476_9	tynA//leuB//
go_1902599_7	tdcB//hisH//
go_1902600_8	rsmB//rsmE//serB//cysE//nfsB//mgsA//nadE//sdhD//metL//
go_1902601_8	dacC//hemE//
go_1902603_8	thiH//
go_1902758_6	yeiG//
go_1902760_6	argI//
go_1902767_6	ruvB//
go_1902777_6	trpE//acnB//trmL//waaU//
go_1902778_5	sdhA//
go_1902815_7	ygjK//
go_1903228_9	adhP//
go_1903352_7	folX//
go_1903401_7	torY//dgcZ//
go_1903424_9	paaF//
go_1903457_6	
go_1903506_8	spoT//bioA//
go_1903507_9	lpxM//
go_1903658_6	
go_1903711_7	nudG//yfeW//
go_1903712_8	dbpA//ydfG//ribA//
go_1903714_8	argA//ttdA//solA//
go_1903716_8	lpxB//ubiF//
go_1903785_7	csdA//hisA//rsmI//mcrB//idnD//
go_1903791_7	galM//dacD//
go_1903810_8	ycjU//dcyD//
go_1903825_6	dnaQ//
go_1903826_8	pncB//dapA//
go_1903830_9	ampD//phnI//
go_1903874_10	trpC//alaS//rpe//
go_1903959_8	eutB//hyaA//
go_1904659_9	cmoB//
go_1904812_9	asd//
go_1905039_7	talB//rfaD//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	aspA//
go_1990481_8	uxaA//
go_1990497_6	moaD//
go_1990507_5	
go_1990516_9	rimK//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	sseA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	moaE//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	rnpA//
