# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ligA//
go_1900232_7	
go_1900233_7	rsmD//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	yagF//
go_1900751_9	truC//
go_1901135_4	tyrB//gph//speG//glxK//suhB//rnpA//
go_1901260_9	mtn//
go_1901264_6	glcF//mltD//argE//
go_1901275_3	ruvB//
go_1901281_6	gpp//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	nanA//speE//yjiA//tsaC//sdaA//
go_1901652_5	
go_1901657_5	xapA//aspS//rihC//
go_1901661_5	hisF//kdgK//
go_1901684_8	ispA//
go_1901891_5	
go_1901998_5	lyxK//narZ//
go_1902021_6	ubiX//
go_1902022_6	sthA//rluD//
go_1902023_6	rdgB//
go_1902047_6	otsB//kdgK//
go_1902201_7	
go_1902208_6	
go_1902209_7	yccX//
go_1902210_7	
go_1902270_7	garL//
go_1902328_5	ribD//
go_1902358_7	argE//frmB//gatD//nanE//
go_1902475_8	hmp//scpC//gpsA//malQ//eptC//psuG//queC//
go_1902476_9	fumA//ubiD//
go_1902599_7	maeA//mltB//
go_1902600_8	dgt//nrdB//acnA//patZ//mrcB//malY//yieF//preA//ligB//
go_1902601_8	murF//pinE//
go_1902603_8	garK//
go_1902758_6	ulaD//
go_1902760_6	menF//
go_1902767_6	gpp//
go_1902777_6	coaD//narY//dxs//agp//
go_1902778_5	gabD//
go_1902815_7	melA//
go_1903228_9	dmlA//
go_1903352_7	hemN//
go_1903401_7	argH//icd//
go_1903424_9	ilvH//
go_1903457_6	
go_1903506_8	mutY//moeB//
go_1903507_9	aspC//
go_1903658_6	
go_1903711_7	accA//trmO//
go_1903712_8	cobT//recJ//preT//
go_1903714_8	nadC//epd//frc//
go_1903716_8	yfbR//ilvN//
go_1903785_7	yahK//ddlA//nhoA//nrdB//pheA//
go_1903791_7	murE//mrdA//
go_1903810_8	dgcZ//uvrB//
go_1903825_6	murQ//
go_1903826_8	gabT//prmB//
go_1903830_9	folA//hcaB//
go_1903874_10	ushA//sodB//fucK//
go_1903959_8	trpC//alsE//
go_1904659_9	rlmA//
go_1904812_9	gatD//
go_1905039_7	ispH//ispA//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	ruvA//
go_1990481_8	leuC//
go_1990497_6	puuA//
go_1990507_5	
go_1990516_9	deoA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	dapD//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	purU//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	dnaE//
