# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	glnA//
go_0101030_8	rffH//
go_1900190_5	murA//
go_1900191_6	
go_1900192_6	
go_1900231_6	metL//
go_1900232_7	
go_1900233_7	uvrB//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	thrB//
go_1900751_9	caiB//
go_1901135_4	scpB//leuS//spoT//moaE//edd//proB//
go_1901260_9	metG//
go_1901264_6	yrfG//mngB//fkpB//
go_1901275_3	nhoA//
go_1901281_6	ahpC//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	waaH//malZ//metC//waaP//dapA//
go_1901652_5	
go_1901657_5	torA//asnS//bioB//
go_1901661_5	rsmH//hcaF//
go_1901684_8	glmM//
go_1901891_5	
go_1901998_5	prmB//rffC//
go_1902021_6	yajO//
go_1902022_6	ribD//hmp//
go_1902023_6	paaH//
go_1902047_6	ribF//hemG//
go_1902201_7	
go_1902208_6	
go_1902209_7	yjhG//
go_1902210_7	
go_1902270_7	rluC//
go_1902328_5	pgpC//
go_1902358_7	frlC//nrdF//rihC//panC//
go_1902475_8	accB//csdA//ansA//yeaG//trmO//yjhH//nadC//
go_1902476_9	prmC//xylB//
go_1902599_7	puuA//eda//
go_1902600_8	pdxH//apt//murB//leuA//gcd//sodB//gloB//tpiA//thiD//
go_1902601_8	mltF//tadA//
go_1902603_8	panE//
go_1902758_6	sucB//
go_1902760_6	nfsB//
go_1902767_6	citG//
go_1902777_6	ldhA//ilvC//pyrH//avtA//
go_1902778_5	leuA//
go_1902815_7	folC//
go_1903228_9	uvrA//
go_1903352_7	glpD//
go_1903401_7	glmM//rhaM//
go_1903424_9	rluD//
go_1903457_6	
go_1903506_8	ybjG//astB//
go_1903507_9	gstB//
go_1903658_6	
go_1903711_7	tauD//lpxC//
go_1903712_8	bioF//pgsA//phnN//
go_1903714_8	metC//waaS//tilS//
go_1903716_8	torC//folP//
go_1903785_7	leuA//ribE//rbsD//nadA//pgsA//
go_1903791_7	cyaA//dusC//
go_1903810_8	cueO//dxs//
go_1903825_6	yciA//
go_1903826_8	rutE//katG//
go_1903830_9	cynS//citC//
go_1903874_10	bioH//hcaF//wecC//
go_1903959_8	guaD//abgA//
go_1904659_9	kdsA//
go_1904812_9	gatY//
go_1905039_7	yajO//cysM//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	yigL//
go_1990481_8	waaP//
go_1990497_6	glxR//
go_1990507_5	
go_1990516_9	fdhF//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	gpmA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	paaF//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	ldtA//
