# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	pta//
go_1900232_7	
go_1900233_7	dxs//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	pldB//
go_1900751_9	xylA//
go_1901135_4	waaA//thiM//rsmE//ruvB//truD//ghrB//
go_1901260_9	araB//
go_1901264_6	glpB//insI-1//rbsD//
go_1901275_3	lpxL//
go_1901281_6	dapF//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	murD//asd//hcaF//thrS//garR//
go_1901652_5	
go_1901657_5	sodC//nrfB//aroG//
go_1901661_5	ldhA//pyrG//
go_1901684_8	mutL//
go_1901891_5	
go_1901998_5	gldA//fabB//
go_1902021_6	mak//
go_1902022_6	ilvB//ahpC//
go_1902023_6	tsaE//
go_1902047_6	idnO//allC//
go_1902201_7	
go_1902208_6	
go_1902209_7	waaG//
go_1902210_7	
go_1902270_7	pabB//
go_1902328_5	xylA//
go_1902358_7	btuR//betA//nrfB//gloC//
go_1902475_8	phnM//narV//thiG//ndh//ynfH//yfdR//fabZ//
go_1902476_9	kduI//rsgA//
go_1902599_7	purD//ilvI//
go_1902600_8	fadM//rluC//birA//adiA//oxc//pabA//pgaB//gadB//cysN//
go_1902601_8	tig//orn//
go_1902603_8	fabG//
go_1902758_6	nrfB//
go_1902760_6	coaE//
go_1902767_6	menE//
go_1902777_6	nth//phnG//tsaC//dmsB//
go_1902778_5	hypB//
go_1902815_7	otsB//
go_1903228_9	pyrG//
go_1903352_7	ribF//
go_1903401_7	guaD//thiG//
go_1903424_9	glcD//
go_1903457_6	
go_1903506_8	nudG//dxs//
go_1903507_9	frmB//
go_1903658_6	
go_1903711_7	ppiC//waaC//
go_1903712_8	deoC//fadB//aspS//
go_1903714_8	cpdA//aroB//fbaA//
go_1903716_8	yqaB//trpC//
go_1903785_7	cheB//aroH//moeB//rlmI//tadA//
go_1903791_7	kdgK//rbsD//
go_1903810_8	tmk//argC//
go_1903825_6	ybjG//
go_1903826_8	lsrK//pdxH//
go_1903830_9	dgkA//yciA//
go_1903874_10	puuE//gatY//epmC//
go_1903959_8	tyrS//sucD//
go_1904659_9	yhdJ//
go_1904812_9	rlmL//
go_1905039_7	pgaD//lpxC//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	ygjK//
go_1990481_8	cynS//
go_1990497_6	rsmC//
go_1990507_5	
go_1990516_9	cysN//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	ubiH//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	mdh//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	hyi//
