# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	murI//
go_0101030_8	cpsB//
go_1900190_5	ispH//
go_1900191_6	
go_1900192_6	
go_1900231_6	uxaB//
go_1900232_7	
go_1900233_7	araA//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	ribA//
go_1900751_9	rlmF//
go_1901135_4	ribB//idnD//pyrG//slt//queA//ppiC//
go_1901260_9	panB//
go_1901264_6	idnD//ung//argG//
go_1901275_3	bacA//
go_1901281_6	idnK//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	tyrS//mobA//gluQ//kdsC//pabA//
go_1901652_5	
go_1901657_5	nudF//thrC//bioF//
go_1901661_5	argB//leuC//
go_1901684_8	fruK//
go_1901891_5	
go_1901998_5	dgcZ//arnT//
go_1902021_6	ygjK//
go_1902022_6	narG//moaD//
go_1902023_6	wzb//
go_1902047_6	rbn//dcm//
go_1902201_7	
go_1902208_6	
go_1902209_7	murD//
go_1902210_7	
go_1902270_7	rluD//
go_1902328_5	ddlB//
go_1902358_7	cpsB//mutL//pgaB//cmk//
go_1902475_8	pcm//paaZ//carA//gltX//gatD//curA//waaQ//
go_1902476_9	gshB//rbsD//
go_1902599_7	aroK//tdk//
go_1902600_8	fau//cyoE//ribC//dapF//garR//idi//mtlD//hmp//deoA//
go_1902601_8	alaC//gpmA//
go_1902603_8	serC//
go_1902758_6	mrdA//
go_1902760_6	ung//
go_1902767_6	ybiV//
go_1902777_6	ligB//tdk//moeB//curA//
go_1902778_5	thyA//
go_1902815_7	folM//
go_1903228_9	mltB//
go_1903352_7	menH//
go_1903401_7	nrfD//tsaE//
go_1903424_9	wzc//
go_1903457_6	
go_1903506_8	dgoD//mnmA//
go_1903507_9	pfkB//
go_1903658_6	
go_1903711_7	hcaD//galK//
go_1903712_8	tmk//astB//speC//
go_1903714_8	adiA//hisD//rnb//
go_1903716_8	sdhC//pheT//
go_1903785_7	glgP//yqjH//gadB//fadE//fkpA//
go_1903791_7	yfdR//ndk//
go_1903810_8	yjhH//moaD//
go_1903825_6	dgoA//
go_1903826_8	ilvA//rlmG//
go_1903830_9	cysI//caiD//
go_1903874_10	moaA//purF//pheT//
go_1903959_8	trmI//pheS//
go_1904659_9	leuB//
go_1904812_9	rlmE//
go_1905039_7	malY//rlmI//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	carA//
go_1990481_8	ilvH//
go_1990497_6	bioB//
go_1990507_5	
go_1990516_9	cysD//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	nfsB//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	arnB//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	pgl//
