# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	murF//
go_1900192_6	
go_1900231_6	metH//
go_1900232_7	
go_1900233_7	ansA//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	rhaM//
go_1900751_9	pagP//
go_1901135_4	yjjX//thiH//yciA//thiG//mtgA//yfeW//
go_1901260_9	asnS//
go_1901264_6	nrdB//ribF//yihT//
go_1901275_3	phnM//
go_1901281_6	folX//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	fcl//ybjG//uxaB//ligA//thiH//
go_1901652_5	
go_1901657_5	hisA//yihV//deoA//
go_1901661_5	thiC//nagB//
go_1901684_8	carA//
go_1901891_5	
go_1901998_5	hpt//lysU//
go_1902021_6	etp//
go_1902022_6	wzc//hisI//
go_1902023_6	lysS//
go_1902047_6	ppx//thrA//
go_1902201_7	
go_1902208_6	
go_1902209_7	recG//
go_1902210_7	
go_1902270_7	hemN//
go_1902328_5	fadM//
go_1902358_7	napC//sodA//tcdA//dgcZ//
go_1902475_8	metB//yfiC//folE//adhE//recF//rsmH//gpsA//
go_1902476_9	chbF//entF//
go_1902599_7	insI-2//prmC//
go_1902600_8	pdxK//lplA//ruvA//scpC//citX//narV//frlC//purF//hemC//
go_1902601_8	ulaD//puuA//
go_1902603_8	pfkB//
go_1902758_6	thiL//
go_1902760_6	rpe//
go_1902767_6	tig//
go_1902777_6	fbp//thiC//hisI//uxaC//
go_1902778_5	gadA//
go_1902815_7	fadD//
go_1903228_9	rfe//
go_1903352_7	pta//
go_1903401_7	hisI//cysQ//
go_1903424_9	garR//
go_1903457_6	
go_1903506_8	folM//nth//
go_1903507_9	lldD//
go_1903658_6	
go_1903711_7	accD//prpD//
go_1903712_8	adiA//pyrE//fcl//
go_1903714_8	mug//metB//eptC//
go_1903716_8	paaB//yjjG//
go_1903785_7	pcm//yqjH//cysE//add//ada//
go_1903791_7	dmlA//prmC//
go_1903810_8	pyrB//gluQ//
go_1903825_6	murC//
go_1903826_8	yjhG//fumB//
go_1903830_9	dkgA//yfeX//
go_1903874_10	rlmL//pyrE//ymdB//
go_1903959_8	gmk//sdhA//
go_1904659_9	asd//
go_1904812_9	puuA//
go_1905039_7	mraY//metB//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	rlmE//
go_1990481_8	ychF//
go_1990497_6	leuS//
go_1990507_5	
go_1990516_9	purU//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	waaP//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	cysM//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	frmB//
