#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	yrhA//
trpCBA	b2688//b2427//b0222//
trpL	b4145//
trpLEDCBA	b0658//b0319//b3753//b3684//b2017//b4161//
trpR	b1256//
trpS	b0011//
trpT	b2445//
truD	b4408//
trxA	b2128//
trxB	b1854//
trxC	b3261//
tsaB-yeaY	b1990//b1375//
tsaD	b1336//
tsaE-amiB-mutL-miaA-hfq-hflXKC	b2760//b0355//b0618//b2074//b1066//b1299//b3164//b3966//
tsgA	b0767//
tsr	b1859//
tsx	b3167//
ttcA	b2461//
ttdABT	b2649//b1358//b3051//
ttdR	b0328//
tufA	b0477//
tus	b2488//
tusA	b2065//
tusE	b2525//
tynA	b4458//
tyrB	b0369//
tyrP	b1654//
tyrR	b0679//
tyrS-pdxY	b4368//b1582//
tyrTV-tpr	b3802//b0541//b3163//
tyrV-tpr	b1543//b2074//
uacT	b4108//
ubiCA	b2375//b3382//
ubiD	b1781//
ubiEJB	b4305//b2846//b0597//
ubiF	b2899//
ubiG	b1059//
ubiX	b1543//
ucpA	b3480//
udk-dcd	b1322//b2199//
udp	b0324//
ugd	b2786//
ugpBAECQ	b2051//b2872//b3855//b3749//b2994//
uhpABC	b3992//b4512//b3107//
uhpT	b4699//
uidABC	b1995//b4460//b1788//
uidR	b3404//
ulaABCDEF	b2018//b4128//b2124//b2541//b4450//b2174//
ulaG	b1125//
ulaR	b2585//
umpG-pcm	b2211//sroG//
umpH	b0814//
umuDC	b1894//b0260//
ung	b0422//
uof-fur	b2112//b1011//
upp-uraA	b4240//b4243//
usg-truA-dedA	b0686//b4164//b4305//
ushA	b0051//
uspA	b2465//
uspB	b0610//
uspC	b1301//
uspE	b3716//
uspF	b1004//
uspG	b4292//
uvrA	b1610//
uvrB	b2699//
uvrC	b0185//
uvrD	b0735//
uvrYC	b0761//b0416//
uxaB	b4109//
uxaCA	b3525//b4398//
uxuAB	lfhA//b4110//
uxuR	b1372//
valS	b1981//
valUXY-lysV	b4376//b0766//b2617//b1851//
valVW	b2178//b1989//
valZ-lysY	b3742//b1365//
ves	b0567//
waaA	b3619//
waaA-coaD	b2542//b1649//
waaH	b0819//
waaQGPSBOJYZU	b1616//b3200//b3626//b1050//b3877//b3315//b1254//b1870//b1944//b1155//
waaYZ	insX//insCD-5//
waaZU	b3672//b2998//
wbbIJK	b1744//b0008//b4113//
wbbL_2	b2987//
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	b2140//b2761//b0711//b4143//b1642//b3454//b4603//b3068//b1824//b2288//b1962//b2066//
wcaKLM	b0532//b4421//b0647//
wecH	b4417//
wrbA-yccJ	b1188//b0228//
wza-wzb-wzc	b0965//b2176//b3631//
wza-wzb-wzc-wcaAB	b4271//b0751//b2963//b3238//b2747//
wzzB	b0587//
xanP	b2201//
xanQ-guaD-ghxQ	b2106//b0065//b1800//
xapAB	b2007//b4451//
xapR	b0980//
xdhABC	b1313//qorB//b4180//
xerD	b3403//
xerD-dsbC-recJ	b3834//b4165//b1394//
xseA	b0214//
xseB-ispA-dxs-yajO	ecpC//b3590//b2859//b4298//
xthA	b3796//
xylAB	b0653//b4311//
xylE	b2719//
xylFGHR	b0898//b2871//b3439//b3349//
xylR	b1675//
yaaA	b4417//
yaaI	b2681//
yaaJ	b2047//
yaaU	b0306//
yaaW	b3968//
yaaX	b4155//
yabI	b3488//
yabPQ	b0637//b4207//
yacC-speED	b3619//b2362//b2535//
yacG	b3828//
yacH	b1703//
yacL	b0169//
yadC	b0029//
yadD	b0600//
yadE	b4480//
yadGH	b4155//b4053//
yadI	b0181//
yadMLKC	b2407//b2472//b2619//b1152//
yadN	b2751//
yadV-htrE	b1742//b1046//
yaeF	b3499//
yaeH	b2644//
yaeI	b0360//
yaeP-rof	b3265//b1303//
yaeQ-arfB-nlpE	b4687//b0807//b1487//
yaeR	b1147//
yafC	b0642//
yafDE	b2431//b2670//
yafF	b3797//
yafJ	b0820//
yafK	b4307//
yafL	b2016//
yafNOP	b2863//b0916//b1705//
yafS	b4084//
yafT	b2546//
yafU	b3724//
yafV	b0756//
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b1153//b0233//b1913//b2357//b3669//b1347//b2558//b3273//
yafZ	b2394//
yagAB-insX	b3120//b2099//b1093//
yagEF	b3005//b0637//
yagGH	b0607//b3924//
yagI	b3023//
yagJ	b1984//
yagK	b4478//
yagML	b2053//b3253//
yagN	b4147//
yagP	b3927//
yagU	b3712//
yahB	b1163//
yahC	b3961//
yahDEFG	b2174//b0403//b2160//b2332//
yahE	b2384//
yahH	b2295//
yahIJ	b0885//b3181//
yahK	b2062//
yahL	b3761//
yahM	b1255//
yahN	b3565//
yahO	b2234//
yaiA-aroM	b4010//b3450//
yaiE	b2186//
yaiF	b1323//
yaiI	b2429//
yaiL	b1138//
yaiP	b0515//
yaiS	b4546//
yaiT	b0976//
yaiU	b1521//
yaiV	b0846//
yaiXO	b1445//molR_1//
yaiY	b1652//
yaiZ	b3943//
yajC-secDF	b0750//b4521//b1800//
yajD	b0389//
yajG	b1878//
yajG-ampG	b0949//b3227//
yajI	b3631//
yajO	b4449//
yajQ	b0927//
yajR	b2098//
ybaA	b3380//
ybaB-recR	b2687//b3563//
ybaE	b3124//
ybaK	b0233//
ybaL	b4479//
ybaN	b0259//
ybaP	b0317//
ybaQ	b0850//
ybaST	b0499//b1033//
ybaV	b1236//
ybaY	b2551//
ybbAP	b1098//b2119//
ybbN	b1071//
ybbY-glxK	b0468//insEF-1//
ybcC	b3121//
ybcD	b0286//
ybcH	b3076//
ybcI	b1421//
ybcK	b1384//
ybcLM	b2043//b2784//
ybcN-ninE-ybcO-rusA-ylcG	b0652//b2257//b3002//b1293//b2437//
ybcQ	b2128//
ybcV	b3416//
ybcW	b2044//
ybcY	b2735//
ybdD	b2157//
ybdF	tpke11//
ybdG	b1629//
ybdH	b1086//
ybdJ	b3485//
ybdK	b3530//
ybdL	b3850//
ybdM	b2409//
ybdN	b2592//
ybdO	b1147//
ybdR	b3225//
ybeD	b3301//
ybeD-lipB	b2968//b0238//
ybeF	b2525//
ybeL	b3539//
ybeM_1M_2	b0454//b3980//
ybeQ	b3833//
ybeR-djlB	b3555//b4227//
ybeT	b3784//
ybeU-djlC	b0912//b0552//
ybeX-lnt	b4225//b1767//
ybeZY	b3147//b1937//
ybeZYX-lnt	b1803//b1643//b2153//b1109//
ybfA	b2546//
ybfD	b1772//
ybfE	b1048//
ybfF	b4618//
ybfHG	b3783//b2728//
ybfL	b4237//
ybfN	b1674//
ybfOC	b3413//b2320//
ybfP	b1223//
ybfQ	b1358//
ybgA-phr	b2017//b0819//
ybgC-tolQRA	b2946//b0258//b4260//b1957//
ybgD	b3237//
ybgIJKL-nei	b2800//b0841//b0028//b4466//b3987//
ybgQPO	b0998//b1949//b0709//
ybgS	b2565//
ybhA	b0897//
ybhB	b4277//
ybhC	b2574//
ybhD	b2079//
ybhH	b4224//
ybhI	b2832//
ybhJ	b0806//
ybhK	b2684//
ybhL	b0812//
ybhM	b2913//
ybhP-clsB-ybhN	b0058//b4049//b4002//
ybhQ	b1630//
ybiA	b3365//
ybiB	b1004//
ybiC	b1842//
ybiI	b3858//
ybiJ	b0019//
ybiO	b4196//
ybiT	b3711//
ybiU	b4145//
ybiV	b0840//
ybiX	b2233//
ybiYW	b3063//b2513//
ybjC-nfsA-rimK-ybjN	b2693//b2822//b2952//b2316//
ybjD	b1697//
ybjG	b2078//
ybjH	b2409//
ybjJI	b0322//b3240//
ybjL	b1182//
ybjM	b4391//
ybjN	b0032//
ybjO-rlmC	b0525//b0772//
ybjP	b2200//
ybjQ-amiD	b1657//b1886//
ybjS	b0591//
ybjX	b3449//
ycaC	b2286//
ycaD	b3427//
ycaI-msbA-lpxK-ycaQ	b4294//b3604//b3771//b1056//
ycaK	b3649//
ycaL	b2595//
ycaM	b4369//
ycaN	b0896//
ycaO	b1691//
ycaP	b0355//
ycaR-kdsB	b1574//b3281//
ycbJ	b3822//
ycbK-gloC	b0990//b2337//
ycbX	b4010//
ycbZ	b0734//
yccA	b3190//
yccE	b4392//
yccFS	b0494//b3059//
yccM	b0683//
yccT	b3832//
yccU	b2625//
yccX	b3281//
ycdXY	b3295//b0728//
ycdZ	b0084//
yceA	b2160//
yceB	b0385//
yceD-rpmF	b3313//b1161//
yceF	b0454//
yceH	b0526//
yceI	b3552//
yceJI	b0103//b4444//
yceK	b0043//
yceM	b0608//
yceQ	b0295//
ycfJ	b2605//
ycfT	b0578//
ycgB	b0883//
ycgH_1	b3680//
ycgH_2	b3491//
ycgJ	b0528//
ycgL	b4555//
ycgM	b0247//
ycgN	b1834//
ycgR	b0211//
ycgV	b4033//
ycgX	b0889//
ycgY	b1548//
ycgZ	b2026//
ycgZ-ymgA-ariR-ymgC	b2676//b0996//b4043//b1526//
ychE	b2300//
ychE_2-yhcF	b1331//b3689//
ychF	b0140//
ychG_1G_2	b2155//b1462//
ychH	b0239//
ychJ	b2346//
ychN	b4224//
ychO	b0884//
ychQA-kdsA	b1232//b3043//b4045//
ychS	b0444//
yciA	b0606//
yciCB	b4279//b3941//
yciE	b4328//
yciG	b0909//
yciGFE	b3061//b1845//b3774//
yciI	b1627//
yciK-btuR	yedN_2//b3312//
yciN	b2953//
yciT	b2515//
yciVOQ	b0305//b4415//b0265//
yciW	b2221//
yciY	b2718//
yciZT	b1029//b1245//
ycjD	b0381//
ycjG	b2494//
ycjMNOPQRSTUV-ymjB	b0715//b0402//b2808//b1407//b4702//b0594//b1545//b1016//b1889//b4074//b4364//
ycjW	b1946//
ycjXF	b4213//b3891//
ycjXF-tyrR	b3772//b3017//b0399//
ycjY	b1307//
ycjY-ymjDC-mpaA	b3060//b0470//insEF-2//b3421//
ydaGF	b4179//b0143//
ydaN	b3596//
ydaSTUVW-rzpR	b1890//b4110//b4439//b2303//b0506//b1371//
ydbA_1	b4208//
ydbA_2	b2295//
ydbC	b3433//
ydbD	b3550//
ydbH-ynbE-ydbL	b3610//b2224//b0567//
ydbJ	b0902//
ydbK	b1957//
ydbK-ompN	b2545//b0801//
ydcA	b0851//
ydcC	b1885//
ydcF	b2740//
ydcH	b1539//
ydcI	b0518//
ydcJ	b3008//
ydcK	b3190//
ydcL	b2530//
ydcM	b3250//
ydcO	b1463//
ydcP	b1725//
ydcR	b0525//
ydcSTUV-patD	b3989//b4195//b0270//b1087//b1580//
ydcY	b0773//
yddAB	b1136//b0160//
yddE	b3853//
yddG	b1923//
yddH	b0366//
yddLKJ	b2972//b1564//b1123//
yddM	b3220//
yddW	b1355//
ydeA	b2400//
ydeE	b4522//
ydeI	b3266//
ydeJ	b2180//
ydeK	b1082//
ydeM	b2488//
ydeN	b1252//
ydeNM	b0997//b1054//
ydeO	b2852//
ydeP	b2928//
ydeQ	b0760//
ydeTSR	b0066//b1270//b4455//
ydeU	b1216//
ydfABC	b1707//b0126//b0833//
ydfG	b0099//
ydfH	b0948//
ydfI	b3056//
ydfJ	b3648//
ydfK	b1604//
ydfUT	b1340//b4388//
ydfV	b1409//
ydfZ	b3680//
ydgA	b0966//
ydgC	b1223//
ydgD	b2893//
ydgH	b2946//
ydgI-folM	b1984//b4206//
ydgJ	b2370//
ydgK-rsxABCDGE-nth	b2952//b1690//b3960//b4127//b3395//b2350//b2428//b3334//
ydhB	b4095//
ydhC	b4521//
ydhF	b3566//
ydhIJK	b0527//b4444//b2334//
ydhL	b0402//
ydhP	b3202//
ydhQ	b3804//
ydhR	b3324//
ydhS	b2110//
ydhXUT	b3755//b1595//b3590//
ydhYVW	b3161//b0564//b1566//
ydhYVWXUT	b0597//b4017//b3014//b3735//b0508//b3051//
ydhZ	b3012//
ydiE	b3758//
ydiFO	b3758//b0653//
ydiJ-menI-ydiH	b0973//b3645//b0474//
ydiK	b1376//
ydiL	b0928//
ydiM	b2797//
ydiNB-aroD	b3461//b2608//b0110//
ydiP	b1433//
ydiQRST-fadK	b1179//b2609//b2767//b1072//b2937//
ydiU	b3807//
ydiV	b0060//
ydiY	b3293//
ydiZ	b4239//
ydjA-selD-topB	b2308//b0693//b4441//
ydjE	b0115//
ydjF	b4432//
ydjLKJIHG	b1186//b3561//b0545//b2419//b0154//b3034//
ydjM	b3221//
ydjO	b1465//
ydjXYZ-ynjABCD	b3781//b4312//b4001//b2197//b1847//b2556//b1233//
yeaC	b2442//
yeaD	b4222//
yeaE	b1237//
yeaGH	b4070//b3754//
yeaK	b2800//
yeaL	b0278//
yeaO	b4349//
yeaQ	b2766//
yeaR-yoaG	b0296//b0789//
yeaVW	b2553//b0042//
yeaX	b4389//
yeaY	b2224//
yebB	b3538//
yebC-ruvC	b3588//b2487//
yebE	b2643//
yebF	b0432//
yebG	b3379//
yebK	b1949//
yebO	b0228//
yebQ	b2635//
yebST	b0283//b2081//
yebV	b4302//
yebW	b0783//
yecA	b4175//
yecDE	b3599//b2060//
yecF	b2770//
yecH	b0606//
yecJ	b1161//
yecM-cutC	b4206//b4209//
yecN-cmoAB	b1838//b4366//b3688//
yecR	b3297//
yecT	b2197//
yedA	molR_2//
yedD	b1702//
yedEF	b2790//b1111//
yedI	b0968//
yedK	b0919//
yedL	b0653//
yedM	b0862//
yedN_1N_2	b1750//b3761//
yedP	b1089//
yedRJ	b3604//b3875//
yedS_1S_2	b1450//b1937//
yedS_3	gadF//
yedWV	b4112//b0101//
yedX	b0786//
yeeA	b3188//
yeeED	insAB-2//b2291//
yeeJ	b1751//
yeeL_1L_2	b3835//b2165//
yeeN	b2174//
yeeO	b0372//
yeeP	b2842//
yeeRST-cbeA-cbtA-yeeW	b4267//b1490//b0486//b0414//b4139//b1497//
yeeX	b3919//
yeeY	b1056//
yeeZ	b0069//
yefM-yoeB	b0062//b1256//
yegD	b4027//
yegH	b2951//
yegI	b2270//
yegJ	b2927//
yegLK	b1688//b4170//
yegP	b2683//
yegQ	b0227//
yegRZ	b0929//b1575//
yegS	b1236//
yegTUV	b0800//b0894//b1319//
yegW	b2904//
yegX	b0317//
yehDCBA	b4671//b0919//b1703//b1485//
yehE	b1156//
yehK	b2405//
yehLMPQ	b2134//b1998//b0211//b1228//
yehR	b1740//
yehS	b3731//
yehUT	b1207//yjiV//
yeiE	b0368//
yeiG	b1659//
yeiH	b2147//
yeiI	b2929//
yeiL	b4365//
yeiP	b3804//
yeiQ	b2643//
yeiR-lpxT	b2996//b0073//
yeiW	b2640//
yejABEF	b0125//b0523//b2442//b0763//
yejG	b2577//
yejK	b3666//
yejLM	b4457//ilvG_2//
yejO	b3360//
yfaATS_1S_2QP	b1639//b4568//b4536//b4483//b3870//b2564//
yfaD-ypaA	b4412//b0802//
yfaE	b2276//
yfaH	b0108//
yfaL	b3236//
yfaVU	b2880//b1432//
yfaX-rhmD	b2297//b4212//
yfaX-rhmD-yfaVU	b0195//b4050//b0333//b0799//
yfaY	b1997//
yfaZ	b3666//
yfbK	b1204//
yfbL	b0486//
yfbM	b0880//
yfbN	b3444//
yfbO	b2550//
yfbP	b1138//
yfbR	ycgH_1//
yfbS	b1468//
yfbUT	b3115//b1146//
yfbV	b4199//
yfcC	b0384//
yfcD	b2250//
yfcE	b0551//
yfcF	b1932//
yfcG	b4364//
yfcI	b1921//
yfcJ	b1941//
yfcUTSRQPO	b1706//b3135//b0562//b4568//b2324//b2390//b0649//
yfcV	b3720//
yfcZ	b4145//
yfdC	yeeL_1//
yfdE	b2774//
yfdF	b2851//
yfdGHI	b2052//b1324//b3039//
yfdONMLK	b3511//b0329//b4330//b1735//b3990//
yfdPQ	b2321//b0954//
yfdRST	b2891//b4203//b3803//
yfdV	b0491//
yfdX-frc-oxc-yfdVE	b3622//b4172//b0635//b1289//b4371//
yfdY	b1920//
yfeCD	b0401//b2939//
yfeH	b4550//
yfeKS	b0950//b0517//
yfeN	b3327//
yfeO	b2018//
yfeR	b4121//
yfeYX	b4116//b2460//
yffB-dapE-ypfN	b4056//b0245//b4321//
yffL	b3494//
yffMN	b1837//b0214//
yffOP	b2464//b4113//
yffQR	b4523//b3648//
yffS	b1173//
yfgG	b3501//
yfgHI	b2491//b2908//
yfgJ	b4577//
yfgM	b1319//
yfgO	b4541//
yfhH	b0240//
yfhL	b0771//
yfhM-pbpC	b3220//b0779//
yfhR	b0156//
yfiC	b1122//
yfiE	b0408//
yfiF	b1607//
yfiL	b0152//
yfiM	b1752//
yfiP-patZ	b2187//b0380//
yfiR-dgcN	b2830//b0219//
yfiR-dgcN-yfiB	b1915//b4608//b4113//
yfjD	b1385//
yfjH	b3402//
yfjI	b0507//
yfjJ	insCD-1//
yfjM	b2428//
yfjPQ	b0761//b0169//
yfjR-ypjK-yfjST	b2680//b0641//b3885//b4134//
yfjW	b3319//
yfjXY-ypjJ-yfjZ-ypjF	b4447//b1295//b0110//b1260//b3433//
ygaC	b4218//
ygaM	b3250//
ygaQ	b2180//
ygaVP	b1231//b0947//
ygaXY	b2458//b2001//
ygaZH	b2452//b0103//
ygbA	b1212//
ygbE	b2109//
ygbI	b2641//
ygbJK	b3897//b4055//
ygbK	b1016//
ygbLM	b4249//b2499//
ygbN	b2825//
ygcG	b1321//
ygcNOP	b1431//b0304//b1738//
ygcRQ	b1137//b1846//
ygcS	b3829//
ygcU	b2770//
ygcW	b1870//
ygdD	b4311//
ygdG	b4663//
ygdH	b3810//
ygdI	b2358//
ygdQ	b1249//
ygdR	b0345//
ygeA	b4281//
ygeF	b3018//
ygeG	b0027//
ygeH	b0511//
ygeI	b1206//
ygeLK	b1754//b1084//
ygeP	b3836//
ygeQ	b3035//
ygeR	b2598//
ygeV	b4008//
ygeW	b0508//
ygeX	b2169//
ygeY	b1726//
ygfB-pepP-ubiHI	b0248//b1528//b0699//b3243//
ygfF	b3025//
ygfI	b0082//
ygfK-ssnA	b2764//b3051//
ygfM-xdhD	b0087//b2027//
ygfTS	b1459//b2805//
ygfZ	b0681//
yggDC	b0785//b2169//
yggE	b3864//
yggI	b0439//
yggM	b3581//
yggN	b0271//
yggR	b2154//
yggSTU-rdgB-yggW	b3203//b2338//b2452//b3774//b3354//
yggX	b2286//
yggX-mltC	b0471//b0698//
yggX-mltC-nupG	b2341//b2948//b1105//
yghA	molR_2//
yghB	b3792//
yghED	b0810//b0131//
yghF	b1702//
yghG	b3340//
yghJ	b2142//
yghO	b1238//
yghQ	b3536//
yghSR	b0900//b1160//
yghT	b1935//
yghU	b1194//
yghW	b3292//
yghX_2X_1	b4243//b3091//
ygiD	b0227//
ygiF-glnE	b1701//b4671//
ygiH	b3060//
ygiL	b0987//
ygiM	b2521//
ygiM-cca	b3347//b2506//
ygiN	b3194//
ygiQ	b3411//
ygiS	b4637//
ygiV	b0384//
ygiW	b4099//
ygiZ	b2450//
ygjH	b0952//
ygjI	b3610//
ygjJK	b0541//b0041//
ygjP	b4338//
ygjQ	b3912//
ygjR	b4132//
ygjV	b1322//
yhaBC	b3721//b3117//
yhaH	b0359//
yhaI	b2904//
yhaJ	b4350//
yhaKL	b2719//b4346//
yhaOM	b2389//b1175//
yhbE-obgE	b0022//b3299//
yhbO	b2976//
yhbP	b2524//
yhbQ	b1537//
yhbTS	b1656//b4060//
yhbUV	b0901//b3513//
yhbW	b0093//
yhbX	b1287//
yhbY	b3267//
yhcAD-ychE_1	b3884//b0991//b1300//
yhcB	b2154//
yhcC	b2774//
yhcG	b2820//
yhcN	b3878//
yhcO	b1664//
yhdH	b3591//
yhdJ	b1359//
yhdN-zntR	b2789//b3440//
yhdP	b2219//
yhdT-panF-prmA	b0137//b1068//b4076//
yhdU	b1495//
yhdV	b0456//
yhdWXYZ	yjiV//b3268//b0605//intG//
yheO-tusDCB	b3874//b0684//b1422//b0915//
yheSTU	b2423//b3442//b3336//
yhfA	b0801//
yhfK	b1324//
yhfL	b0889//
yhfXW-php-yhfUTS	insAB-1//b2064//b2556//b2352//b2060//b2054//
yhfZY	b0774//b2626//
yhgA	b3736//
yhgE	b2936//
yhgF	b4445//
yhgN	b2041//
yhhA	b0930//
yhhH	b1096//
yhhI	b0649//
yhhM	b1230//
yhhN	b2430//
yhhQ	b0815//
yhhS	b0590//
yhhT	b2184//
yhhW	b0520//
yhhX	b4597//
yhhY	b3347//
yhhZ-yrhA-insAB-6A-6B-6	b2934//b0357//b1796//b1241//yedN_1//
yhiD	yedS_1//
yhiI-rbbA-yhhJ	b0571//b1647//b1061//
yhiJ	b1056//
yhiK	b2074//
yhiL	b2411//
yhiM	b1237//
yhiN	b4453//
yhiS_1	b3517//
yhjA	b0876//
yhjB	b0122//
yhjC	b0983//
yhjD	b1264//
yhjE	b3188//
yhjG	b4510//
yhjJ	b0330//
yhjR	b1775//
yhjV	b4220//
yhjX	b1886//
yhjY	b2037//
yiaA	b4150//
yiaB	b3476//
yiaD	b1543//
yiaF	b1804//
yiaG	b1486//
yiaJ	b3554//
yiaKLMNO-lyxK-sgbHUE	b0028//b2169//b3053//b0127//b3947//b1208//b0340//b2806//b3737//
yiaT	b2751//
yiaU	b3736//
yiaWV	b3148//b2339//
yiaY	b0143//
yibA	b3689//
yibF	b0918//
yibG	b1227//
yibIH	b1306//b3490//
yibJ	b2917//
yibL	b2940//
yibN	b4368//
yibN-grxC-secB-gpsA	b2487//b4381//b2044//b3833//
yibT	b3976//
yicC	b1569//
yicG	b4012//
yicH	b0295//
yicJI	b2121//b0992//
yicL	b2027//
yicN	b2014//
yicR-rpmBG	b0908//b0188//b1957//
yicR-rpmBG-mutM	b4264//b1574//b2664//b0019//
yicS	b3614//
yidA	b3183//
yidB	b0389//
yidE	b2990//
yidHGF	b1568//b0810//b3900//
yidI	b3957//
yidKJ	b3629//b0573//
yidL	b4213//
yidP	b2670//
yidQ	yghE//
yidR	b3561//
yidX	b1074//
yidZ	b1943//
yieEF	b2680//b2585//
yieH	b0265//
yieP-hsrA	b3344//b1287//
yifB	b1560//
yifK	b3969//
yifL-dapF-yigA-xerC-yigB	b1894//b0097//b1536//b0693//b4098//
yifNO	b1140//b1290//
yigE	b2747//
yigGF	b0196//b3752//
yigI	b3856//
yigM	b1142//
yihA	b2726//
yihD	b0918//
yihF	b2066//
yihG	b3186//
yihI	b3976//
yihLM	b3691//b3602//
yihN	b3646//
yihPO	b4616//b0240//
yihQ	b1604//
yihR	b0271//
yihUTS	b2024//b2170//b4000//
yihVW	b3155//b0883//
yihXY-dtd-yiiD	b2017//b2100//b1676//b1124//
yiiE	b0025//
yiiF	b1830//
yiiG	b4284//
yiiM	b4056//
yiiQ	tpke11//
yiiR	b2705//
yiiS-uspD	b4312//b0682//
yiiX	b1990//
yijE	b1838//
yijF	b2920//
yijO	b4444//
yjaA	b2759//
yjaB	b0706//
yjaG	b3032//
yjaH	b3746//
yjaZ	b4310//
yjbB	b2856//
yjbD	b3641//
yjbE	b3548//
yjbEFGH	b3176//b0592//b1467//b2002//
yjbFGH	b2864//b3670//b2281//
yjbI	b1921//
yjbJ	b4460//
yjbLM	ybeM_1//b0576//
yjbQR	b0280//b4243//
yjcB	b2788//
yjcE	b3370//
yjcF	b1101//
yjcO	b0244//
yjcS	b1045//
yjdC	b4430//
yjdF	b0903//
yjdIJ	b1894//b2413//
yjdM	b0121//
yjdN	b0721//
yjdP	b0416//
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	b3057//b0260//C0299//b1362//b2917//b0821//b1868//b2707//b2118//
yjeH	b1016//
yjeI	b3165//
yjeJ	b2841//
yjeM	b0762//
yjeNO	b1118//b4520//
yjeT	b2388//
yjeV	b0061//
yjfIJ	b3831//b0413//
yjfKLMC	b1583//b3481//b2888//b2837//
yjfN	b3746//
yjfP	b2450//
yjfY	b3057//
yjfZ	b3152//
yjgA	b2164//
yjgH	b1942//
yjgL	b4304//
yjgM	b2393//
yjgN	b3522//
yjgR	b2417//
yjgW	b3778//
yjgX_1X_2	yncK_2//b1821//
yjgX_3	b2088//
yjgZ	b0905//
yjhBC	b0698//b2550//
yjhD	b3867//
yjhE	b3527//
yjhF	b4409//
yjhIHG	b0618//b4059//b2521//
yjhP	b2086//
yjhR	b1498//
yjhU	b0081//
yjiC	b4165//
yjiHG-iadA	b0376//b3861//b1986//
yjiJ	b1040//
yjiK	b3055//
yjiML	b1160//b4595//
yjiPQ	b4397//b3907//
yjiR	b3502//
yjiS	b1100//
yjiT	b1232//
yjiV	b2207//
yjiXA	b0689//b2157//
yjiY	b4205//
yjjB-dnaTC	b4554//b1538//yjhW//
yjjB-dnaTC-yjjA	b4554//b0225//b3896//b0112//
yjjI	b2255//
yjjJ	b0030//
yjjP	b2566//
yjjQ-bglJ	b4011//b4042//
yjjUV	b3915//b2152//
yjjW	b2409//
yjjX	b0566//
yjjY	b2982//
yjjZ	b0260//
yjtD	b3833//
ykfA-yafZ	b2434//b1449//
ykfBF-yafX-ykfGH-yafW-ykfI	b4232//b0589//b3654//b3703//b0011//b2075//b2740//
ykfC	b3304//
ykfGH-yafW-ykfI	b2510//b1062//b3618//b2448//
ykfJ-prfH	b4008//b1103//
ykgA	b0468//
ykgEFG	b3899//b3205//b4235//
ykgH	yghX_2//
ykgJ	b0692//
ykgL	b0763//
ykgMO	b1669//b4083//
ykgR	b4482//
ykiA	b0600//
ykiB	b0238//
ylaC	b1351//
ylbG	b1783//
yliI	b2445//
ymbA	b4527//
ymcE-gnsA	b3952//b4215//
ymdA	b2421//
ymdB-clsC	b3156//b1728//
ymdE-ycdU	b3129//b1690//
ymdF	b0723//
ymfA-ycfZ	b1858//b4121//
ymfED	b1534//b0858//
ymfH-xisE-intE	b2611//b3319//b1546//
ymfI	b3377//
ymfJ	ficA//
ymfK	b3642//
ymfTLMNR-beeE-jayE-ymfQ-ycfK-ymfS	b0684//b2633//b3861//b4358//b1915//b4125//b1050//b0071//b2165//b2751//
ymgA-ariR	b4200//b2111//
ymgC	ybeM_1//
ymgE	b1166//
ymgF	b0181//
ymgGD	b0851//b2938//
ymgH-ycgI	b1641//b0097//
ymiA-yciX	insEF-5//b2908//
ymjA	b1756//
ymjC-mpaA	b4132//b2810//
ynaA-lomR_1	b0968//b3682//
ynaE	b2317//
ynaI	b0957//
ynaJ	b2261//
ynaK-ydaY	b2734//b4057//
ynbABCD	b4443//b3244//b0509//b2636//
yncD	b4546//
yncE	icdC//
yncG	b1175//
yncH	b1494//
yncI	wbbL_2//
yncJ	b0833//
yncK_1	b0976//
yncK_2	b0278//
yncL	b0134//
yncM	b2952//
yneE	b0078//
yneHG	b4084//b1394//
yneJ	b1864//
yneK	b2890//
yneL	b0742//
yneM	b0441//
ynfA	b0436//
ynfB-speG	b3806//b1341//
ynfC	b3107//
ynfD	b3620//
ynfEFGH-dmsD	b0678//b1663//b2020//b3297//b4108//
ynfK	b3834//
ynfL	b2871//
ynfM	b1684//
ynfN	b3901//
ynfO-ydfO	b1055//b3335//
ynfP	b1175//
yniA	b3999//
yniB	b0762//
yniC	b4611//
yniD	b3257//
ynjE	b3284//
ynjF	b3052//
ynjH	b2190//
ynjI	b4345//
yoaA	b2791//
yoaB	b1498//
yoaC	b2898//
yoaE	b0785//
yoaF	b4117//
yoaH	b4432//
yoaI	b1545//
yobA-yebZY	b1744//b1312//b3205//
yobB-exoX	b1289//b3654//
yobD	b4515//
yobF-cspC	b1045//b2633//
yobH	b4216//
yodB	b1667//
yodC	b3344//
yodD	b3816//
yoeA	b2049//
yoeE	b0058//
yoeF	b4480//
yohC	b3023//
yohD	b2241//
yohF	b4356//
yohH	b2961//
yohJK	b0156//lfhA//
yohO	b3909//
yojI	b2713//
ypdABC	b1715//b2018//b0324//
ypdI	insX//
ypdJ	b0601//
