#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	pinH//
trpR	b0115//
trpS	b0323//
trpT	b0260//
truD	b1812//
trxA	b1765//
trxB	b0829//
trxC	b1430//
tsaB-yeaY	b0107//b1397//
tsaD	b1803//
tsaE-amiB-mutL-miaA-hfq-hflXKC	b4212//b4459//b4318//b0613//b3074//b3641//b1025//b2125//
tsgA	b1591//
tsr	b2918//
tsx	b1388//
ttcA	b0936//
ttdABT	b2427//b4509//b1716//
ttdR	b3904//
tufA	b3610//
tus	b0824//
tusA	b3796//
tusE	b0212//
tynA	b0520//
tyrB	b3643//
tyrP	b2865//
tyrR	sroG//
tyrS-pdxY	b3830//b2909//
tyrTV-tpr	ecpC//b0281//b0902//
tyrV-tpr	b2507//b3239//
uacT	b2152//
ubiCA	b1235//b1208//
ubiD	b2092//
ubiEJB	b3379//b0050//b2585//
ubiF	b1259//
ubiG	b3954//
ubiX	b0294//
ucpA	b3568//
udk-dcd	b0888//b0920//
udp	b1178//
ugd	b1839//
ugpBAECQ	b1552//b0237//b1859//b0472//b4151//
uhpABC	b3992//b3151//b2723//
uhpT	b2976//
uidABC	b3468//b0293//b3482//
uidR	b2014//
ulaABCDEF	b1588//b3329//b1795//b0466//b0040//b1819//
ulaG	b1386//
ulaR	b2047//
umpG-pcm	b1542//b3212//
umpH	b1887//
umuDC	b3996//b3492//
ung	b1212//
uof-fur	b4303//b2502//
upp-uraA	b3595//b3011//
usg-truA-dedA	b3485//b3941//b2148//
ushA	b0562//
uspA	b2748//
uspB	b1096//
uspC	b0002//
uspE	b1120//
uspF	b2749//
uspG	b0884//
uvrA	b0868//
uvrB	b0219//
uvrC	b2088//
uvrD	b3852//
uvrYC	b2362//b3647//
uxaB	b4242//
uxaCA	b0241//pbl//
uxuAB	b3661//b2376//
uxuR	b3734//
valS	b4385//
valUXY-lysV	b4218//b0854//b2519//b1100//
valVW	b0790//b3008//
valZ-lysY	b3546//b2184//
ves	b1909//
waaA	b3259//
waaA-coaD	b4598//b1672//
waaH	b4111//
waaQGPSBOJYZU	qseG//b2385//b2215//b3961//b1014//b1781//b3627//b4038//b0666//b2045//
waaYZ	ydbA_2//b3321//
waaZU	b1502//b2120//
wbbIJK	b0790//b1071//b0274//
wbbL_2	b3384//
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	b1947//b2202//b1712//b1607//b3875//b3163//b0202//b4699//b2005//b3063//b3332//b4256//
wcaKLM	b3780//b0203//b1341//
wecH	b3037//
wrbA-yccJ	b3465//b1434//
wza-wzb-wzc	b0117//b4585//b1423//
wza-wzb-wzc-wcaAB	b2494//b3506//b4227//b3775//b1627//
wzzB	b3331//
xanP	b4057//
xanQ-guaD-ghxQ	b3772//b2332//ydbA_2//
xapAB	b2269//b3250//
xapR	b3144//
xdhABC	b2519//b4432//b4442//
xerD	b3085//
xerD-dsbC-recJ	b4057//b1995//b2450//
xseA	b0197//
xseB-ispA-dxs-yajO	b4541//b3949//b4662//b2276//
xthA	b1879//
xylAB	b4063//b4322//
xylE	b3536//
xylFGHR	b3502//b0786//b3222//b1110//
xylR	b2159//
yaaA	b4065//
yaaI	b0263//
yaaJ	b1614//
yaaU	b2402//
yaaW	b2217//
yaaX	b0353//
yabI	b3879//
yabPQ	b1264//b2294//
yacC-speED	b2197//ykfJ//b1772//
yacG	b1768//
yacH	b1296//
yacL	b2070//
yadC	b3023//
yadD	b2580//
yadE	b3302//
yadGH	b4025//b3935//
yadI	b4018//
yadMLKC	b1577//b1059//b2292//b3712//
yadN	b2423//
yadV-htrE	b3405//b2317//
yaeF	b1811//
yaeH	b0466//
yaeI	sdsN//
yaeP-rof	b3054//b1730//
yaeQ-arfB-nlpE	b3879//b2851//b3774//
yaeR	b2385//
yafC	b3867//
yafDE	b3927//b4355//
yafF	b2018//
yafJ	b1101//
yafK	b0947//
yafL	b2035//
yafNOP	b4253//b4127//b0958//
yafS	b4021//
yafT	b2534//
yafU	b0246//
yafV	b0339//
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b1788//b1769//b1916//b0796//yedN_2//b2364//b1376//b2880//
yafZ	b3296//
yagAB-insX	b2151//b1126//b2265//
yagEF	b1002//b1541//
yagGH	b2678//b2788//
yagI	b1940//
yagJ	b3181//
yagK	b0784//
yagML	b3533//b1428//
yagN	b4020//
yagP	b0113//
yagU	b1151//
yahB	b3182//
yahC	b1875//
yahDEFG	b2461//b2726//b3565//b0613//
yahE	b2763//
yahH	insEF-2//
yahIJ	b4272//b2782//
yahK	b3613//
yahL	b1264//
yahM	b3296//
yahN	b3262//
yahO	b2535//
yaiA-aroM	b2090//b0256//
yaiE	b3366//
yaiF	b1389//
yaiI	b0405//
yaiL	b1038//
yaiP	b2997//
yaiS	yedS_2//
yaiT	b4194//
yaiU	b4039//
yaiV	b4235//
yaiXO	b0137//b1436//
yaiY	b1009//
yaiZ	b2664//
yajC-secDF	b3761//b1179//b0070//
yajD	b0664//
yajG	b3644//
yajG-ampG	b1166//b2380//
yajI	b0783//
yajO	b2519//
yajQ	b0246//
yajR	b1269//
ybaA	b3564//
ybaB-recR	b0693//b1384//
ybaE	b3456//
ybaK	b4402//
ybaL	b1431//
ybaN	b2462//
ybaP	b1944//
ybaQ	b2738//
ybaST	b1914//b0852//
ybaV	b4056//
ybaY	b3255//
ybbAP	b4309//b2609//
ybbN	b1015//
ybbY-glxK	b0605//b3919//
ybcC	b4472//
ybcD	b3474//
ybcH	b2755//
ybcI	b3655//
ybcK	b3063//
ybcLM	b2011//b0139//
ybcN-ninE-ybcO-rusA-ylcG	b1554//b3795//b1070//b1566//b0032//
ybcQ	b1223//
ybcV	b2149//
ybcW	b0320//
ybcY	b1828//
ybdD	b0865//
ybdF	b0982//
ybdG	b0635//
ybdH	b2250//
ybdJ	b0926//
ybdK	b3476//
ybdL	b1105//
ybdM	yafF//
ybdN	b3052//
ybdO	b3299//
ybdR	b2433//
ybeD	b4525//
ybeD-lipB	b0376//b2620//
ybeF	b3596//
ybeL	b1900//
ybeM_1M_2	b3834//b1026//
ybeQ	b3745//
ybeR-djlB	b0987//b3689//
ybeT	b0172//
ybeU-djlC	b3304//b3369//
ybeX-lnt	b4340//b4137//
ybeZY	b3397//b1402//
ybeZYX-lnt	b0781//b2267//b2822//b0559//
ybfA	b0485//
ybfD	b1361//
ybfE	b2321//
ybfF	b1498//
ybfHG	b1514//b3232//
ybfL	b2771//
ybfN	b4013//
ybfOC	b1601//b0405//
ybfP	b2098//
ybfQ	b3941//
ybgA-phr	b0556//b4088//
ybgC-tolQRA	b3434//b3900//b3682//b4618//
ybgD	b1496//
ybgIJKL-nei	b4670//b1835//b3607//ygaQ//b0943//
ybgQPO	b3135//b2695//b3224//
ybgS	b0963//
ybhA	b2358//
ybhB	b0527//
ybhC	b4376//
ybhD	b0549//
ybhH	b0480//
ybhI	b0296//
ybhJ	b1033//
ybhK	b1744//
ybhL	b1558//
ybhM	b1691//
ybhP-clsB-ybhN	b2504//b0377//b3220//
ybhQ	b3188//
ybiA	ficA//
ybiB	b3527//
ybiC	b2953//
ybiI	b3287//
ybiJ	b2086//
ybiO	b0948//
ybiT	b1625//
ybiU	b3563//
ybiV	b0771//
ybiX	b1753//
ybiYW	b2614//b3479//
ybjC-nfsA-rimK-ybjN	b3644//b2949//b1575//b2148//
ybjD	b3669//
ybjG	b4264//
ybjH	b3704//
ybjJI	b4408//b2352//
ybjL	b0664//
ybjM	b3292//
ybjN	b3770//
ybjO-rlmC	b2594//b0342//
ybjP	b4203//
ybjQ-amiD	b1549//b1922//
ybjS	b0593//
ybjX	b3136//
ycaC	b4136//
ycaD	b2869//
ycaI-msbA-lpxK-ycaQ	b1423//b2713//b0830//b1242//
ycaK	b4611//
ycaL	b3011//
ycaM	b0565//
ycaN	b1041//
ycaO	b0348//
ycaP	b0898//
ycaR-kdsB	b4311//b2096//
ycbJ	b2211//
ycbK-gloC	b2771//b3910//
ycbX	b3171//
ycbZ	b1733//
yccA	b2716//
yccE	b0473//
yccFS	b3461//b3366//
yccM	b3980//
yccT	b2988//
yccU	b2560//
yccX	b4163//
ycdXY	b1490//b0404//
ycdZ	b4568//
yceA	b0463//
yceB	b2672//
yceD-rpmF	b2208//b4400//
yceF	b0828//
yceH	b3005//
yceI	b4341//
yceJI	b1571//b2453//
yceK	b0956//
yceM	b0822//
yceQ	b3599//
ycfJ	b3766//
ycfT	b3283//
ycgB	b0874//
ycgH_1	b4418//
ycgH_2	b2758//
ycgJ	yafF//
ycgL	b1617//
ycgM	b1665//
ycgN	b1135//
ycgR	b3189//
ycgV	b1505//
ycgX	b0508//
ycgY	b3965//
ycgZ	b1226//
ycgZ-ymgA-ariR-ymgC	b3500//b2446//b1045//b4407//
ychE	b4293//
ychE_2-yhcF	b3430//b4086//
ychF	b1609//
ychG_1G_2	b0978//b2513//
ychH	b2514//
ychJ	b2395//
ychN	b2104//
ychO	b0299//
ychQA-kdsA	b0319//b4685//b0738//
ychS	b1387//
yciA	b0623//
yciCB	b1033//b2412//
yciE	b3666//
yciG	b4214//
yciGFE	b0875//b4454//b3291//
yciI	b1536//
yciK-btuR	b2365//b2408//
yciN	b2819//
yciT	b3371//
yciVOQ	b2728//b2126//b2017//
yciW	b3761//
yciY	b1518//
yciZT	b0231//b1363//
ycjD	b2277//
ycjG	b3020//
ycjMNOPQRSTUV-ymjB	b3343//b4342//b0272//sdsN//b1458//b1895//b0570//b2770//b0248//b2168//b0978//
ycjW	b0631//
ycjXF	b3971//b2291//
ycjXF-tyrR	b0125//b0482//b3667//
ycjY	b1786//
ycjY-ymjDC-mpaA	b2703//b0986//b0582//b3230//
ydaGF	b1793//b2186//
ydaN	b3995//
ydaSTUVW-rzpR	b4116//b4337//b1322//b4019//b0012//b1751//
ydbA_1	b3919//
ydbA_2	b0085//
ydbC	b1631//
ydbD	b3337//
ydbH-ynbE-ydbL	b1755//b4002//b1579//
ydbJ	b3398//
ydbK	b4155//
ydbK-ompN	b3809//b2372//
ydcA	b3857//
ydcC	b0793//
ydcF	b0802//
ydcH	b4517//
ydcI	b0686//
ydcJ	b1599//
ydcK	b1729//
ydcL	b4153//
ydcM	b4066//
ydcO	b0768//
ydcP	b4252//
ydcR	b1554//
ydcSTUV-patD	b1334//b1306//b3900//b4523//b4271//
ydcY	b1617//
yddAB	b2977//b1670//
yddE	b2281//
yddG	b1713//
yddH	b1288//
yddLKJ	b4292//b0619//b0209//
yddM	b1308//
yddW	b2818//
ydeA	b1001//
ydeE	b4161//
ydeI	b0602//
ydeJ	b0512//
ydeK	b1766//
ydeM	b4459//
ydeN	b3750//
ydeNM	b1324//b3945//
ydeO	b1846//
ydeP	b4137//
ydeQ	b0853//
ydeTSR	b1108//b1088//b4077//
ydeU	b3665//
ydfABC	b3011//b1884//b1592//
ydfG	b0649//
ydfH	b1852//
ydfI	b2424//
ydfJ	b3981//
ydfK	b2838//
ydfUT	b4616//b3469//
ydfV	b1723//
ydfZ	b1659//
ydgA	b1549//
ydgC	b2211//
ydgD	b0753//
ydgH	b1929//
ydgI-folM	b2252//b0376//
ydgJ	b0311//
ydgK-rsxABCDGE-nth	b4366//insAB-2//b4603//b3792//b4550//b4107//b2437//b2475//
ydhB	b2639//
ydhC	b1305//
ydhF	b1073//
ydhIJK	b1149//b0035//b1879//
ydhL	b1025//
ydhP	b3691//
ydhQ	b1803//
ydhR	b4009//
ydhS	b3923//
ydhXUT	b0246//b2386//b4101//
ydhYVW	b3864//b2409//b0252//
ydhYVWXUT	b1753//b0417//b0122//b0238//b1494//b2182//
ydhZ	b4066//
ydiE	b4431//
ydiFO	b4606//b1475//
ydiJ-menI-ydiH	b1694//b4004//b3088//
ydiK	b2946//
ydiL	b1474//
ydiM	insCD-6//
ydiNB-aroD	b2644//b1890//b2806//
ydiP	b2569//
ydiQRST-fadK	yjgX_1//b4365//b0339//b3579//b0612//
ydiU	b1541//
ydiV	b3364//
ydiY	b2318//
ydiZ	b1918//
ydjA-selD-topB	b3233//b3451//b1716//
ydjE	tpke70//
ydjF	b4523//
ydjLKJIHG	b3427//b0526//b3384//b4153//b2253//b2754//
ydjM	b0034//
ydjO	b1015//
ydjXYZ-ynjABCD	b1748//b2671//b0843//b3912//b2043//b3855//b1556//
yeaC	b1383//
yeaD	b0665//
yeaE	b2113//
yeaGH	b3072//b2269//
yeaK	b3058//
yeaL	b0444//
yeaO	b0041//
yeaQ	b3557//
yeaR-yoaG	b1360//b2293//
yeaVW	b2071//b4060//
yeaX	b0218//
yeaY	b0960//
yebB	b2572//
yebC-ruvC	b2361//b1752//
yebE	b2576//
yebF	b0239//
yebG	b4084//
yebK	b4480//
yebO	b2676//
yebQ	b1303//
yebST	b3688//b0862//
yebV	b1265//
yebW	b2483//
yecA	b1609//
yecDE	b2278//b3710//
yecF	b1168//
yecH	b3853//
yecJ	b0269//
yecM-cutC	b3451//b1796//
yecN-cmoAB	b1682//b1739//b0821//
yecR	b2386//
yecT	b3400//
yedA	b1872//
yedD	b1132//
yedEF	b3295//yghX_1//
yedI	ylbE//
yedK	b1344//
yedL	b4180//
yedM	b3874//
yedN_1N_2	b3151//b2460//
yedP	b1885//
yedRJ	b3628//b1881//
yedS_1S_2	b4184//b0999//
yedS_3	b2837//
yedWV	b1807//b0391//
yedX	b3899//
yeeA	b2263//
yeeED	b4084//b4163//
yeeJ	b1823//
yeeL_1L_2	b1853//b3021//
yeeN	insCD-3//
yeeO	b3912//
yeeP	b0424//
yeeRST-cbeA-cbtA-yeeW	b2037//b0039//b0245//b3070//b0888//b1355//
yeeX	b1122//
yeeY	b2695//
yeeZ	b2008//
yefM-yoeB	b2398//b2590//
yegD	b2212//
yegH	b0688//
yegI	b2459//
yegJ	b3617//
yegLK	prfH//b3453//
yegP	b3157//
yegQ	b3934//
yegRZ	b3499//b2572//
yegS	b2882//
yegTUV	b0006//b4011//b1751//
yegW	b3982//
yegX	intG//
yehDCBA	b3383//b2156//b3552//b0086//
yehE	b0301//
yehK	b0336//
yehLMPQ	b3676//b0668//b0372//b3076//
yehR	b3041//
yehS	b3514//
yehUT	b3214//b4246//
yeiE	b2260//
yeiG	b3599//
yeiH	b0011//
yeiI	b4207//
yeiL	b3881//
yeiP	b3096//
yeiQ	b3485//
yeiR-lpxT	b1724//b1230//
yeiW	b3629//
yejABEF	b1277//b0446//b3929//b3585//
yejG	b0796//
yejK	b3949//
yejLM	yfaS_1//b2557//
yejO	b1713//
yfaATS_1S_2QP	b1211//b3992//b3431//b3339//b2485//b0585//
yfaD-ypaA	b1592//b0879//
yfaE	b2769//
yfaH	b0508//
yfaL	b1042//
yfaVU	b2481//b1709//
yfaX-rhmD	b2545//b1821//
yfaX-rhmD-yfaVU	b0601//b3867//b2839//b2385//
yfaY	b0345//
yfaZ	b2238//
yfbK	b3356//
yfbL	b0583//
yfbM	b0696//
yfbN	b2989//
yfbO	b3901//
yfbP	b4429//
yfbR	b3336//
yfbS	b4669//
yfbUT	b3519//b0210//
yfbV	b2745//
yfcC	b0588//
yfcD	b0594//
yfcE	b3040//
yfcF	b3222//
yfcG	b0661//
yfcI	b2416//
yfcJ	b3988//
yfcUTSRQPO	b1297//b3431//b0411//b0099//b1659//b0085//b1726//
yfcV	b3055//
yfcZ	b2821//
yfdC	b2140//
yfdE	b1058//
yfdF	b1996//
yfdGHI	b4182//b2350//b3179//
yfdONMLK	b0429//yghX_1//b3444//b0478//b4472//
yfdPQ	b2035//b3676//
yfdRST	b1691//b2390//b2530//
yfdV	b2434//
yfdX-frc-oxc-yfdVE	b3810//b4126//b4433//b2330//b1197//
yfdY	b2364//
yfeCD	b1216//b3717//
yfeH	b3426//
yfeKS	b4702//b4317//
yfeN	b1699//
yfeO	b2058//
yfeR	b3387//
yfeYX	b3061//b2516//
yffB-dapE-ypfN	b2682//b3659//b4315//
yffL	b1919//
yffMN	b2263//b4466//
yffOP	b4017//b2633//
yffQR	b1658//b3365//
yffS	b0335//
yfgG	b1993//
yfgHI	b3396//b3203//
yfgJ	b1809//
yfgM	b0833//
yfgO	b0709//
yfhH	b4087//
yfhL	b1467//
yfhM-pbpC	b3922//b1766//
yfhR	b0742//
yfiC	b0955//
yfiE	b1873//
yfiF	b0150//
yfiL	b1761//
yfiM	b1061//
yfiP-patZ	b4075//b0346//
yfiR-dgcN	b2097//ykiB//
yfiR-dgcN-yfiB	b1977//b2677//b3251//
yfjD	b2216//
yfjH	b0990//
yfjI	b0555//
yfjJ	b0622//
yfjM	b2485//
yfjPQ	b0045//b3602//
yfjR-ypjK-yfjST	b1253//b3057//b1458//b0403//
yfjW	insCD-3//
yfjXY-ypjJ-yfjZ-ypjF	b0614//b2597//b1573//b0266//b4087//
ygaC	b0704//
ygaM	b1712//
ygaQ	b1748//
ygaVP	b2526//b2342//
ygaXY	b4082//b2570//
ygaZH	b1732//b1530//
ygbA	b3904//
ygbE	b2387//
ygbI	b3880//
ygbJK	b0723//tpke70//
ygbK	b0373//
ygbLM	b3136//b1621//
ygbN	b2105//
ygcG	b1076//
ygcNOP	b0822//b4609//b0520//
ygcRQ	yjhW//b1383//
ygcS	b4558//
ygcU	b4193//
ygcW	sroG//
ygdD	b0449//
ygdG	b1561//
ygdH	b0124//
ygdI	b1952//
ygdQ	b0654//
ygdR	b2856//
ygeA	b1388//
ygeF	b3688//
ygeG	b3923//
ygeH	b2550//
ygeI	b0383//
ygeLK	b1427//b0630//
ygeP	b1447//
ygeQ	b2091//
ygeR	b1586//
ygeV	b0847//
ygeW	b1231//
ygeX	b2844//
ygeY	b0516//
ygfB-pepP-ubiHI	b4548//b0941//b0107//b2976//
ygfF	b1360//
ygfI	b2922//
ygfK-ssnA	b3738//b1927//
ygfM-xdhD	b0776//b3723//
ygfTS	b1839//b2895//
ygfZ	b1811//
yggDC	b1029//yjiV//
yggE	b1842//
yggI	b4020//
yggM	b3769//
yggN	b0963//
yggR	b0374//
yggSTU-rdgB-yggW	b4394//b2302//b1815//b2098//b0086//
yggX	b4391//
yggX-mltC	b4240//b2709//
yggX-mltC-nupG	b1247//b1323//b3091//
yghA	b0581//
yghB	b1707//
yghED	b1591//b3531//
yghF	b2735//
yghG	b3810//
yghJ	b0839//
yghO	b1656//
yghQ	b4245//
yghSR	b1205//b3146//
yghT	b1990//
yghU	b3983//
yghW	b3633//
yghX_2X_1	b1455//b4350//
ygiD	b3166//
ygiF-glnE	b1919//b2071//
ygiH	b1360//
ygiL	b0535//
ygiM	b2301//
ygiM-cca	b0468//b3497//
ygiN	b2334//
ygiQ	b2262//
ygiS	b0222//
ygiV	b3054//
ygiW	b3548//
ygiZ	b4206//
ygjH	b2792//
ygjI	b3492//
ygjJK	b0192//b3942//
ygjP	b4230//
ygjQ	b4263//
ygjR	b2629//
ygjV	b1432//
yhaBC	b4336//b3531//
yhaH	cpxQ//
yhaI	b1195//
yhaJ	b3090//
yhaKL	b2021//b4483//
yhaOM	b1768//b2007//
yhbE-obgE	b1315//b2011//
yhbO	b3062//
yhbP	b2472//
yhbQ	b0326//
yhbTS	b0789//b0603//
yhbUV	b3577//b3766//
yhbW	b2803//
yhbX	b1811//
yhbY	b3429//
yhcAD-ychE_1	b2041//b0912//b0526//
yhcB	b2068//
yhcC	b3485//
yhcG	b3526//
yhcN	b1411//
yhcO	b3662//
yhdH	b0228//
yhdJ	b1816//
yhdN-zntR	b4190//insCD-2//
yhdP	b3097//
yhdT-panF-prmA	b2369//b0748//b1953//
yhdU	b3881//
yhdV	b2871//
yhdWXYZ	b1820//b4205//b0427//b4163//
yheO-tusDCB	b2850//b0570//b2121//b1665//
yheSTU	b3350//b3018//b4568//
yhfA	b2039//
yhfK	b4135//
yhfL	b1809//
yhfXW-php-yhfUTS	b3535//b0536//b2643//b0904//b1843//b1252//
yhfZY	b1511//b1615//
yhgA	b3478//
yhgE	b2549//
yhgF	b1299//
yhgN	b0793//
yhhA	b2317//
yhhH	b0675//
yhhI	b1803//
yhhM	b1454//
yhhN	b0642//
yhhQ	b0057//
yhhS	b1175//
yhhT	b3430//
yhhW	b0011//
yhhX	b2980//
yhhY	b3328//
yhhZ-yrhA-insAB-6A-6B-6	b1156//b2535//b1921//b4220//b2825//
yhiD	b0151//
yhiI-rbbA-yhhJ	b4150//b1705//b4148//
yhiJ	b2971//
yhiK	b3383//
yhiL	b3688//
yhiM	b3665//
yhiN	b2534//
yhiS_1	b0488//
yhjA	b1434//
yhjB	b1744//
yhjC	b0402//
yhjD	b3824//
yhjE	b0093//
yhjG	b2090//
yhjJ	b4435//
yhjR	b2844//
yhjV	b1318//
yhjX	b4330//
yhjY	b4169//
yiaA	yedS_3//
yiaB	b3013//
yiaD	b3517//
yiaF	b4148//
yiaG	b2887//
yiaJ	b4302//
yiaKLMNO-lyxK-sgbHUE	b1413//b2739//b0617//b4136//b3966//b2338//yeeL_2//b0336//b2089//
yiaT	b0627//
yiaU	b2071//
yiaWV	b0001//b4515//
yiaY	b1315//
yibA	b3738//
yibF	b4192//
yibG	b4220//
yibIH	b0053//b4258//
yibJ	b3640//
yibL	b1991//
yibN	b2730//
yibN-grxC-secB-gpsA	b3578//b0528//b0730//b3287//
yibT	b1223//
yicC	b1080//
yicG	b1836//
yicH	b4456//
yicJI	b2722//insAB-2//
yicL	b1788//
yicN	b2200//
yicR-rpmBG	b3576//b1111//b1727//
yicR-rpmBG-mutM	b1108//b4027//b0357//b0468//
yicS	b1455//
yidA	b3674//
yidB	b4046//
yidE	b3449//
yidHGF	b3846//b2672//b4024//
yidI	b2311//
yidKJ	b0146//b0770//
yidL	b3759//
yidP	b3027//
yidQ	b1080//
yidR	b2577//
yidX	b2314//
yidZ	b0760//
yieEF	b3981//b0518//
yieH	b2392//
yieP-hsrA	b2362//b1197//
yifB	b4712//
yifK	b3900//
yifL-dapF-yigA-xerC-yigB	b0579//b3102//b1194//b3550//b0749//
yifNO	b1556//b1940//
yigE	b2081//
yigGF	b2014//b1772//
yigI	b2650//
yigM	b4338//
yihA	b1332//
yihD	b3313//
yihF	b1521//
yihG	b1780//
yihI	b3195//
yihLM	b0615//b4205//
yihN	b2575//
yihPO	b0413//b0407//
yihQ	b2720//
yihR	b1043//
yihUTS	b0935//b4511//selU//
yihVW	b4311//b3523//
yihXY-dtd-yiiD	b0612//b1615//b3163//b0385//
yiiE	b0106//
yiiF	b2003//
yiiG	b4029//
yiiM	b2681//
yiiQ	b0789//
yiiR	b1290//
yiiS-uspD	b0096//b3374//
yiiX	b2307//
yijE	b0567//
yijF	b2513//
yijO	b3582//
yjaA	b3223//
yjaB	b0962//
yjaG	b2204//
yjaH	b2558//
yjaZ	b1766//
yjbB	b3570//
yjbD	b3546//
yjbE	b4016//
yjbEFGH	b0803//b0300//b3084//insCD-5//
yjbFGH	b1129//b0836//b3391//
yjbI	b3103//
yjbJ	b2632//
yjbLM	b0500//b4111//
yjbQR	b0549//sroE//
yjcB	b2435//
yjcE	b3027//
yjcF	b0300//
yjcO	b3849//
yjcS	b0902//
yjdC	b0238//
yjdF	b3064//
yjdIJ	b3892//b3311//
yjdM	b1121//
yjdN	b3323//
yjdP	b0853//
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	b4135//b0636//b0208//b0588//b0099//b4233//b1634//b0587//b0822//
yjeH	b3421//
yjeI	b4555//
yjeJ	b1541//
yjeM	b3348//
yjeNO	b2863//b0122//
yjeT	b0490//
yjeV	b2975//
yjfIJ	b0926//b3043//
yjfKLMC	b1157//b1963//b1584//b3270//
yjfN	b3955//
yjfP	b1719//
yjfY	b4273//
yjfZ	b0219//
yjgA	b1384//
yjgH	b2725//
yjgL	b0468//
yjgM	b3687//
yjgN	b1986//
yjgR	b3473//
yjgW	intG//
yjgX_1X_2	b2496//b0576//
yjgX_3	b3458//
yjgZ	b1651//
yjhBC	b1131//b2907//
yjhD	b1383//
yjhE	b0301//
yjhF	b2289//
yjhIHG	b3332//b2293//arpB_2//
yjhP	b1779//
yjhR	b4051//
yjhU	b0682//
yjiC	b3565//
yjiHG-iadA	b3662//pbl//b4135//
yjiJ	b0862//
yjiK	b3736//
yjiML	b2125//b3038//
yjiPQ	b1880//b1830//
yjiR	b0269//
yjiS	b0143//
yjiT	b2553//
yjiV	b0650//
yjiXA	gapC_2//b0709//
yjiY	b3460//
yjjB-dnaTC	b3102//b1796//b0592//
yjjB-dnaTC-yjjA	b2771//b3361//b2547//b1143//
yjjI	b3789//
yjjJ	b1196//
yjjP	b3511//
yjjQ-bglJ	b3583//b4161//
yjjUV	b1338//b0592//
yjjW	b3414//
yjjX	b3608//
yjjY	b2807//
yjjZ	b4512//
yjtD	b3582//
ykfA-yafZ	b2528//b4444//
ykfBF-yafX-ykfGH-yafW-ykfI	b1985//b0437//b1332//b2371//b3492//b0742//b2883//
ykfC	b1443//
ykfGH-yafW-ykfI	b2538//b2102//b0709//b0550//
ykfJ-prfH	b2500//b3235//
ykgA	b2728//
ykgEFG	b4463//b4082//b4151//
ykgH	b1378//
ykgJ	b2325//
ykgL	b0381//
ykgMO	b3137//b3253//
ykgR	b1995//
ykiA	b2637//
ykiB	b3532//
ylaC	icdC//
ylbG	b2929//
yliI	b3667//
ymbA	b1442//
ymcE-gnsA	b0060//b1565//
ymdA	b0444//
ymdB-clsC	b3241//b3903//
ymdE-ycdU	b1011//b1246//
ymdF	b1958//
ymfA-ycfZ	b2705//b1582//
ymfED	b0766//b4596//
ymfH-xisE-intE	b0449//b1021//b0758//
ymfI	b0545//
ymfJ	b3585//
ymfK	b4011//
ymfTLMNR-beeE-jayE-ymfQ-ycfK-ymfS	insCD-2//b2152//b3211//b2902//icdC//b3218//b2243//b2800//b3114//b1213//
ymgA-ariR	b3450//b2547//
ymgC	b0726//
ymgE	b4002//
ymgF	b4387//
ymgGD	b4480//b4388//
ymgH-ycgI	b4484//b3305//
ymiA-yciX	b0491//b2581//
ymjA	b2478//
ymjC-mpaA	b3083//b1846//
ynaA-lomR_1	b0948//b3051//
ynaE	b0265//
ynaI	b0912//
ynaJ	yncK_2//
ynaK-ydaY	b0898//b1394//
ynbABCD	b0411//b1318//b4559//b2984//
yncD	b0146//
yncE	b4163//
yncG	b4406//
yncH	pinH//
yncI	b1254//
yncJ	b1100//
yncK_1	b2075//
yncK_2	b0045//
yncL	b1675//
yncM	b1067//
yneE	b0547//
yneHG	b0112//b3624//
yneJ	b3856//
yneK	b3584//
yneL	b3604//
yneM	b1825//
ynfA	b3954//
ynfB-speG	b3318//b1851//
ynfC	b1586//
ynfD	b0646//
ynfEFGH-dmsD	b1508//b1509//b0948//b0385//b3234//
ynfK	b3535//
ynfL	b0497//
ynfM	b2993//
ynfN	b2527//
ynfO-ydfO	b1837//b2032//
ynfP	b0219//
yniA	b3175//
yniB	b0873//
yniC	b0944//
yniD	ygeN//
ynjE	b1053//
ynjF	selU//
ynjH	b2170//
ynjI	b3877//
yoaA	b3652//
yoaB	b4361//
yoaC	b4402//
yoaE	b0786//
yoaF	b4077//
yoaH	b3746//
yoaI	b3885//
yobA-yebZY	b2661//b3304//b0841//
yobB-exoX	b4533//b3624//
yobD	b2751//
yobF-cspC	b3350//b0586//
yobH	b1037//
yodB	b0159//
yodC	b3502//
yodD	b1158//
yoeA	b0682//
yoeE	b2966//
yoeF	b4432//
yohC	b3738//
yohD	b3903//
yohF	b3334//
yohH	b3851//
yohJK	b2991//b0880//
yohO	b4307//
yojI	b3446//
ypdABC	b3788//b1798//b2212//
ypdI	b4064//
ypdJ	b3361//
ypeA-yfeZ	b0971//b2600//
ypeC	b4345//
ypfG	b2420//
ypfH	b2688//
