#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	cpxQ//
trpLEDCBA	b4671//gpr//molR_1//b0616//b2882//b0081//
trpR	b2601//
trpS	b1660//
trpT	b3074//
truD	b1353//
trxA	b2523//
trxB	b3665//
trxC	b3426//
tsaB-yeaY	ybfO//b2966//
tsaD	b2201//
tsaE-amiB-mutL-miaA-hfq-hflXKC	b3439//b1162//b2841//b1104//b4430//b3621//b2538//msrQ//
tsgA	b3949//
tsr	b4321//
tsx	b0674//
ttcA	b1735//
ttdABT	b2850//b0282//b3787//
ttdR	b1277//
tufA	b1518//
tus	b4162//
tusA	b0926//
tusE	b1598//
tynA	b4270//
tyrB	b4102//
tyrP	b1060//
tyrR	b3485//
tyrS-pdxY	b3089//b2870//
tyrTV-tpr	b4241//b3509//b1616//
tyrV-tpr	b3992//b0931//
uacT	b3905//
ubiCA	b0397//b2505//
ubiD	b4007//
ubiEJB	b3009//b2863//b3996//
ubiF	b1951//
ubiG	b2114//
ubiX	b0742//
ucpA	b2208//
udk-dcd	b4518//b0932//
udp	ysdC//
ugd	b0099//
ugpBAECQ	b1782//b4199//b0129//b2705//b2262//
uhpABC	b4430//b4227//b2280//
uhpT	b1418//
uidABC	b1418//b0991//b2928//
uidR	b1696//
ulaABCDEF	b2970//b2674//b1981//b3154//b3669//b1935//
ulaG	b2426//
ulaR	b0850//
umpG-pcm	b4113//b3789//
umpH	b0286//
umuDC	b1834//b3032//
ung	b0126//
uof-fur	insAB-2//b3800//
upp-uraA	b0559//b1551//
usg-truA-dedA	b2592//b4348//b3377//
ushA	b3364//
uspA	b4134//
uspB	b4485//
uspC	b3134//
uspE	b2849//
uspF	b4122//
uspG	b1975//
uvrA	b2830//
uvrB	b4218//
uvrC	b2253//
uvrD	b2639//
uvrYC	b2768//b2603//
uxaB	b1590//
uxaCA	b0307//b3166//
uxuAB	b0295//b3643//
uxuR	b0693//
valS	insAB-6//
valUXY-lysV	b3760//b3429//b1358//b2985//
valVW	b2283//b0920//
valZ-lysY	b3610//b4386//
ves	b3427//
waaA	b1914//
waaA-coaD	b0186//b1317//
waaH	b3976//
waaQGPSBOJYZU	b0730//b0390//b3741//yeeL_1//b2983//b0735//b3513//b1584//b3453//b1386//
waaYZ	b3291//b3488//
waaZU	b0159//b4256//
wbbIJK	b0836//b0061//b1842//
wbbL_2	b3477//
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	b0281//b2388//b3386//b1561//b3323//b0838//b3116//b0547//b0253//b1537//b4199//b2708//
wcaKLM	b3444//b2147//b1547//
wecH	b2035//
wrbA-yccJ	b4613//b4106//
wza-wzb-wzc	b2503//b2340//b2217//
wza-wzb-wzc-wcaAB	b0901//b1466//b2781//b1531//b3021//
wzzB	b3797//
xanP	b2721//
xanQ-guaD-ghxQ	b2920//b4415//b1970//
xapAB	b2679//b4523//
xapR	insEF-5//
xdhABC	b2462//b1931//b4595//
xerD	b2390//
xerD-dsbC-recJ	b0167//b1300//b2918//
xseA	b3879//
xseB-ispA-dxs-yajO	b3523//b3085//b4359//b0217//
xthA	b2568//
xylAB	b2305//b1172//
xylE	IS128//
xylFGHR	b2804//b4585//b2535//b1420//
xylR	b0635//
yaaA	b0775//
yaaI	b3549//
yaaJ	b1049//
yaaU	b1529//
yaaW	b3758//
yaaX	b4027//
yabI	b3643//
yabPQ	b3264//b0914//
yacC-speED	b2071//b3073//b0590//
yacG	b0284//
yacH	b3554//
yacL	b1962//
yadC	b1854//
yadD	b2872//
yadE	b3622//
yadGH	b1099//b4222//
yadI	b0907//
yadMLKC	b1462//b3008//b3751//b2098//
yadN	b0556//
yadV-htrE	b4547//b0793//
yaeF	b2351//
yaeH	b2600//
yaeI	b1391//
yaeP-rof	b1960//b1579//
yaeQ-arfB-nlpE	b4127//insX//b1112//
yaeR	b0065//
yafC	b0556//
yafDE	b0424//b1395//
yafF	b1142//
yafJ	b2345//
yafK	b0996//
yafL	b2136//
yafNOP	ilvG_2//b1171//b2255//
yafS	b0528//
yafT	b2009//
yafU	b4062//
yafV	b2101//
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b3027//b1255//b0198//b2065//b1692//b1251//b0305//b3273//
yafZ	b2628//
yagAB-insX	b3720//b0556//b1749//
yagEF	b0936//b4347//
yagGH	b4238//b3542//
yagI	b2352//
yagJ	b4075//
yagK	b0989//
yagML	b0871//b0759//
yagN	b1366//
yagP	b2668//
yagU	b2104//
yahB	b1206//
yahC	insAB-2//
yahDEFG	b0865//b0276//b2986//b4204//
yahE	b1820//
yahH	b2118//
yahIJ	b0454//b4216//
yahK	b3517//
yahL	b1552//
yahM	b1146//
yahN	b0579//
yahO	b3674//
yaiA-aroM	b3588//b3871//
yaiE	b2869//
yaiF	b3243//
yaiI	b0123//
yaiL	b4191//
yaiP	b2325//
yaiS	b0696//
yaiT	b0902//
yaiU	b3456//
yaiV	b3761//
yaiXO	b4447//b1512//
yaiY	b1635//
yaiZ	b2719//
yajC-secDF	b4187//b0975//b0777//
yajD	b1023//
yajG	b1179//
yajG-ampG	b1384//b1313//
yajI	b2151//
yajO	b1023//
yajQ	b3595//
yajR	b2237//
ybaA	b3050//
ybaB-recR	b2873//b0761//
ybaE	b3833//
ybaK	b2349//
ybaL	b4045//
ybaN	b3442//
ybaP	b1063//
ybaQ	b0720//
ybaST	b3986//b1796//
ybaV	b0712//
ybaY	b2088//
ybbAP	b3746//b0729//
ybbN	b3146//
ybbY-glxK	b3989//b0176//
ybcC	b4383//
ybcD	b4203//
ybcH	b0772//
ybcI	b0835//
ybcK	b4198//
ybcLM	b0585//b1530//
ybcN-ninE-ybcO-rusA-ylcG	b2993//b4533//b0183//b1091//b0991//
ybcQ	b4550//
ybcV	b0968//
ybcW	b2987//
ybcY	b1484//
ybdD	b4224//
ybdF	b4184//
ybdG	b1577//
ybdH	b3532//
ybdJ	b1520//
ybdK	b3406//
ybdL	b1307//
ybdM	b3065//
ybdN	b1833//
ybdO	b2905//
ybdR	b1003//
ybeD	b4267//
ybeD-lipB	b0753//b1408//
ybeF	b1210//
ybeL	b2722//
ybeM_1M_2	b0013//b0646//
ybeQ	b3025//
ybeR-djlB	b0206//b2752//
ybeT	b0859//
ybeU-djlC	b2140//b0433//
ybeX-lnt	b4080//b3162//
ybeZY	b2694//b2208//
ybeZYX-lnt	b4117//b4125//b3884//b1036//
ybfA	b2869//
ybfD	b1001//
ybfE	b0014//
ybfF	b1779//
ybfHG	b1584//b1627//
ybfL	b0944//
ybfN	b3905//
ybfOC	b1217//b0205//
ybfP	b2175//
ybfQ	b1533//
ybgA-phr	arpB_1//b1759//
ybgC-tolQRA	b1541//b1048//b3363//b4097//
ybgD	b1795//
ybgIJKL-nei	b1963//b1196//b3033//b4225//b0880//
ybgQPO	b0280//b3535//b3447//
ybgS	b4624//
ybhA	b3497//
ybhB	b3662//
ybhC	b0748//
ybhD	b0505//
ybhH	insEF-3//
ybhI	b3156//
ybhJ	b3399//
ybhK	b3127//
ybhL	b1475//
ybhM	b1528//
ybhP-clsB-ybhN	b3352//b1470//b2692//
ybhQ	b2449//
ybiA	b2581//
ybiB	b0955//
ybiC	b2945//
ybiI	b1171//
ybiJ	b1094//
ybiO	b4300//
ybiT	b3638//
ybiU	b0220//
ybiV	b3514//
ybiX	b1032//
ybiYW	b1679//b3103//
ybjC-nfsA-rimK-ybjN	b2052//b0032//b3481//b1546//
ybjD	b0790//
ybjG	b4313//
ybjH	b3403//
ybjJI	b0903//b0346//
ybjL	b2192//
ybjM	b3978//
ybjN	b0606//
ybjO-rlmC	b2851//b3465//
ybjP	b0575//
ybjQ-amiD	b2922//b3253//
ybjS	b2752//
ybjX	b0919//
ycaC	b1429//
ycaD	b1250//
ycaI-msbA-lpxK-ycaQ	b2493//b2650//b0460//b4104//
ycaK	b1102//
ycaL	b3107//
ycaM	b0127//
ycaN	b1116//
ycaO	b3983//
ycaP	ycgH_2//
ycaR-kdsB	b0491//b3105//
ycbJ	b1445//
ycbK-gloC	b0475//b2372//
ycbX	b2451//
ycbZ	b1266//
yccA	b1065//
yccE	b2348//
yccFS	b0909//ybeM_2//
yccM	b2319//
yccT	b3212//
yccU	b3927//
yccX	b0209//
ycdXY	b0478//b3002//
ycdZ	b2683//
yceA	b1637//
yceB	b3393//
yceD-rpmF	b0469//b1487//
yceF	b2585//
yceH	phnE_2//
yceI	b4609//
yceJI	b1012//yeeL_1//
yceK	b2757//
yceM	b2329//
yceQ	b3866//
ycfJ	b1920//
ycfT	b0547//
ycgB	b1087//
ycgH_1	b2364//
ycgH_2	ychE_1//
ycgJ	b4429//
ycgL	b3176//
ycgM	b1653//
ycgN	b1133//
ycgR	b0338//
ycgV	b1771//
ycgX	b2150//
ycgY	b2791//
ycgZ	b1702//
ycgZ-ymgA-ariR-ymgC	b1237//b0448//b1115//b0729//
ychE	b0295//
ychE_2-yhcF	b1465//b1279//
ychF	b1313//
ychG_1G_2	b0980//b3769//
ychH	b1740//
ychJ	b0080//
ychN	b4554//
ychO	b0009//
ychQA-kdsA	b4022//b0018//b4241//
ychS	b2332//
yciA	b0608//
yciCB	b4138//b3386//
yciE	b4380//
yciG	b0587//
yciGFE	b3892//b0610//b0901//
yciI	b3135//
yciK-btuR	b0688//b3045//
yciN	yeeL_1//
yciT	b0368//
yciVOQ	b2954//b4302//b3328//
yciW	b0637//
yciY	b2639//
yciZT	b3303//b2211//
ycjD	b2205//
ycjG	b1188//
ycjMNOPQRSTUV-ymjB	b1828//b2495//b1304//b2351//b2277//b1855//b3064//b4394//b4477//b0537//b3514//
ycjW	b1219//
ycjXF	b1092//b0856//
ycjXF-tyrR	b0587//b4451//b1043//
ycjY	b3126//
ycjY-ymjDC-mpaA	b0964//b3677//b1084//b2747//
ydaGF	b2439//b4671//
ydaN	b1738//
ydaSTUVW-rzpR	b3559//b4305//b2018//b0796//b2702//b2895//
ydbA_1	b2718//
ydbA_2	C0067//
ydbC	b1515//
ydbD	b1615//
ydbH-ynbE-ydbL	b3757//b2708//b3996//
ydbJ	b4261//
ydbK	b2597//
ydbK-ompN	b3654//b1783//
ydcA	b0765//
ydcC	b3824//
ydcF	b2818//
ydcH	b0518//
ydcI	b1831//
ydcJ	b1292//
ydcK	b1968//
ydcL	b2313//
ydcM	b0850//
ydcO	b2571//
ydcP	b1894//
ydcR	b2525//
ydcSTUV-patD	b2260//b1306//b1255//b0882//b0912//
ydcY	b1236//
yddAB	b4463//b2860//
yddE	b0983//
yddG	b1462//
yddH	b2755//
yddLKJ	b3103//istR-1//b0780//
yddM	b3201//
yddW	b3120//
ydeA	b2833//
ydeE	b0755//
ydeI	b3314//
ydeJ	b2829//
ydeK	b2465//
ydeM	b0813//
ydeN	b1573//
ydeNM	b2962//b2994//
ydeO	b2408//
ydeP	b1781//
ydeQ	b4308//
ydeTSR	b0111//b0642//b4685//
ydeU	b3339//
ydfABC	b1787//b0311//b3042//
ydfG	b1229//
ydfH	b2777//
ydfI	b0213//
ydfJ	b2101//
ydfK	b4038//
ydfUT	b4369//b0191//
ydfV	b1502//
ydfZ	b2311//
ydgA	b2427//
ydgC	b1609//
ydgD	b2941//
ydgH	b0059//
ydgI-folM	b1337//b4135//
ydgJ	b1735//
ydgK-rsxABCDGE-nth	b2145//b2314//b3492//b0758//b1459//b3190//b0598//b4391//
ydhB	b0835//
ydhC	b3071//
ydhF	b4106//
ydhIJK	b0060//b2406//b3816//
ydhL	b1295//
ydhP	b1809//
ydhQ	b0828//
ydhR	b3457//
ydhS	b1351//
ydhXUT	b3189//b3271//b2845//
ydhYVW	b2935//b3759//b3095//
ydhYVWXUT	b3460//b0392//b3077//b3679//b3897//b4597//
ydhZ	b3925//
ydiE	b1931//
ydiFO	b1578//b1621//
ydiJ-menI-ydiH	b2703//b2967//b3543//
ydiK	b1856//
ydiL	b1187//
ydiM	b2135//
ydiNB-aroD	b2219//b1922//b2204//
ydiP	intG//
ydiQRST-fadK	b3017//b3177//b3231//b2060//b0373//
ydiU	b1153//
ydiV	b0567//
ydiY	b0149//
ydiZ	b2481//
ydjA-selD-topB	b1730//b3771//b0775//
ydjE	b1384//
ydjF	b1539//
ydjLKJIHG	insAB-6//b0567//b0795//b3862//b4463//b1407//
ydjM	b2450//
ydjO	b0831//
ydjXYZ-ynjABCD	b0377//b0272//b2844//b3553//b2765//b2447//b0979//
yeaC	b0769//
yeaD	b0624//
yeaE	b2198//
yeaGH	b2079//b4217//
yeaK	b3357//
yeaL	b2554//
yeaO	b1268//
yeaQ	b2417//
yeaR-yoaG	b1427//b2540//
yeaVW	b1948//b1512//
yeaX	b1883//
yeaY	b1482//
yebB	b1688//
yebC-ruvC	b3770//b1701//
yebE	b1515//
yebF	b0059//
yebG	b1043//
yebK	b3317//
yebO	b3617//
yebQ	b2675//
yebST	b3385//b3599//
yebV	b0935//
yebW	b1480//
yecA	b3441//
yecDE	b2327//b3921//
yecF	b4135//
yecH	b1125//
yecJ	ybcD//
yecM-cutC	b0817//b0308//
yecN-cmoAB	b2934//b0575//b3533//
yecR	b1858//
yecT	b1468//
yedA	b1424//
yedD	b0361//
yedEF	b1765//b3360//
yedI	b1970//
yedK	b0905//
yedL	b4075//
yedM	b0398//
yedN_1N_2	b3455//b3748//
yedP	b3179//
yedRJ	b3894//b4307//
yedS_1S_2	b2488//b0601//
yedS_3	b3009//
yedWV	b2568//b0265//
yedX	b2705//
yeeA	b2813//
yeeED	b3250//b2406//
yeeJ	b3847//
yeeL_1L_2	b2246//b1300//
yeeN	b2208//
yeeO	b3736//
yeeP	b4455//
yeeRST-cbeA-cbtA-yeeW	b4136//b3343//b4224//istR-1//b3153//b4106//
yeeX	b1993//
yeeY	b2358//
yeeZ	b2652//
yefM-yoeB	b2908//b0119//
yegD	b3030//
yegH	b0208//
yegI	b4058//
yegJ	b0958//
yegLK	b1342//b0576//
yegP	b4135//
yegQ	b0722//
yegRZ	b0836//rhmD//
yegS	b4477//
yegTUV	b3549//b4331//b4140//
yegW	b0844//
yegX	b3617//
yehDCBA	b3287//b0769//b1643//b0316//
yehE	b0156//
yehK	b2259//
yehLMPQ	b1751//b2594//b0726//b3553//
yehR	b0696//
yehS	b4327//
yehUT	b4481//b1704//
yeiE	b3463//
yeiG	b1856//
yeiH	b0650//
yeiI	b3820//
yeiL	b4170//
yeiP	b1472//
yeiQ	b2586//
yeiR-lpxT	b2449//b2822//
yeiW	ficA//
yejABEF	b2130//b4147//b2625//b0478//
yejG	b1131//
yejK	b2343//
yejLM	b0892//b0821//
yejO	b3058//
yfaATS_1S_2QP	b4456//b3909//b0053//b2428//b3355//b0091//
yfaD-ypaA	b2757//b4420//
yfaE	b4447//
yfaH	b3550//
yfaL	b3793//
yfaVU	b0809//b4007//
yfaX-rhmD	b2522//b3127//
yfaX-rhmD-yfaVU	b1937//b0406//b2549//b1712//
yfaY	b2331//
yfaZ	b0905//
yfbK	b3343//
yfbL	ybfG//
yfbM	b2689//
yfbN	b1439//
yfbO	b3328//
yfbP	b1923//
yfbR	b0585//
yfbS	b2571//
yfbUT	b2287//b1545//
yfbV	b1781//
yfcC	b2588//
yfcD	b1422//
yfcE	b4516//
yfcF	b1220//
yfcG	b2634//
yfcI	b3378//
yfcJ	b4009//
yfcUTSRQPO	b2339//ysdC//b3409//b3185//b4400//b4202//b4293//
yfcV	b2230//
yfcZ	b0586//
yfdC	b3292//
yfdE	b4410//
yfdF	b0750//
yfdGHI	b3721//b0146//b1792//
yfdONMLK	b4047//b2383//ecpE//b1344//b2579//
yfdPQ	b0135//b4033//
yfdRST	b2215//b1370//b0067//
yfdV	b1650//
yfdX-frc-oxc-yfdVE	b1814//b0066//b2944//b0507//b1543//
yfdY	b1047//
yfeCD	b4071//b0274//
yfeH	b2092//
yfeKS	b2781//b4096//
yfeN	b4609//
yfeO	b1224//
yfeR	b2947//
yfeYX	b2626//b1150//
yffB-dapE-ypfN	b2332//b2990//b2257//
yffL	b2482//
yffMN	b4141//b0692//
yffOP	b0696//b0548//
yffQR	b1018//b2837//
yffS	b4052//
yfgG	b0052//
yfgHI	b2717//b0630//
yfgJ	b3503//
yfgM	b3630//
yfgO	b2795//
yfhH	b1127//
yfhL	b2466//
yfhM-pbpC	b1740//b2830//
yfhR	b2344//
yfiC	b4485//
yfiE	b0601//
yfiF	b1927//
yfiL	b1624//
yfiM	b0190//
yfiP-patZ	b3622//b3484//
yfiR-dgcN	b1729//b2269//
yfiR-dgcN-yfiB	b3485//b3578//b1441//
yfjD	b2445//
yfjH	b1241//
yfjI	b3825//
yfjJ	b2829//
yfjM	b2124//
yfjPQ	b2530//b1262//
yfjR-ypjK-yfjST	b3847//b1715//b3909//b0870//
yfjW	b4663//
yfjXY-ypjJ-yfjZ-ypjF	b1297//b0311//b0380//b2624//b2942//
ygaC	b1844//
ygaM	b3351//
ygaQ	pbl//
ygaVP	b4559//b4190//
ygaXY	b0497//b4558//
ygaZH	b1274//b3991//
ygbA	b3874//
ygbE	b2111//
ygbI	b0038//
ygbJK	b1165//b4346//
ygbK	b2283//
ygbLM	b0840//b0844//
ygbN	b2991//
ygcG	b1408//
ygcNOP	b0074//b2731//b3884//
ygcRQ	b0374//b2782//
ygcS	b3394//
ygcU	b0596//
ygcW	b3417//
ygdD	b0397//
ygdG	b2073//
ygdH	b1003//
ygdI	b2098//
ygdQ	b3497//
ygdR	b2119//
ygeA	b0985//
ygeF	b0793//
ygeG	b2964//
ygeH	b1999//
ygeI	b3566//
ygeLK	b0949//b0919//
ygeP	b1565//
ygeQ	b1501//
ygeR	b0660//
ygeV	b0153//
ygeW	b1718//
ygeX	b0264//
ygeY	b1439//
ygfB-pepP-ubiHI	b3553//b0331//b2020//b0406//
ygfF	b1932//
ygfI	b1996//
ygfK-ssnA	b0928//b0728//
ygfM-xdhD	sroA//b3104//
ygfTS	b1896//b4203//
ygfZ	b0877//
yggDC	b2101//b4132//
yggE	b3308//
yggI	b1699//
yggM	b3660//
yggN	b0682//
yggR	b2051//
yggSTU-rdgB-yggW	b0879//b2256//b4018//b2544//b3405//
yggX	b2127//
yggX-mltC	b1125//b3621//
yggX-mltC-nupG	b2113//b1441//b2295//
yghA	b0457//
yghB	b2827//
yghED	b4179//b3761//
yghF	b2682//
yghG	b2685//
yghJ	b3383//
yghO	b3442//
yghQ	b3557//
yghSR	b1189//b4367//
yghT	b2187//
yghU	b2336//
yghW	b1335//
yghX_2X_1	b2313//b3024//
ygiD	b0786//
ygiF-glnE	b0124//b0848//
ygiH	b2332//
ygiL	b2403//
ygiM	b3849//
ygiM-cca	b1597//b3239//
ygiN	b4283//
ygiQ	b1415//
ygiS	b2919//
ygiV	b2787//
ygiW	b0920//
ygiZ	b3040//
ygjH	b2455//
ygjI	b2360//
ygjJK	b4185//b0618//
ygjP	b1116//
ygjQ	b0116//
ygjR	b1128//
ygjV	b2631//
yhaBC	b2005//b1373//
yhaH	b1975//
yhaI	b1194//
yhaJ	b1280//
yhaKL	b2020//b2718//
yhaOM	b0392//b2204//
yhbE-obgE	b3427//b2923//
yhbO	b2798//
yhbP	b4189//
yhbQ	b3570//
yhbTS	b1276//b4355//
yhbUV	b3949//b4187//
yhbW	b4609//
yhbX	b1291//
yhbY	b0979//
yhcAD-ychE_1	eaeH//b3240//b1201//
yhcB	b3418//
yhcC	b2546//
yhcG	b0051//
yhcN	b1256//
yhcO	b4393//
yhdH	b4035//
yhdJ	b4143//
yhdN-zntR	b2165//b4504//
yhdP	b2770//
yhdT-panF-prmA	b4603//b2759//b0001//
yhdU	b2114//
yhdV	b0004//
yhdWXYZ	b3973//b4406//b1962//b0277//
yheO-tusDCB	b2581//b4013//ybeM_2//b1875//
yheSTU	b4368//b1019//b4463//
yhfA	b2641//
yhfK	b0189//
yhfL	b3704//
yhfXW-php-yhfUTS	istR-1//b4333//b2320//b3499//b3817//b4299//
yhfZY	b2368//yjiV//
yhgA	b1733//
yhgE	b1371//
yhgF	b1339//
yhgN	b2170//
yhhA	b3032//
yhhH	b3834//
yhhI	IS128//
yhhM	b0595//
yhhN	b4295//
yhhQ	b4049//
yhhS	b0568//
yhhT	b1702//
yhhW	b0901//
yhhX	b0910//
yhhY	b0077//
yhhZ-yrhA-insAB-6A-6B-6	b0683//b4685//b2847//b2341//b2440//
yhiD	b3773//
yhiI-rbbA-yhhJ	yfaS_2//b1034//b0886//
yhiJ	b4019//
yhiK	b4670//
yhiL	b2236//
yhiM	b1857//
yhiN	b3094//
yhiS_1	b0093//
yhjA	b3998//
yhjB	b3391//
yhjC	b3915//
yhjD	b4027//
yhjE	b3261//
yhjG	b2702//
yhjJ	b1982//
yhjR	b0628//
yhjV	b2764//
yhjX	b1172//
yhjY	yghX_2//
yiaA	b2293//
yiaB	b0904//
yiaD	b4206//
yiaF	b0819//
yiaG	b1982//
yiaJ	b0528//
yiaKLMNO-lyxK-sgbHUE	b2857//b2264//b0142//b2487//b0673//b1686//b4054//b4346//b3153//
yiaT	b2459//
yiaU	b0248//
yiaWV	b1913//b1368//
yiaY	b1348//
yibA	b2937//
yibF	b1595//
yibG	b0969//
yibIH	b0337//b3586//
yibJ	b1663//
yibL	b2873//
yibN	b3660//
yibN-grxC-secB-gpsA	b4396//b3923//b0128//ybfG//
yibT	b3209//
yicC	b1818//
yicG	b2295//
yicH	b4547//
yicJI	b4381//b0074//
yicL	b0383//
yicN	b1075//
yicR-rpmBG	b3525//b1199//b3524//
yicR-rpmBG-mutM	b0409//b0520//b2325//xisR//
yicS	b2874//
yidA	b1523//
yidB	b1116//
yidE	b1835//
yidHGF	b0720//b3907//b2908//
yidI	b1453//
yidKJ	b2351//b3107//
yidL	b4048//
yidP	b0581//
yidQ	b3721//
yidR	b4150//
yidX	b1517//
yidZ	b4117//
yieEF	b2386//b0544//
yieH	b0300//
yieP-hsrA	b1351//b2845//
yifB	b3200//
yifK	b2451//
yifL-dapF-yigA-xerC-yigB	b2860//b0659//b0638//b0666//b4542//
yifNO	b0654//b3352//
yigE	b1068//
yigGF	b1859//b0226//
yigI	b2264//
yigM	b0232//
yihA	b1140//
yihD	b1360//
yihF	b1127//
yihG	b3311//
yihI	rhsE//
yihLM	b2171//b3086//
yihN	b1033//
yihPO	b2926//b3417//
yihQ	b3515//
yihR	b2112//
yihUTS	b3697//b1214//b2365//
yihVW	b1693//b4272//
yihXY-dtd-yiiD	b1138//b2768//b3274//b0007//
yiiE	b4147//
yiiF	b3508//
yiiG	b1083//
yiiM	b1868//
yiiQ	b3143//
yiiR	b0553//
yiiS-uspD	b4129//b2318//
yiiX	b2211//
yijE	b4350//
yijF	b1706//
yijO	b3573//
yjaA	b4281//
yjaB	b2583//
yjaG	b3491//
yjaH	b1162//
yjaZ	b1393//
yjbB	b3606//
yjbD	b2359//
yjbE	b0456//
yjbEFGH	b1090//b4149//b0376//b2024//
yjbFGH	b1610//b1302//b3458//
yjbI	b2662//
yjbJ	b4296//
yjbLM	b2965//b1294//
yjbQR	b3153//b4218//
yjcB	b4459//
yjcE	b1685//
yjcF	b2659//
yjcO	b3179//
yjcS	b0133//
yjdC	b1637//
yjdF	b0155//
yjdIJ	b2374//b3626//
yjdM	b0796//
yjdN	b0408//
yjdP	b3045//
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	b0459//b4129//b1801//b0373//b0756//b0840//b3723//b2782//b3552//
yjeH	b0077//
yjeI	insEF-3//
yjeJ	b1907//
yjeM	b3603//
yjeNO	b1112//b2268//
yjeT	b4119//
yjeV	C0362//
yjfIJ	b3150//b1664//
yjfKLMC	b2123//b2886//b2745//b1242//
yjfN	b4008//
yjfP	b2472//
yjfY	b4598//
yjfZ	b0110//
yjgA	b2003//
yjgH	b3727//
yjgL	b4143//
yjgM	b4358//
yjgN	b0686//
yjgR	b4618//
yjgW	b3441//
yjgX_1X_2	b3118//b1428//
yjgX_3	b4057//
yjgZ	b3006//
yjhBC	b3263//b0597//
yjhD	b2411//
yjhE	b0728//
yjhF	b3121//
yjhIHG	b1688//b4347//b1115//
yjhP	b1706//
yjhR	b3891//
yjhU	b0621//
yjiC	b1470//
yjiHG-iadA	b2794//b0470//b0800//
yjiJ	b2219//
yjiK	b1412//
yjiML	b3878//b3110//
yjiPQ	b2661//b2712//
yjiR	b0153//
yjiS	b2553//
yjiT	b4216//
yjiV	b0092//
yjiXA	b1442//b0841//
yjiY	b2193//
yjjB-dnaTC	b0514//b2100//b0264//
yjjB-dnaTC-yjjA	b2811//b3617//insX//b3075//
yjjI	b0834//
yjjJ	b2922//
yjjP	b3478//
yjjQ-bglJ	b1802//b3749//
yjjUV	b2188//b2843//
yjjW	b3095//
yjjX	b0737//
yjjY	b4637//
yjjZ	b1900//
yjtD	b2819//
ykfA-yafZ	b3688//b1678//
ykfBF-yafX-ykfGH-yafW-ykfI	b0853//b0585//b1171//b1001//b1309//b3193//b0866//
ykfC	b1160//
ykfGH-yafW-ykfI	b2274//b0197//b4425//b1436//
ykfJ-prfH	b1981//b3523//
ykgA	b0758//
ykgEFG	b1550//b1192//b1449//
ykgH	b1624//
ykgJ	b0802//
ykgL	b0534//
ykgMO	b1008//b1163//
ykgR	b0136//
ykiA	b4175//
ykiB	b2831//
ylaC	b2076//
ylbG	b1187//
yliI	b0210//
ymbA	b0778//
ymcE-gnsA	b0840//b1577//
ymdA	b0910//
ymdB-clsC	b1814//b3916//
ymdE-ycdU	b2255//b3345//
ymdF	b1448//
ymfA-ycfZ	b4545//b4366//
ymfED	b3891//b4441//
ymfH-xisE-intE	b0694//b3026//b4336//
ymfI	b0194//
ymfJ	b2564//
ymfK	b2369//
ymfTLMNR-beeE-jayE-ymfQ-ycfK-ymfS	b3091//b0627//b2650//b4429//b4034//b1114//b1650//b4464//b1270//b4156//
ymgA-ariR	b0142//b0796//
ymgC	b1612//
ymgE	b2890//
ymgF	b3345//
ymgGD	b3620//b2637//
ymgH-ycgI	b3097//b1927//
ymiA-yciX	b0781//b2644//
ymjA	b2790//
ymjC-mpaA	b0513//b1115//
ynaA-lomR_1	b2719//b3737//
ynaE	b2450//
ynaI	b1253//
ynaJ	b0978//
ynaK-ydaY	b0378//b1304//
ynbABCD	b3195//b0491//b2362//b1527//
yncD	b0537//
yncE	b0584//
yncG	b3804//
yncH	b3354//
yncI	b2165//
yncJ	b0388//
yncK_1	b0782//
yncK_2	b0335//
yncL	b3780//
yncM	b4435//
yneE	b2765//
yneHG	b1380//b0832//
yneJ	b4592//
yneK	b1269//
yneL	b2286//
yneM	b0511//
ynfA	b4298//
ynfB-speG	b3725//b0331//
ynfC	b1677//
ynfD	b2244//
ynfEFGH-dmsD	b4200//b2309//b1137//b0847//b2030//
ynfK	b2423//
ynfL	b3150//
ynfM	b0062//
ynfN	b2604//
ynfO-ydfO	b1949//b2843//
ynfP	b0022//
yniA	b2751//
yniB	b2566//
yniC	b1071//
yniD	b0736//
ynjE	b3662//
ynjF	b2958//
ynjH	b2240//
ynjI	b3339//
yoaA	b0420//
yoaB	b1584//
yoaC	b1537//
yoaE	b0255//
yoaF	b0704//
yoaH	b2586//
yoaI	b3788//
yobA-yebZY	b0489//b3509//b3511//
yobB-exoX	b4100//b2635//
yobD	b2067//
yobF-cspC	b1798//maoP//
yobH	b0257//
yodB	b1716//
yodC	b1290//
yodD	b3662//
yoeA	b2366//
yoeE	b3175//
yoeF	b3379//
yohC	b4233//
yohD	b1073//
yohF	b0206//
yohH	b1307//
yohJK	b2459//b0480//
yohO	b0329//
yojI	b4044//
ypdABC	b3621//b1341//b2178//
ypdI	b0145//
ypdJ	b0726//
ypeA-yfeZ	b4516//b2034//
