# Filteres repeated instances with "cat /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum.txt | sort | uniq > /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt "
# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:43:53 2018 from /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_as_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
#From /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/scripts/tus_into_regulons.pl on Fri Feb  2 11:39:23 2018 using /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_regDB.txt
C0067	C0067//
tdcBCDEFG	b3117//b3116//b3115//b3114//b3113//b4471//
tdcR	b3119//
tdk	b1238//
tehAB	b1429//b1430//
tesA-ybbO	b0494//b0493//
tesB	b0452//
tfaD	b0561//
tfaS	tfaS//
tfaX	b0563//
tff-rpsB-tsf	b4414//b0169//b0170//
tgt-yajC	b0406//b0407//
thiCEFSGH	b3994//b3993//b3992//b4407//b3991//b3990//
thiI	b0423//
thiMD	b2104//b2103//
thpR	b0147//
thrL	b0001//
thrLABC	b0001//b0002//b0003//b0004//
thrS-infC	b1719//b1718//
thrS-infC-rpmI-rplT-pheMST-ihfA	b1719//b1718//b1717//b1716//b1715//b1714//b1713//b1712//
thrU-tyrU-glyT-thrT-tufB	b3976//b3977//b3978//b3979//b3980//
thrW	b0244//
thyA	b2827//
tig	b0436//
tilS	b0188//
tisB	b4618//
tktA	b2935//
tktB	b2465//
tldD	b3244//
tnaC	b3707//
tnaCAB	b3707//b3708//b3709//
tolB-pal-cpoB	b0740//b0741//b0742//
tolC-ygiABC	b3035//b3036//b3037//b3038//
tomB-hha	b0461//b0460//
tonB	b1252//
topA	b1274//
topAI-yjhQ	topAI//b4307//
torCAD	b0996//b0997//b0998//
torI	b4501//
torR	b0995//
torS	b0993//
torT	b0994//
torYZ	b1873//b1872//
tp2	tp2//
tpiA	b3919//
tpke11	tpke11//
tpke70	tpke70//
tpx	b1324//
tqsA	b1601//
treA	b1197//
treBC	b4240//b4239//
treF	b3519//
treR	b4241//
trg	b1421//
trkA	b3290//
trkG	b1363//
trmA	b3965//
trmI-yggL	b2960//b2959//
trmJ	b2532//
trmL	b3606//
trpCBA	b1262//b1261//b1260//
trpL	b1265//
trpLEDCBA	b1265//b1264//b1263//b1262//b1261//b1260//
trpR	b4393//
trpS	b3384//
trpT	b3761//
truD	b2745//
trxA	b3781//
trxB	b0888//
trxC	b2582//
tsaB-yeaY	b1807//b1806//
tsaD	b3064//
tsaE-amiB-mutL-miaA-hfq-hflXKC	b4168//b4169//b4170//b4171//b4172//b4173//b4174//b4175//
tsgA	b3364//
tsr	b4355//
tsx	b0411//
ttcA	b1344//
ttdABT	b3061//b3062//b3063//
ttdR	b3060//
tufA	b3339//
tus	b1610//
tusA	b3470//
tusE	b0969//
tynA	b1386//
tyrB	b4054//
tyrP	b1907//
tyrR	b1323//
tyrS-pdxY	b1637//b1636//
tyrTV-tpr	b1231//b1230//b1229//
tyrV-tpr	b1230//b1229//
uacT	b2888//
ubiCA	b4039//b4040//
ubiD	b3843//
ubiEJB	b3833//b3834//b3835//
ubiF	b0662//
ubiG	b2232//
ubiX	b2311//
ucpA	b2426//
udk-dcd	b2066//b2065//
udp	b3831//
ugd	b2028//
ugpBAECQ	b3453//b3452//b3451//b3450//b3449//
uhpABC	b3669//b3668//b3667//
uhpT	b3666//
uidABC	b1617//b1616//b1615//
uidR	b1618//
ulaABCDEF	b4193//b4194//b4195//b4196//b4197//b4198//
ulaG	b4192//
ulaR	b4191//
umpG-pcm	b2744//b2743//
umpH	b0675//
umuDC	b1183//b1184//
ung	b2580//
uof-fur	b4637//b0683//
upp-uraA	b2498//b2497//
usg-truA-dedA	b2319//b2318//b2317//
ushA	b0480//
uspA	b3495//
uspB	b3494//
uspC	b1895//
uspE	b1333//
uspF	b1376//
uspG	b0607//
uvrA	b4058//
uvrB	b0779//
uvrC	b1913//
uvrD	b3813//
uvrYC	b1914//b1913//
uxaB	b1521//
uxaCA	b3092//b3091//
uxuAB	b4322//b4323//
uxuR	b4324//
valS	b4258//
valUXY-lysV	b2401//b2402//b2403//b2404//
valVW	b1665//b1666//
valZ-lysY	b0746//b0747//
ves	b1742//
waaA	b3633//
waaA-coaD	b3633//b3634//
waaH	b3615//
waaQGPSBOJYZU	b3632//b3631//b3630//b3629//b3628//b3627//b3626//b3625//b3624//b3623//
waaYZ	b3625//b3624//
waaZU	b3624//b3623//
wbbIJK	b2034//b2033//b2032//
wbbL_2	wbbL_2//
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	b2057//b2056//b2055//b2054//b2053//b2052//b2051//b2050//b2049//b2048//b2047//b2046//
wcaKLM	b2045//b2044//b2043//
wecH	b3561//
wrbA-yccJ	b1004//b1003//
wza-wzb-wzc	b2062//b2061//b2060//
wza-wzb-wzc-wcaAB	b2062//b2061//b2060//b2059//b2058//
wzzB	b2027//
xanP	b3654//
xanQ-guaD-ghxQ	b2882//b2883//b4464//
xapAB	b2407//b2406//
xapR	b2405//
xdhABC	b2866//b2867//b2868//
xerD	b2894//
xerD-dsbC-recJ	b2894//b2893//b2892//
xseA	b2509//
xseB-ispA-dxs-yajO	b0422//b0421//b0420//b0419//
xthA	b1749//
xylAB	b3565//b3564//
xylE	b4031//
xylFGHR	b3566//b3567//b3568//b3569//
xylR	b3569//
yaaA	b0006//
yaaI	b0013//
yaaJ	b0007//
yaaU	b0045//
yaaW	b0011//
yaaX	b0005//
yabI	b0065//
yabPQ	b0056//b0057//
yacC-speED	b0122//b0121//b0120//
yacG	b0101//
yacH	b0117//
yacL	b0119//
yadC	b0135//
yadD	b0132//
yadE	b0130//
yadGH	b0127//b0128//
yadI	b0129//
yadMLKC	b0138//b0137//b0136//b0135//
yadN	b0141//
yadV-htrE	b0140//b0139//
yaeF	b0193//
yaeH	b0163//
yaeI	b0164//
yaeP-rof	b4406//b0189//
yaeQ-arfB-nlpE	b0190//b0191//b0192//
yaeR	b0187//
yafC	b0208//
yafDE	b0209//b0210//
yafF	yafF//
yafJ	b0223//
yafK	b0224//
yafL	b0227//
yafNOP	b0232//b0233//b0234//
yafS	b0213//
yafT	b0217//
yafU	b0218//
yafV	b0219//
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0251//b0250//b0249//b0248//b0247//b4504//b0246//b0245//
yafZ	b0252//
yagAB-insX	b0267//b0266//insX//
yagEF	b0268//b0269//
yagGH	b0270//b0271//
yagI	b0272//
yagJ	b0276//
yagK	b0277//
yagML	b0279//b0278//
yagN	b0280//
yagP	b0282//
yagU	b0287//
yahB	b0316//
yahC	b0317//
yahDEFG	b0318//b0319//b0320//b0321//
yahE	b0319//
yahH	b0322//
yahIJ	b0323//b0324//
yahK	b0325//
yahL	b0326//
yahM	b0327//
yahN	b0328//
yahO	b0329//
yaiA-aroM	b0389//b0390//
yaiE	b0391//
yaiF	b0362//
yaiI	b0387//
yaiL	b0354//
yaiP	b0363//
yaiS	b0364//
yaiT	b0371//
yaiU	b0374//
yaiV	b0375//
yaiXO	b0359//b0358//
yaiY	b0379//
yaiZ	b0380//
yajC-secDF	b0407//b0408//b0409//
yajD	b0410//
yajG	b0434//
yajG-ampG	b0434//b0433//
yajI	b0412//
yajO	b0419//
yajQ	b0426//
yajR	b0427//
ybaA	b0456//
ybaB-recR	b0471//b0472//
ybaE	b0445//
ybaK	b0481//
ybaL	b0478//
ybaN	b0468//
ybaP	b0482//
ybaQ	b0483//
ybaST	b0485//b0486//
ybaV	b0442//
ybaY	b0453//
ybbAP	b0495//b0496//
ybbN	b0492//
ybbY-glxK	b0513//b0514//
ybcC	b0539//
ybcD	ybcD//
ybcH	b0567//
ybcI	b0527//
ybcK	b0544//
ybcLM	b0545//b0546//
ybcN-ninE-ybcO-rusA-ylcG	b0547//b0548//b0549//b0550//b4509//
ybcQ	b0551//
ybcV	b0558//
ybcW	b0559//
ybcY	b0562//
ybdD	b4512//
ybdF	b0579//
ybdG	b0577//
ybdH	b0599//
ybdJ	b0580//
ybdK	b0581//
ybdL	b0600//
ybdM	b0601//
ybdN	b0602//
ybdO	b0603//
ybdR	b0608//
ybeD	b0631//
ybeD-lipB	b0631//b0630//
ybeF	b0629//
ybeL	b0643//
ybeM_1M_2	ybeM_1//ybeM_2//
ybeQ	b0644//
ybeR-djlB	b0645//b0646//
ybeT	b0647//
ybeU-djlC	b0648//b0649//
ybeX-lnt	b0658//b0657//
ybeZY	b0660//b0659//
ybeZYX-lnt	b0660//b0659//b0658//b0657//
ybfA	b0699//
ybfD	b0706//
ybfE	b0685//
ybfF	b0686//
ybfHG	ybfH//ybfG//
ybfL	b0705//
ybfN	b0682//
ybfOC	ybfO//b0704//
ybfP	b0689//
ybfQ	b4514//
ybgA-phr	b0707//b0708//
ybgC-tolQRA	b0736//b0737//b0738//b0739//
ybgD	b0719//
ybgIJKL-nei	b0710//b0711//b0712//b0713//b0714//
ybgQPO	b0718//b0717//b0716//
ybgS	b0753//
ybhA	b0766//
ybhB	b0773//
ybhC	b0772//
ybhD	b0768//
ybhH	b0769//
ybhI	b0770//
ybhJ	b0771//
ybhK	b0780//
ybhL	b0786//
ybhM	b0787//
ybhP-clsB-ybhN	b0790//b0789//b0788//
ybhQ	b0791//
ybiA	b0798//
ybiB	b0800//
ybiC	b0801//
ybiI	b0803//
ybiJ	b0802//
ybiO	b0808//
ybiT	b0820//
ybiU	b0821//
ybiV	b0822//
ybiX	b0804//
ybiYW	b0824//b0823//
ybjC-nfsA-rimK-ybjN	b0850//b0851//b0852//b0853//
ybjD	b0876//
ybjG	b0841//
ybjH	b0843//
ybjJI	b0845//b0844//
ybjL	b0847//
ybjM	b0848//
ybjN	b0853//
ybjO-rlmC	b0858//b0859//
ybjP	b0865//
ybjQ-amiD	b0866//b0867//
ybjS	b0868//
ybjX	b0877//
ycaC	b0897//
ycaD	b0898//
ycaI-msbA-lpxK-ycaQ	b0913//b0914//b0915//b0916//
ycaK	b0901//
ycaL	b0909//
ycaM	b0899//
ycaN	b0900//
ycaO	b0905//
ycaP	b0906//
ycaR-kdsB	b0917//b0918//
ycbJ	b0919//
ycbK-gloC	b0926//b0927//
ycbX	b0947//
ycbZ	b0955//
yccA	b0970//
yccE	b1001//
yccFS	b0961//b0960//
yccM	b0992//
yccT	b0964//
yccU	b0965//
yccX	b0968//
ycdXY	b1034//b1035//
ycdZ	b1036//
yceA	b1055//
yceB	b1063//
yceD-rpmF	b1088//b1089//
yceF	b1087//
yceH	b1067//
yceI	b1056//
yceJI	b1057//b1056//
yceK	b1050//
yceM	b1068//
yceQ	b1085//
ycfJ	b1110//
ycfT	b1115//
ycgB	b1188//
ycgH_1	ycgH_1//
ycgH_2	ycgH_2//
ycgJ	b1177//
ycgL	b1179//
ycgM	b1180//
ycgN	b1181//
ycgR	b1194//
ycgV	b1202//
ycgX	b1161//
ycgY	b1196//
ycgZ	b1164//
ycgZ-ymgA-ariR-ymgC	b1164//b1165//b1166//b1167//
ychE	b1242//
ychE_2-yhcF	ychE_2//b3219//
ychF	b1203//
ychG_1G_2	ychG_1//ychG_2//
ychH	b1205//
ychJ	b1233//
ychN	b1219//
ychO	b1220//
ychQA-kdsA	b1213//b1214//b1215//
ychS	b1228//
yciA	b1253//
yciCB	b1255//b1254//
yciE	b1257//
yciG	b1259//
yciGFE	b1259//b1258//b1257//
yciI	b1251//
yciK-btuR	b1271//b1270//
yciN	b1273//
yciT	b1284//
yciVOQ	b1266//b1267//b1268//
yciW	b1287//
yciY	b4595//
yciZT	b4596//b1284//
ycjD	b1289//
ycjG	b1325//
ycjMNOPQRSTUV-ymjB	b1309//b1310//b1311//b1312//b1313//b1314//b1315//b1316//b1317//b1318//b4524//
ycjW	b1320//
ycjXF	b1321//b1322//
ycjXF-tyrR	b1321//b1322//b1323//
ycjY	b1327//
ycjY-ymjDC-mpaA	b1327//b4673//b4525//b1326//
ydaGF	b1355//b4527//
ydaN	b1342//
ydaSTUVW-rzpR	b1357//b1358//b1359//b1360//b1361//b1362//
ydbA_1	ydbA_1//
ydbA_2	ydbA_2//
ydbC	b1406//
ydbD	b1407//
ydbH-ynbE-ydbL	b1381//b1382//b1383//
ydbJ	b4529//
ydbK	b1378//
ydbK-ompN	b1378//b1377//
ydcA	b1419//
ydcC	b1460//
ydcF	b1414//
ydcH	b1426//
ydcI	b1422//
ydcJ	b1423//
ydcK	b1428//
ydcL	b1431//
ydcM	b1432//
ydcO	b1433//
ydcP	b1435//
ydcR	b1439//
ydcSTUV-patD	b1440//b1441//b1442//b1443//b1444//
ydcY	b1446//
yddAB	b1496//b1495//
yddE	b1464//
yddG	b1473//
yddH	b1462//
yddLKJ	b1472//b1471//b1470//
yddM	b1477//
yddW	b1491//
ydeA	b1528//
ydeE	b1534//
ydeI	b1536//
ydeJ	b1537//
ydeK	b1510//
ydeM	b1497//
ydeN	b1498//
ydeNM	b1498//b1497//
ydeO	b1499//
ydeP	b1501//
ydeQ	b1502//
ydeTSR	b1505//b1504//b1503//
ydeU	b1509//
ydfABC	b1571//b1572//b1573//
ydfG	b1539//
ydfH	b1540//
ydfI	b1542//
ydfJ	b1543//
ydfK	b1544//
ydfUT	b1560//b1559//
ydfV	b1565//
ydfZ	b1541//
ydgA	b1614//
ydgC	b1607//
ydgD	b1598//
ydgH	b1604//
ydgI-folM	b1605//b1606//
ydgJ	b1624//
ydgK-rsxABCDGE-nth	b1626//b1627//b1628//b1629//b1630//b1631//b1632//b1633//
ydhB	b1659//
ydhC	b1660//
ydhF	b1647//
ydhIJK	b1643//b1644//b1645//
ydhL	b1648//
ydhP	b1657//
ydhQ	b1664//
ydhR	b1667//
ydhS	b1668//
ydhXUT	b1671//b1670//b1669//
ydhYVW	b1674//b1673//b1672//
ydhYVWXUT	b1674//b1673//b1672//b1671//b1670//b1669//
ydhZ	b1675//
ydiE	b1705//
ydiFO	b1694//b1695//
ydiJ-menI-ydiH	b1687//b1686//b1685//
ydiK	b1688//
ydiL	b1689//
ydiM	b1690//
ydiNB-aroD	b1691//b1692//b1693//
ydiP	b1696//
ydiQRST-fadK	b1697//b1698//b1699//b1700//b1701//
ydiU	b1706//
ydiV	b1707//
ydiY	b1722//
ydiZ	b1724//
ydjA-selD-topB	b1765//b1764//b1763//
ydjE	b1769//
ydjF	b1770//
ydjLKJIHG	b1776//b1775//b1774//b1773//b1772//b1771//
ydjM	b1728//
ydjO	b1730//
ydjXYZ-ynjABCD	b1750//b1751//b1752//b1753//b1754//b1755//b1756//
yeaC	b1777//
yeaD	b1780//
yeaE	b1781//
yeaGH	b1783//b1784//
yeaK	b1787//
yeaL	b1789//
yeaO	b1792//
yeaQ	b1795//
yeaR-yoaG	b1797//b1796//
yeaVW	b1801//b1802//
yeaX	b1803//
yeaY	b1806//
yebB	b1862//
yebC-ruvC	b1864//b1863//
yebE	b1846//
yebF	b1847//
yebG	b1848//
yebK	b1853//
yebO	b1825//
yebQ	b1828//
yebST	b1833//b1834//
yebV	b1836//
yebW	b1837//
yecA	b1908//
yecDE	b1867//b1868//
yecF	b1915//
yecH	b1906//
yecJ	b4537//
yecM-cutC	b1875//b1874//
yecN-cmoAB	b1869//b1870//b1871//
yecR	b1904//
yecT	b1877//
yedA	b1959//
yedD	b1928//
yedEF	b1929//b1930//
yedI	b1958//
yedK	b1931//
yedL	b1932//
yedM	b1935//
yedN_1N_2	yedN_1//yedN_2//
yedP	b1955//
yedRJ	b1963//b1962//
yedS_1S_2	yedS_1//yedS_2//
yedS_3	yedS_3//
yedWV	b1969//b1968//
yedX	b1970//
yeeA	b2008//
yeeED	b2013//b2012//
yeeJ	b1978//
yeeL_1L_2	yeeL_1//yeeL_2//
yeeN	b1983//
yeeO	b1985//
yeeP	b1999//
yeeRST-cbeA-cbtA-yeeW	b2001//b2002//b2003//b2004//b2005//b2006//
yeeX	b2007//
yeeY	b2015//
yeeZ	b2016//
yefM-yoeB	b2017//b4539//
yegD	b2069//
yegH	b2063//
yegI	b2070//
yegJ	b2071//
yegLK	b2073//b2072//
yegP	b2080//
yegQ	b2081//
yegRZ	b2085//yegZ//
yegS	b2086//
yegTUV	b2098//b2099//b2100//
yegW	b2101//
yegX	b2102//
yehDCBA	b2111//b2110//b2109//b2108//
yehE	b2112//
yehK	b4541//
yehLMPQ	b2119//b2120//b2121//b2122//
yehR	b2123//
yehS	b2124//
yehUT	b2126//b2125//
yeiE	b2157//
yeiG	b2154//
yeiH	b2158//
yeiI	b2160//
yeiL	b2163//
yeiP	b2171//
yeiQ	b2172//
yeiR-lpxT	b2173//b2174//
yeiW	b4502//
yejABEF	b2177//b2178//b2179//b2180//
yejG	b2181//
yejK	b2186//
yejLM	b2187//b2188//
yejO	b2190//
yfaATS_1S_2QP	b2230//b2229//yfaS_1//yfaS_2//b2226//b2225//
yfaD-ypaA	b2244//ypaA//
yfaE	b2236//
yfaH	b2238//
yfaL	b2233//
yfaVU	b2246//b2245//
yfaX-rhmD	b2248//rhmD//
yfaX-rhmD-yfaVU	b2248//rhmD//b2246//b2245//
yfaY	b2249//
yfaZ	b2250//
yfbK	b2270//
yfbL	b2271//
yfbM	b2272//
yfbN	b2273//
yfbO	b2274//
yfbP	b2275//
yfbR	b2291//
yfbS	b2292//
yfbUT	b2294//b2293//
yfbV	b2295//
yfcC	b2298//
yfcD	b2299//
yfcE	b2300//
yfcF	b2301//
yfcG	b2302//
yfcI	b2305//
yfcJ	b2322//
yfcUTSRQPO	b2338//b2337//b2336//b2335//b2334//b2333//b2332//
yfcV	b2339//
yfcZ	b2343//
yfdC	b2347//
yfdE	b2371//
yfdF	b2345//
yfdGHI	b2350//b2351//b2352//
yfdONMLK	b2358//b2357//b2356//b2355//b2354//
yfdPQ	b2359//b2360//
yfdRST	b2361//b2362//b2363//
yfdV	b2372//
yfdX-frc-oxc-yfdVE	b2375//b2374//b2373//b2372//b2371//
yfdY	b2377//
yfeCD	b2398//b2399//
yfeH	b2410//
yfeKS	b2419//b2420//
yfeN	b2408//
yfeO	b2389//
yfeR	b2409//
yfeYX	b2432//b2431//
yffB-dapE-ypfN	b2471//b2472//b4547//
yffL	b2443//
yffMN	b2444//b2445//
yffOP	b2446//b2447//
yffQR	b2448//b2449//
yffS	b2450//
yfgG	b2504//
yfgHI	b2505//b2506//
yfgJ	b2510//
yfgM	b2513//
yfgO	b2493//
yfhH	b2561//
yfhL	b2562//
yfhM-pbpC	b2520//b2519//
yfhR	b2534//
yfiC	b2575//
yfiE	b2577//
yfiF	b2581//
yfiL	b2602//
yfiM	b2586//
yfiP-patZ	b2583//b2584//
yfiR-dgcN	b2603//b2604//
yfiR-dgcN-yfiB	b2603//b2604//b2605//
yfjD	b4461//
yfjH	b2623//
yfjI	b2625//
yfjJ	b2626//
yfjM	b2629//
yfjPQ	b2632//b2633//
yfjR-ypjK-yfjST	b2634//b2635//b2636//b2637//
yfjW	b2642//
yfjXY-ypjJ-yfjZ-ypjF	b2643//b2644//b4548//b2645//b2646//
ygaC	b2671//
ygaM	b2672//
ygaQ	ygaQ//
ygaVP	b2667//b2668//
ygaXY	b2680//b2681//
ygaZH	b2682//b2683//
ygbA	b2732//
ygbE	b2749//
ygbI	b2735//
ygbJK	b2736//b2737//
ygbK	b2737//
ygbLM	b2738//b2739//
ygbN	b2740//
ygcG	b2778//
ygcNOP	b2766//b2767//b2768//
ygcRQ	b2770//b2769//
ygcS	b2771//
ygcU	b4463//
ygcW	b2774//
ygdD	b2807//
ygdG	b2798//
ygdH	b2795//
ygdI	b2809//
ygdQ	b2832//
ygdR	b2833//
ygeA	b2840//
ygeF	b2850//
ygeG	b2851//
ygeH	b2852//
ygeI	b2853//
ygeLK	b2856//b2855//
ygeP	b2862//
ygeQ	b2863//
ygeR	b2865//
ygeV	b2869//
ygeW	b2870//
ygeX	b2871//
ygeY	b2872//
ygfB-pepP-ubiHI	b2909//b2908//b2907//b2906//
ygfF	b2902//
ygfI	b2921//
ygfK-ssnA	b2878//b2879//
ygfM-xdhD	b2880//b2881//
ygfTS	b2887//b2886//
ygfZ	b2898//
yggDC	b2929//b2928//
yggE	b2922//
yggI	b2944//
yggM	b2956//
yggN	b2958//
yggR	b2950//
yggSTU-rdgB-yggW	b2951//b2952//b2953//b2954//b2955//
yggX	b2962//
yggX-mltC	b2962//b2963//
yggX-mltC-nupG	b2962//b2963//b2964//
yghA	b3003//
yghB	b3009//
yghED	yghE//b2968//
yghF	b2970//
yghG	b2971//
yghJ	b4466//
yghO	b2981//
yghQ	b2983//
yghSR	b2985//b2984//
yghT	b2986//
yghU	b2989//
yghW	b2998//
yghX_2X_1	yghX_2//yghX_1//
ygiD	b3039//
ygiF-glnE	b3054//b3053//
ygiH	b3059//
ygiL	b3043//
ygiM	b3055//
ygiM-cca	b3055//b3056//
ygiN	b3029//
ygiQ	b4469//
ygiS	b3020//
ygiV	b3023//
ygiW	b3024//
ygiZ	b3027//
ygjH	b3074//
ygjI	b3078//
ygjJK	b3079//b3080//
ygjP	b3085//
ygjQ	b3086//
ygjR	b3087//
ygjV	b3090//
yhaBC	b3120//b3121//
yhaH	b3103//
yhaI	b3104//
yhaJ	b3105//
yhaKL	b3106//b3107//
yhaOM	b3110//b4470//
yhbE-obgE	b3184//b3183//
yhbO	b3153//
yhbP	b3154//
yhbQ	b3155//
yhbTS	b3157//b3156//
yhbUV	b3158//b3159//
yhbW	b3160//
yhbX	b3173//
yhbY	b3180//
yhcAD-ychE_1	b3215//b3216//ychE_1//
yhcB	b3233//
yhcC	b3211//
yhcG	b3220//
yhcN	b3238//
yhcO	b3239//
yhdH	b3253//
yhdJ	b3262//
yhdN-zntR	b3293//b3292//
yhdP	b4472//
yhdT-panF-prmA	b3257//b3258//b3259//
yhdU	b3263//
yhdV	b3267//
yhdWXYZ	b3268//b3269//b3270//b3271//
yheO-tusDCB	b3346//b3345//b3344//b3343//
yheSTU	b3352//b3353//b3354//
yhfA	b3356//
yhfK	b3358//
yhfL	b3369//
yhfXW-php-yhfUTS	b3381//b3380//b3379//b3378//b3377//b3376//
yhfZY	b3383//b3382//
yhgA	b3411//
yhgE	b3402//
yhgF	b3407//
yhgN	b3434//
yhhA	b3448//
yhhH	b3483//
yhhI	b3484//
yhhM	b3467//
yhhN	b3468//
yhhQ	b3471//
yhhS	b3473//
yhhT	b3474//
yhhW	b3439//
yhhX	b3440//
yhhY	b3441//
yhhZ-yrhA-insAB-6A-6B-6	b3442//yrhA//insAB-6//b3444//b3445//
yhiD	b3508//
yhiI-rbbA-yhhJ	b3487//b3486//b3485//
yhiJ	b3488//
yhiK	yhiK//
yhiL	b3490//
yhiM	b3491//
yhiN	b3492//
yhiS_1	yhiS_1//
yhjA	b3518//
yhjB	b3520//
yhjC	b3521//
yhjD	b3522//
yhjE	b3523//
yhjG	b3524//
yhjJ	b3527//
yhjR	b3535//
yhjV	b3539//
yhjX	b3547//
yhjY	b3548//
yiaA	b3562//
yiaB	b3563//
yiaD	b3552//
yiaF	b3554//
yiaG	b3555//
yiaJ	b3574//
yiaKLMNO-lyxK-sgbHUE	b3575//b3576//b3577//b3578//b3579//b3580//b3581//b3582//b3583//
yiaT	b3584//
yiaU	b3585//
yiaWV	b3587//b3586//
yiaY	b3589//
yibA	b3594//
yibF	b3592//
yibG	b3596//
yibIH	b3598//b3597//
yibJ	b3595//
yibL	b3602//
yibN	b3611//
yibN-grxC-secB-gpsA	b3611//b3610//b3609//b3608//
yibT	b4554//
yicC	b3644//
yicG	b3646//
yicH	b3655//
yicJI	b3657//b3656//
yicL	b3660//
yicN	b3663//
yicR-rpmBG	b3638//b3637//b3636//
yicR-rpmBG-mutM	b3638//b3637//b3636//b3635//
yicS	b4555//
yidA	b3697//
yidB	b3698//
yidE	b3685//
yidHGF	b3676//b3675//b3674//
yidI	b3677//
yidKJ	b3679//b3678//
yidL	b3680//
yidP	b3684//
yidQ	b3688//
yidR	b3689//
yidX	b3696//
yidZ	b3711//
yieEF	b3712//b3713//
yieH	b3715//
yieP-hsrA	b3755//b3754//
yifB	b3765//
yifK	b3795//
yifL-dapF-yigA-xerC-yigB	b4558//b3809//b3810//b3811//b3812//
yifNO	yifN//b3776//
yigE	b4482//
yigGF	b3818//b3817//
yigI	b3820//
yigM	b3827//
yihA	b3865//
yihD	b3858//
yihF	b3861//
yihG	b3862//
yihI	b3866//
yihLM	b3872//b3873//
yihN	b3874//
yihPO	b3877//b3876//
yihQ	b3878//
yihR	b3879//
yihUTS	b3882//b3881//b3880//
yihVW	b3883//b3884//
yihXY-dtd-yiiD	b3885//b3886//b3887//b3888//
yiiE	b3889//
yiiF	b3890//
yiiG	b3896//
yiiM	b3910//
yiiQ	b3920//
yiiR	b3921//
yiiS-uspD	b3922//b3923//
yiiX	b3937//
yijE	b3943//
yijF	b3944//
yijO	b3954//
yjaA	b4011//
yjaB	b4012//
yjaG	b3999//
yjaH	b4001//
yjaZ	b3989//
yjbB	b4020//
yjbD	b4023//
yjbE	b4026//
yjbEFGH	b4026//b4027//b4028//b4029//
yjbFGH	b4027//b4028//b4029//
yjbI	b4038//
yjbJ	b4045//
yjbLM	b4047//b4048//
yjbQR	b4056//b4057//
yjcB	b4060//
yjcE	b4065//
yjcF	b4066//
yjcO	b4078//
yjcS	b4083//
yjdC	b4135//
yjdF	b4121//
yjdIJ	b4126//b4127//
yjdM	b4108//
yjdN	b4107//
yjdP	b4487//
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	b4167//b4168//b4169//b4170//b4171//b4172//b4173//b4174//b4175//
yjeH	b4141//
yjeI	b4144//
yjeJ	b4145//
yjeM	b4156//
yjeNO	b4157//b4158//
yjeT	b4176//
yjeV	b4670//
yjfIJ	b4181//b4182//
yjfKLMC	b4183//b4184//b4185//b4186//
yjfN	b4188//
yjfP	b4190//
yjfY	b4199//
yjfZ	b4204//
yjgA	b4234//
yjgH	b4248//
yjgL	b4253//
yjgM	b4256//
yjgN	b4257//
yjgR	b4263//
yjgW	b4274//
yjgX_1X_2	yjgX_1//yjgX_2//
yjgX_3	yjgX_3//
yjgZ	b4277//
yjhBC	b4279//b4280//
yjhD	b4281//
yjhE	yjhE//
yjhF	b4296//
yjhIHG	b4299//b4298//b4297//
yjhP	b4306//
yjhR	b4308//
yjhU	b4295//
yjiC	b4325//
yjiHG-iadA	b4330//b4329//b4328//
yjiJ	b4332//
yjiK	b4333//
yjiML	b4335//b4334//
yjiPQ	b4338//b4339//
yjiR	b4340//
yjiS	b4341//
yjiT	b4342//
yjiV	yjiV//
yjiXA	b4353//b4352//
yjiY	b4354//
yjjB-dnaTC	b4363//b4362//b4361//
yjjB-dnaTC-yjjA	b4363//b4362//b4361//b4360//
yjjI	b4380//
yjjJ	b4385//
yjjP	b4364//
yjjQ-bglJ	b4365//b4366//
yjjUV	b4377//b4378//
yjjW	b4379//
yjjX	b4394//
yjjY	b4402//
yjjZ	b4567//
yjtD	b4403//
ykfA-yafZ	b0253//b0252//
ykfBF-yafX-ykfGH-yafW-ykfI	b0250//b0249//b0248//b0247//b4504//b0246//b0245//
ykfC	b0258//
ykfGH-yafW-ykfI	b0247//b4504//b0246//b0245//
ykfJ-prfH	ykfJ//prfH//
ykgA	b0300//
ykgEFG	b0306//b0307//b0308//
ykgH	b0310//
ykgJ	b0288//
ykgL	b0295//
ykgMO	b0296//b4506//
ykgR	b4671//
ykiA	b0392//
ykiB	ykiB//
ylaC	b0458//
ylbG	b0502//
yliI	b0837//
ymbA	b0952//
